"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION",263,-0.598224774713971,-2.13310319249947,1e-10,7.20833333333333e-08,7.02631578947368e-08,2107,"tags=39%, list=15%, signal=34%","KLHL22/CEP97/CENPA/UBE2S/NCAPD3/AKAP8/TENT4A/SMC3/MAD1L1/TTN/ANAPC5/CLASP1/PINX1/PSRC1/CEP192/PRICKLE1/AURKA/GEN1/SPDL1/SEH1L/CEP85/CDK5RAP2/MTBP/KATNB1/BAZ1B/ZWINT/CHEK2/SKA2/UBE2C/KPNB1/NCAPD2/CCNB1/KIF22/SMC4/RACGAP1/INCENP/SMC2/CEP55/NEK2/LRP5/SMC1A/NUSAP1/KIF20B/MAD2L1/INSR/CDK1/KIF23/FBXO43/NUF2/KIF18A/TTK/NDC80/BIRC5/DLGAP5/SKA1/BUB1/FBXO5/CENPI/NCAPG2/XRCC3/PLK1/CENPK/PRC1/CDC20/CENPE/CDCA8/KNTC1/NFIA/TPX2/KIF2C/RCC1/NCAPG/CHEK1/KNL1/CENPF/PKMYT1/SPC25/SPAG5/KIF4A/KIF11/AURKB/CDT1/KIFC1/MKI67/NCAPH/UHRF1/KIF15/SPC24/CDCA2/ESPL1/KIF14/SKA3/BUB1B/TRIP13/CDC25C/ANLN/KIF18B/MYBL2/HASPIN/CCDC61/MAD2L1BP/PDXP/PRMT5"
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",197,-0.61842729314663,-2.11055718412164,1e-10,7.20833333333333e-08,7.02631578947368e-08,2162,"tags=44%, list=15%, signal=38%","PIBF1/KLHL22/CEP97/CENPA/NCAPD3/AKAP8/TENT4A/SMC3/MAD1L1/TTN/ANAPC5/CLASP1/PINX1/PSRC1/CEP192/PRICKLE1/GEN1/SPDL1/SEH1L/CDK5RAP2/KATNB1/BAZ1B/ZWINT/CHEK2/SKA2/UBE2C/KPNB1/NCAPD2/CCNB1/KIF22/SMC4/RACGAP1/INCENP/SMC2/CEP55/NEK2/SMC1A/NUSAP1/MAD2L1/CDK1/KIF23/NUF2/KIF18A/TTK/NDC80/BIRC5/DLGAP5/SKA1/BUB1/FBXO5/CENPI/NCAPG2/XRCC3/PLK1/CENPK/PRC1/CDC20/CENPE/CDCA8/KNTC1/TPX2/KIF2C/RCC1/NCAPG/KNL1/CENPF/SPC25/SPAG5/KIF4A/KIF11/AURKB/CDT1/KIFC1/NCAPH/UHRF1/KIF15/SPC24/ESPL1/KIF14/SKA3/BUB1B/TRIP13/KIF18B/MYBL2/HASPIN/CCDC61/MAD2L1BP"
"GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION",290,-0.573355054173981,-2.04422988542574,1e-10,7.20833333333333e-08,7.02631578947368e-08,1870,"tags=38%, list=13%, signal=34%","USP37/PDS5A/SUPT16H/RAD18/BRCA2/WRN/HELB/FANCM/TOPBP1/USP10/POLD2/RTEL1/NUCKS1/SSRP1/GEN1/NT5M/TOP1MT/RUVBL2/RFC2/RBBP8/PRIM2/USP1/DBF4/FAF1/GTPBP4/TIPIN/BAZ1A/LIG1/DUT/POLRMT/E2F7/CENPS/ESCO2/CCNE2/PRIM1/GMNN/NFIC/CDK2/ZRANB3/POLA2/TYMS/RMI2/RRM1/DACH1/SHMT1/DBF4B/JADE1/TK1/BARD1/NASP/RFC5/MSH2/RFC3/RFWD3/WEE1/CCNA2/DDX11/DHFR/TWNK/MMS22L/CDK1/GINS4/MCM5/MCM7/MCM3/MCM6/POLA1/TIMELESS/FBXO5/GINS2/BLM/TRAIP/XRCC3/ORC6/E2F8/EXO1/ATAD5/MCM8/EME1/NFIA/WDHD1/MCM2/CHAF1B/POLE/FEN1/BRCA1/CHAF1A/CHEK1/DSCC1/GINS1/PCLAF/DNA2/CDT1/POLD1/POLQ/CDC7/RAD51/ORC1/POLE2/MCM4/DTL/TICRR/MCM10/CDC25A/CDC6/CDC45/CHTF18/GINS3/TONSL/RECQL4/INO80E"
"GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION",396,-0.55294063374595,-2.0296745959468,1e-10,7.20833333333333e-08,7.02631578947368e-08,2107,"tags=37%, list=15%, signal=33%","KLHL22/CEP97/HAUS6/CENPA/TOP3A/NCAPD3/AKAP8/TENT4A/CENPP/SMC3/MAD1L1/TTN/RNF4/ANAPC5/CLASP1/ECT2/RAD18/ANAPC1/RCC2/ARID2/PINX1/PSRC1/CEP192/TUBGCP3/ERCC2/PRICKLE1/SMARCA4/AURKA/GEN1/SPDL1/TUBGCP4/GPSM2/SEH1L/SMARCC1/CTCF/CEP85/CDK5RAP2/CENPN/KATNB1/DSN1/BAZ1B/CCNB2/SGO2/ARID1A/MAP3K20/CENPS/TACC3/ESCO2/CCNE2/ZWINT/CHEK2/SKA2/UBE2C/KPNB1/NCAPD2/SRPK1/CCNB1/BCL7A/KIF22/HAUS8/RMI2/SMC4/RACGAP1/INCENP/CENPU/SMC2/CEP55/CENPL/NEK2/SASS6/SMC1A/NUSAP1/CENPH/MSH5/TEX15/PSMC3IP/MAD2L1/CENPO/CDK1/KIF23/FANCD2/NUF2/KIF18A/TTK/NDC80/BIRC5/DLGAP5/SKA1/CENPV/BUB1/FBXO5/SGO1/CENPI/NCAPG2/XRCC3/CENPM/STIL/PLK1/CENPK/PRC1/NDC1/CDC20/CENPE/ASPM/TOP2A/CDCA8/KNTC1/DMC1/TPX2/KIF2C/RCC1/HJURP/SYCE2/BRCA1/NCAPG/KNL1/CENPF/SPC25/SPAG5/BRIP1/KIF4A/KIF11/AURKB/CDT1/KIFC1/MKI67/NCAPH/UHRF1/KIF15/SPC24/CDCA2/ESPL1/DIAPH3/KIF14/SKA3/MND1/BUB1B/TRIP13/KIF18B/MYBL2/CDC6/FAM83D/HASPIN/CCDC61/MAD2L1BP/TUBB1/TUBGCP6/HAUS5"
"GOBP_ORGANELLE_FISSION","GOBP_ORGANELLE_FISSION","GOBP_ORGANELLE_FISSION",418,-0.533465402835513,-1.96977995158054,1e-10,7.20833333333333e-08,7.02631578947368e-08,2278,"tags=36%, list=16%, signal=31%","DIS3L2/SLX4/CKS2/RAD51B/RMI1/RAD1/PIBF1/KLHL22/CEP97/TDRD9/CENPA/UBE2S/NCAPD3/AKAP8/TENT4A/SMC3/MAD1L1/TTN/FIGNL1/ANAPC5/PGAM5/CLASP1/BRCA2/FANCM/PINX1/CALR/PSRC1/CEP192/PRICKLE1/AURKA/GEN1/SPDL1/SEH1L/CEP85/CDK5RAP2/MTBP/KATNB1/BAZ1B/CCNB2/SGO2/CENPS/CCNE2/ZWINT/MYO19/MASTL/CHEK2/SKA2/UBE2C/RAD51D/KPNB1/NCAPD2/CCNB1/KIF22/RAD51AP1/MCU/SMC4/RACGAP1/INCENP/SMC2/CEP55/NEK2/RAD54B/LRP5/SMC1A/NUSAP1/KIF20B/MSH5/TEX15/PSMC3IP/MAD2L1/INSR/CDK1/KIF23/FBXO43/FANCD2/NUF2/KIF18A/TTK/NDC80/BIRC5/DLGAP5/MTFR2/SKA1/CENPV/BUB1/FBXO5/SGO1/CENPI/NCAPG2/XRCC3/PLK1/CENPK/PRC1/NDC1/CDC20/CENPE/ASPM/EME1/TOP2A/CDCA8/KNTC1/DMC1/NFIA/TPX2/KIF2C/RCC1/SYCE2/NCAPG/CHEK1/KNL1/CENPF/PKMYT1/SPC25/SPAG5/PLCB1/BRIP1/KIF4A/KIF11/AURKB/CDT1/RAD54L/KIFC1/MKI67/LIF/NCAPH/UHRF1/KIF15/SPC24/CDCA2/RAD51/ESPL1/KIF14/SKA3/MND1/BUB1B/TRIP13/CDC25C/ANLN/FANCA/KIF18B/MYBL2/PDE3A/HASPIN/ANKLE1/CCDC61/MAD2L1BP/PDXP/PRMT5/MTFR1L"
"GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE",446,-0.520167199631082,-1.92512896291266,1e-10,7.20833333333333e-08,7.02631578947368e-08,2009,"tags=30%, list=14%, signal=26%","AATF/RNASEH2B/GBF1/SCRIB/MAD1L1/PRKCA/TCF3/ANAPC5/CCND2/MNAT1/BRCA2/ANAPC1/RCC2/ARID2/PINX1/TOPBP1/CCDC57/PIM1/LSM11/ERCC2/SMARCA4/AURKA/GEN1/CTDSPL/RPTOR/SPDL1/FBXO31/SMARCC1/RBBP8/DBF4/PSMB7/CDK5RAP2/CKS1B/GTPBP4/MTBP/TIPIN/MUC1/ZFP36L2/ARID1A/MAP3K20/E2F7/CCNE2/ZWINT/MASTL/CHEK2/GMNN/UBE2C/CDK2/CCNB1/BCL7A/RRM1/DBF4B/INCENP/JADE1/BARD1/NEK2/FZD3/LRP5/SASS6/NUSAP1/MSH2/KIF20B/RFWD3/WEE1/TFDP1/PRKDC/MAD2L1/INSR/APP/CDK1/EZH2/TTLL12/FBXO43/FANCD2/NUF2/TTK/NDC80/BIRC5/DLGAP5/SKA1/TIMELESS/BUB1/FBXO5/BLM/XRCC3/RBL1/CACNB4/STIL/PLK1/ATAD5/CDC20/CENPE/EME1/CDCA8/KNTC1/RCC1/BRCA1/CHEK1/KNL1/CENPF/FOXM1/PKMYT1/SPC25/PLCB1/AURKB/MKI67/CLSPN/E2F1/SPC24/CDCA2/CDC7/ESPL1/ORC1/KIF14/SKA3/BUB1B/RRM2/DTL/TRIP13/CDC25C/ANLN/TICRR/CDC25A/CDC6/PBX1/GFI1B/HASPIN/NLE1/TAL1/MAD2L1BP/PDXP/TFAP4/PRMT5"
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",294,-0.561129565964709,-2.00619557164047,1.78158075208234e-10,1.10076239325087e-07,1.07296705444959e-07,2107,"tags=40%, list=15%, signal=35%","KLHL22/CEP97/CENPA/NCAPD3/AKAP8/TENT4A/SMC3/MAD1L1/TTN/ANAPC5/CLASP1/ECT2/ANAPC1/RCC2/ARID2/PINX1/PSRC1/CEP192/PRICKLE1/SMARCA4/AURKA/GEN1/SPDL1/SEH1L/SMARCC1/CDK5RAP2/KATNB1/DSN1/BAZ1B/CCNB2/SGO2/ARID1A/MAP3K20/TACC3/CCNE2/ZWINT/CHEK2/SKA2/UBE2C/KPNB1/NCAPD2/CCNB1/BCL7A/KIF22/RMI2/SMC4/RACGAP1/INCENP/SMC2/CEP55/NEK2/SMC1A/NUSAP1/MSH5/TEX15/PSMC3IP/MAD2L1/CDK1/KIF23/FANCD2/NUF2/KIF18A/TTK/NDC80/BIRC5/DLGAP5/SKA1/CENPV/BUB1/FBXO5/SGO1/CENPI/NCAPG2/XRCC3/PLK1/CENPK/PRC1/NDC1/CDC20/CENPE/ASPM/TOP2A/CDCA8/KNTC1/DMC1/TPX2/KIF2C/RCC1/SYCE2/NCAPG/KNL1/CENPF/SPC25/SPAG5/BRIP1/KIF4A/KIF11/AURKB/CDT1/KIFC1/NCAPH/UHRF1/KIF15/SPC24/ESPL1/KIF14/SKA3/MND1/BUB1B/TRIP13/KIF18B/MYBL2/CDC6/FAM83D/HASPIN/CCDC61/MAD2L1BP"
"GOBP_DNA_TEMPLATED_DNA_REPLICATION","GOBP_DNA_TEMPLATED_DNA_REPLICATION","GOBP_DNA_TEMPLATED_DNA_REPLICATION",165,-0.63168090549161,-2.12034564179306,5.36920071061864e-10,2.32217930734256e-07,2.26354198379238e-07,1783,"tags=45%, list=12%, signal=40%","BRCA2/WRN/HELB/FANCM/TOPBP1/POLD2/RTEL1/NUCKS1/GEN1/RFC2/RBBP8/PRIM2/DBF4/TIPIN/BAZ1A/LIG1/POLRMT/E2F7/CENPS/CCNE2/PRIM1/GMNN/CDK2/ZRANB3/POLA2/RRM1/DACH1/DBF4B/TK1/BARD1/RFC5/RFC3/RFWD3/DDX11/TWNK/MMS22L/GINS4/MCM5/MCM7/MCM3/MCM6/POLA1/TIMELESS/FBXO5/BLM/TRAIP/XRCC3/ORC6/E2F8/EXO1/ATAD5/MCM8/EME1/WDHD1/MCM2/POLE/FEN1/BRCA1/GINS1/DNA2/CDT1/POLD1/POLQ/CDC7/RAD51/ORC1/POLE2/MCM4/DTL/TICRR/MCM10/CDC6/CDC45/GINS3/TONSL"
"GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION",234,-0.588497356837787,-2.05692273541245,4.85325988376019e-10,2.32217930734256e-07,2.26354198379238e-07,2107,"tags=41%, list=15%, signal=36%","KLHL22/CEP97/CENPA/NCAPD3/AKAP8/TENT4A/SMC3/MAD1L1/TTN/ANAPC5/CLASP1/ANAPC1/ARID2/PINX1/PSRC1/CEP192/PRICKLE1/SMARCA4/GEN1/SPDL1/SEH1L/SMARCC1/CDK5RAP2/KATNB1/BAZ1B/ARID1A/MAP3K20/TACC3/ZWINT/CHEK2/SKA2/UBE2C/KPNB1/NCAPD2/CCNB1/BCL7A/KIF22/RMI2/SMC4/RACGAP1/INCENP/SMC2/CEP55/NEK2/SMC1A/NUSAP1/MAD2L1/CDK1/KIF23/NUF2/KIF18A/TTK/NDC80/BIRC5/DLGAP5/SKA1/BUB1/FBXO5/CENPI/NCAPG2/XRCC3/PLK1/CENPK/PRC1/CDC20/CENPE/TOP2A/CDCA8/KNTC1/TPX2/KIF2C/RCC1/NCAPG/KNL1/CENPF/SPC25/SPAG5/KIF4A/KIF11/AURKB/CDT1/KIFC1/NCAPH/UHRF1/KIF15/SPC24/ESPL1/KIF14/SKA3/BUB1B/TRIP13/KIF18B/MYBL2/CDC6/HASPIN/CCDC61/MAD2L1BP"
"GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",318,-0.540407260513195,-1.94916140036292,4.65819316817498e-10,2.32217930734256e-07,2.26354198379238e-07,1876,"tags=31%, list=13%, signal=27%","TCF3/ANAPC5/CCND2/MNAT1/RCC2/ARID2/PINX1/TOPBP1/LSM11/ERCC2/SMARCA4/AURKA/GEN1/CTDSPL/RPTOR/SPDL1/FBXO31/SMARCC1/RBBP8/DBF4/PSMB7/CDK5RAP2/GTPBP4/MTBP/MUC1/ZFP36L2/ARID1A/MAP3K20/E2F7/CCNE2/ZWINT/UBE2C/CDK2/CCNB1/BCL7A/RRM1/DBF4B/INCENP/JADE1/BARD1/SASS6/RFWD3/WEE1/TFDP1/PRKDC/MAD2L1/CDK1/EZH2/NUF2/TTK/NDC80/BIRC5/DLGAP5/SKA1/BUB1/FBXO5/BLM/XRCC3/RBL1/CACNB4/STIL/PLK1/ATAD5/CDC20/CENPE/CDCA8/KNTC1/BRCA1/CHEK1/KNL1/CENPF/PKMYT1/SPC25/PLCB1/AURKB/CLSPN/E2F1/SPC24/CDC7/ESPL1/ORC1/KIF14/SKA3/BUB1B/RRM2/DTL/TRIP13/CDC25C/ANLN/TICRR/CDC25A/CDC6/PBX1/GFI1B/HASPIN/MAD2L1BP/TFAP4"
