"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",194,-0.705230621090832,-2.41537667692492,1e-10,2.5e-09,2.05263157894737e-09,2194,"tags=61%, list=15%, signal=52%","XPO1/G3BP1/CCNT1/SYNCRIP/SLC38A1/ODC1/CENPA/UBE2S/RBM14/STMN1/E2F3/TENT4A/KPNA2/SMAD3/MNAT1/DTYMK/BRCA2/CDKN3/WRN/DDX39A/ODF2/HMGA1/AURKA/MAPK14/HMGN2/TNPO2/TMPO/SMARCC1/CTCF/PRIM2/SRSF1/DBF4/LBR/CKS1B/PDS5B/CCNB2/ILF3/NOLC1/CASP8AP2/MAP3K20/TACC3/MYC/H2AX/UBE2C/DKC1/KPNB1/POLA2/KIF22/SUV39H1/SMC4/RACGAP1/FANCC/INCENP/SMC2/BARD1/NASP/NEK2/SMC1A/NUSAP1/KIF20B/TFDP1/CCNA2/UCK2/MAD2L1/CDK1/EZH2/KIF23/NSD2/MCM5/MCM3/MCM6/TTK/NDC80/BIRC5/BUB1/FBXO5/GINS2/TRAIP/ORC6/RBL1/STIL/HMMR/EXO1/PLK1/SLC7A5/PRC1/CDC20/CENPE/TOP2A/LMNB1/MCM2/E2F2/SLC7A1/TPX2/KIF2C/PLK4/POLE/CHAF1A/CCNF/CHEK1/KNL1/CENPF/TROAP/KIF4A/KIF11/AURKB/RAD54L/MKI67/POLQ/KIF15/E2F1/CDC7/ESPL1/CDC25A/MYBL2/CDC6/CDC45/PRMT5"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,-0.690520835764609,-2.36513589721518,1e-10,2.5e-09,2.05263157894737e-09,2272,"tags=63%, list=16%, signal=54%","UBE2T/CKS2/XPO1/RAD1/LUC7L3/SYNCRIP/CCP110/UNG/UBE2S/STMN1/ANP32E/SMC3/PAN2/KPNA2/BRCA2/CDKN3/DDX39A/NUP107/POLD2/SSRP1/HMGA1/AURKA/CSE1L/NUP205/RFC2/TMPO/PNN/NUP153/CTCF/PRIM2/USP1/SRSF1/CBX5/LBR/CKS1B/PDS5B/TIPIN/MXD3/CCNB2/ILF3/NOLC1/LIG1/DUT/AK2/CTPS1/TACC3/MYC/H2AX/HMGB2/CHEK2/NCAPD2/POLA2/KIF22/RAD51AP1/SUV39H1/SMC4/RACGAP1/SHMT1/TK1/BARD1/NASP/SMC1A/PAICS/TCF19/MSH2/RFC3/CDCA3/NOP56/WEE1/PRKDC/PSMC3IP/MMS22L/MAD2L1/CDK1/EZH2/GINS4/MCM5/MCM7/MCM3/MCM6/BIRC5/DLGAP5/ATAD2/TIMELESS/ORC6/E2F8/CENPM/HMMR/PLK1/CDC20/MELK/CENPE/TOP2A/CDCA8/DEPDC1/LMNB1/MCM2/KIF2C/PLK4/POLE/BRCA1/CHEK1/DSCC1/SPC25/SPAG5/ASF1B/GINS1/KIF4A/AURKB/MKI67/POLD1/HELLS/SPC24/ESPL1/DIAPH3/CIT/MCM4/BUB1B/RRM2/TRIP13/CDC25A/KIF18B/MYBL2/GINS3/WDR90"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",189,-0.570830507772122,-1.94092762276372,1.67001042990266e-07,2.78335071650444e-06,2.28527743039312e-06,1951,"tags=31%, list=14%, signal=27%","CKAP5/SMC3/CNTRL/CLASP1/ECT2/BRCA2/TBCD/CEP192/TUBGCP3/AURKA/PCNT/MID1/LRPPRC/CDK5RAP2/KATNB1/CCNB2/WASF1/ACTN4/GEMIN4/KIF22/SMC4/RACGAP1/INCENP/TUBA4A/PIF1/NEK2/SASS6/SMC1A/NUSAP1/BCR/KIF20B/CDC42BPA/CDK1/KIF23/TTK/NDC80/BIRC5/DLGAP5/BUB1/FBXO5/PLK1/PRC1/CENPE/TOP2A/KNTC1/CEP72/SPTBN1/LMNB1/TPX2/KIF2C/NET1/CENPF/KIF4A/KIF11/KIF15/ESPL1/ANLN/CYTH2/TUBGCP6"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",198,0.491902725046692,1.74466953769627,1.06391677093777e-05,0.000132989596367221,0.000109191458069929,2860,"tags=39%, list=20%, signal=32%","IDH3G/SLC25A4/MGST3/ATP6V1F/NDUFB4/NDUFA4/ISCU/ATP5MC3/NDUFB5/PHYH/COX4I1/ATP6V0C/ATP5MF/PDHB/ATP5PF/ATP5PO/NDUFA3/NDUFA8/COX5B/CYB5A/SURF1/SLC25A5/COX7A2/ATP6V1G1/NDUFA6/ATP6V0B/IDH1/ATP6V0E1/ECHS1/NDUFA1/PRDX3/HCCS/PDK4/COX6C/COX5A/UQCR10/ATP5MG/FDX1/CYC1/NDUFV2/COX6A1/NDUFB3/ACAA2/ATP1B1/COX7B/UQCRB/MRPS22/SDHD/COX7C/LDHA/NDUFC2/ATP5F1C/ATP6V1D/NDUFB8/ACAA1/GPX4/NDUFS3/MRPS15/COX8A/ATP5F1E/VDAC2/COX6B1/BDH2/TIMM8B/MDH1/UQCRQ/UQCR11/NDUFA5/NDUFB2/VDAC3/NDUFC1/BAX/NDUFAB1/ECH1/NDUFS7/NDUFB6/MRPL34/MRPL15"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.657470811970053,-1.8973289470099,7.4742432620692e-05,0.00074742432620692,0.000613674709938313,2627,"tags=60%, list=18%, signal=49%","WDR43/NPM1/FARSA/NOC4L/PA2G4/PRMT3/HSPD1/SRM/PPAN/WDR74/GNL3/GRWD1/RCL1/BYSL/IPO4/UNG/TCOF1/MRTO4/RRP12/NOP16/PUS1/PPRC1/NOLC1/MYC/TMEM97/UTP20/MYBBP1A/NOP56/SLC19A1/MCM5/PLK1/PLK4/MCM4/SLC29A2/RRP9"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",192,0.436721720716676,1.53711855058823,0.00180373495600904,0.0150311246334086,0.0123413444358513,3265,"tags=44%, list=23%, signal=35%","ZBP1/IFI30/HLA-DRB1/GZMA/IFIT1/CDKN1A/HLA-DMA/CCL7/KLRK1/B2M/RTP4/CD74/HLA-DQA1/FPR1/CCL2/CCL5/CASP1/IFIT3/PSMB8/SSPN/ITGB7/CD40/UBE2L6/FCGR1A/PSMB10/CXCL10/SLAMF7/PSMB9/IFITM3/IFIT2/PSME2/MT2A/PSMA2/IRF7/CASP4/LAP3/SOD2/OASL/OAS2/IL6/CD86/IL18BP/TXNIP/PSME1/IFI27/FAS/HLA-G/MX1/TNFAIP2/IL10RA/CFB/MYD88/FGL2/SRI/PDE4B/ISG15/SERPING1/HLA-B/ICAM1/NAMPT/CD274/LYSMD2/PLSCR1/PARP12/SAMHD1/MARCHF1/ST3GAL5/LY6E/BTG1/UPP1/IFI35/EPSTI1/MX2/TNFSF10/VAMP5/HLA-A/CIITA/GPR18/NFKBIA/DHX58/SAMD9L/IRF5/CMKLR1/XAF1/TAP1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.437685400786685,-1.50312259191623,0.00238301212425156,0.0170215151732254,0.0139755598264377,3834,"tags=40%, list=27%, signal=30%","APEX1/SNRPD3/CSTF2/DEK/MRPS18B/EIF1AX/NCBP1/EPRS1/EIF4E/HDAC2/FAM120A/UBA2/TRA2B/PCNA/GOT2/HNRNPA1/NME1/NPM1/ORC2/SNRPD1/SRSF2/CUL1/HNRNPC/CANX/RANBP1/PPM1G/HNRNPD/PRPS2/HNRNPA3/PA2G4/IMPDH2/XRCC6/HSPD1/SRM/GNL3/XPO1/G3BP1/HNRNPR/SYNCRIP/EIF3B/ODC1/RFC4/KPNA2/DDX21/DHX15/POLD2/SNRPA/RUVBL2/SMARCC1/USP1/SRSF1/SRSF3/TRIM28/NOP16/IARS1/NOLC1/SF3B3/XPOT/DUT/HDGF/CTPS1/MYC/CDK2/KPNB1/SRPK1/TYMS/RRM1/FBL/NOP56/TFDP1/CCNA2/MAD2L1/CAD/MCM5/MCM7/MCM6/CDC20/MCM2/MCM4/CDC45/RRP9"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",165,0.445254148111439,1.54292300121835,0.00352802038883097,0.0195954342007484,0.0160888828174566,3797,"tags=50%, list=27%, signal=37%","RGS1/TACR1/TLR3/CD14/CDKN1A/CCL7/CD70/RTP4/TIMP1/OLR1/FPR1/PDPN/MARCO/CCL2/CCL5/IFITM1/SCN1B/MET/KCNMB2/IL7R/CD40/MSR1/CXCL10/IL10/LTA/C5AR1/EMP3/CCRL2/CXCL6/IRF7/SELL/C3AR1/IL6/BEST1/GPR183/AQP9/TPBG/CYBB/CCR7/IL10RA/SRI/IL18/STAB1/PDE4B/ADRM1/ICAM1/NAMPT/IL1A/PLAUR/ITGB8/LY6E/HBEGF/TNFSF9/GABBR1/BTG2/TLR2/P2RX7/EBI3/CCL24/SLC31A2/TNFSF10/SLC31A1/NFKBIA/TLR1/CXCL8/ICOSLG/CMKLR1/RELA/MMP14/INHBA/RHOG/IFNAR1/IRAK2/PTPRE/HPN/CD48/ADGRE1/IL15/SELENOS/HRH1/CSF1/SLAMF1/ABCA1"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",167,0.44014718132962,1.52207235969067,0.00319969861933406,0.0195954342007484,0.0160888828174566,2693,"tags=38%, list=19%, signal=31%","CTSV/ANG/MAFF/LGALS3/GZMA/C1QC/FCER1G/CTSL/C1QA/CA2/TIMP1/OLR1/CCL5/CD59/CP/CTSS/CASP1/ANXA5/CALM1/CXCL1/CTSC/LGMN/MMP12/C9/PDGFB/LIPA/PSMB9/PLA2G7/CTSD/C3/C2/LRP1/CASP5/IRF7/CTSH/CASP4/LAP3/CALM3/ADAM9/IL6/FDX1/PRSS36/S100A13/GNGT2/CTSB/CSRP1/APOBEC3G/CFB/SERPING1/CD40LG/DOCK4/CTSO/PRCP/PLSCR1/ME1/PLAUR/DUSP5/PFN1/CEBPB/TIMP2/GATA3/PLEK/CR2/CD46"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",171,0.426909553077819,1.48089030301276,0.00391908684014968,0.0195954342007484,0.0160888828174566,2719,"tags=38%, list=19%, signal=31%","SIT1/APBB1/HLA-DOB/TLR3/CXCR3/IGSF6/CCL13/GZMA/HLA-DMA/CCL7/B2M/CD79A/CD74/CCL4/TIMP1/CAPG/HLA-DMB/HLA-DQA1/CD3D/CCL2/CCL5/CD7/HLA-DRA/CTSS/FCGR2B/CRTAM/IFNGR1/CD3G/CD40/TNF/CD2/PSMB10/IL10/C2/MMP9/CCR5/IRF7/CD3E/HLA-DOA/IL6/HCLS1/CD86/HLA-E/LTB/FAS/CDKN2A/HLA-G/CCR1/IL18/STAB1/CD40LG/ICAM1/CFP/KLRD1/LY86/BCL3/RPS3A/GPR65/CD47/BCAT1/BCL10/TLR2/CD80/IL2RG/IL16"
