"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",27,-0.868482962142964,-2.16257352773933,1.46046708375883e-08,7.3461494313069e-06,6.94874865114726e-06,782,"tags=70%, list=5%, signal=67%","GINS4/MCM5/MCM7/MCM3/MCM6/GINS2/ORC6/MCM2/POLE/GINS1/CDT1/ORC1/POLE2/MCM4/TICRR/CDC6/CDC45/GINS3/RECQL4"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",30,-0.822775700446829,-2.10629325066639,4.74022215209477e-07,0.000119216587125183,0.00011276739014457,1494,"tags=73%, list=10%, signal=66%","RFC2/PRIM2/PRIM1/POLA2/RFC5/RFC3/GINS4/MCM5/MCM7/MCM3/MCM6/POLA1/GINS2/WDHD1/MCM2/POLE/GINS1/POLE2/MCM4/MCM10/CDC45/GINS3"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",24,-0.83005258863702,-2.00691520533926,2.68496285297733e-06,0.000450178771682532,0.000425825687559913,1434,"tags=75%, list=10%, signal=68%","DBF4/MTBP/CCNE2/CDK2/CCNA2/MCM5/MCM7/MCM3/MCM6/ORC6/MCM2/CDT1/CDC7/ORC1/MCM4/TICRR/CDC6/CDC45"
"KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION",25,0.824691209687943,2.08090293008649,5.61859116204441e-06,0.000706537838627084,0.000668316632958966,1979,"tags=88%, list=14%, signal=76%","HLA-DOB/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DQA1/HLA-DRA/HLA-DQB1/HLA-DRB5/CD40/TNF/HLA-F/IL10/HLA-C/HLA-DOA/CD86/HLA-E/FAS/HLA-G/CD40LG/HLA-B"
"KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG_AUTOIMMUNE_THYROID_DISEASE",27,0.78772972795763,2.00764575031077,1.6295897144776e-05,0.000910759584869147,0.000861490702858333,1979,"tags=81%, list=14%, signal=70%","HLA-DOB/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DQA1/HLA-DRA/HLA-DQB1/HLA-DRB5/CTLA4/CD40/HLA-F/IL10/HLA-C/HLA-DOA/CD86/HLA-E/FAS/HLA-G/CD40LG/HLA-B"
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY",16,-0.861337965019498,-1.96775735246343,1.57513780913035e-05,0.000910759584869147,0.000861490702858333,782,"tags=75%, list=5%, signal=71%","GINS4/MCM5/MCM7/MCM3/MCM6/GINS2/TRAIP/MCM2/GINS1/MCM4/CDC45/GINS3"
"KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES","KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES","KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES",12,0.908804811525281,1.95600669425031,1.05514329383995e-05,0.000910759584869147,0.000861490702858333,1316,"tags=100%, list=9%, signal=91%","HLA-DOB/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1/CD74/HLA-DMB/HLA-DQA1/HLA-DRA/HLA-DQB1/HLA-DRB5/HLA-DOA"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION","KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION","KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION",12,0.905862592876723,1.94967420205886,1.30052100400281e-05,0.000910759584869147,0.000861490702858333,1316,"tags=92%, list=9%, signal=83%","HLA-DOB/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DQA1/HLA-DRA/HLA-DQB1/HLA-DRB5/HLA-DOA"
"KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE","KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE","KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE",12,-0.889974868043529,-1.90765980300463,1.62138537865576e-05,0.000910759584869147,0.000861490702858333,1152,"tags=75%, list=8%, signal=69%","SKA2/NUF2/TTK/NDC80/SKA1/SPC25/AURKB/SPC24/SKA3"
"KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE",26,0.795126404268232,2.00898958431064,4.62604183296005e-05,0.00232689904197891,0.0022010220089452,2262,"tags=85%, list=16%, signal=71%","HLA-DOB/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DQA1/HLA-DRA/HLA-DQB1/HLA-DRB5/TNF/HLA-F/HLA-C/HLA-DOA/IL6/CD86/HLA-E/FAS/HLA-G/HLA-B/KLRD1/IL1A"
