"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",148,0.544738200550058,1.81158365146564,2.65959070186582e-05,0.00670216856870187,0.0063130284554815,2126,"tags=45%, list=15%, signal=39%","PDGFB/IL22RA2/TNFSF14/LIFR/GHR/IL24/CSF3/VEGFC/CCL20/EGFR/CXCL6/CCL8/CCL7/OSMR/TNFSF15/IL1A/TNFRSF12A/IL6/CCL13/CD70/CCL18/CCL3/CCL23/INHBA/PDGFRA/TGFB2/CXCL1/CCL2/TNFSF9/IL1B/ACVRL1/PPBP/CCL24/IL1R2/PF4/PDGFA/CCL3L3/CXCL3/KITLG/IL10/LTB/CXCL16/CCR7/CSF1/CCR1/IL7R/IL15/TNFRSF25/VEGFB/IFNGR1/TNFSF13/MET/CCR4/TNF/LTA/TNFSF12/CCR5/CCR6/CXCL5/EPOR/IL19/CXCL2/BMPR1A/CD40/CCL4/CXCL8/CCL5"
"KEGG_FOCAL_ADHESION","KEGG_FOCAL_ADHESION","KEGG_FOCAL_ADHESION",150,0.530950973705103,1.76922640904241,2.52653371089685e-05,0.00670216856870187,0.0063130284554815,1678,"tags=31%, list=12%, signal=28%","SHC1/THBS3/PDGFB/MYL9/COL4A1/VEGFC/COL1A2/THBS2/CAV1/FN1/COL6A2/LAMA1/EGFR/LAMA4/COL6A1/COL4A2/COL1A1/CAV2/COL3A1/PARVA/ITGA2/ACTN2/ITGA3/COL5A2/MYLK/COL5A1/CCND1/ITGA11/PDGFRA/SPP1/SHC3/TNC/LAMB1/ITGB7/PDGFA/LAMA2/MYL12A/LAMB3/LAMA3/DOCK1/MAPK10/HRAS/PIK3R3/VEGFB/ITGB3/PTK2/MET"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",27,-0.794882623502372,-1.86597753721308,6.95370101654087e-05,0.0116822177077887,0.0110039268717892,1616,"tags=70%, list=12%, signal=62%","MTBP/GINS4/MCM7/MCM3/CDC6/MCM5/MCM4/MCM2/MCM6/POLE/ORC6/TICRR/ORC1/POLE2/GINS1/CDC45/GINS2/CDT1/RECQL4"
"KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE",24,0.787854354169647,1.87489103834662,0.000129376071846768,0.0163013850526928,0.0153548969481296,2541,"tags=83%, list=18%, signal=68%","IL1A/IL6/IL1B/HLA-DPA1/HLA-DRB1/HLA-C/HLA-F/HLA-B/CD80/HLA-DPB1/HLA-DMB/HLA-DRA/TNF/HLA-DQA1/HLA-DMA/HLA-DQB1/HLA-E/HLA-DRB5/HLA-A/CD86"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",52,0.661103192052357,1.8503418841956,0.000269820537705598,0.0271979102007243,0.0256187500010999,2550,"tags=58%, list=18%, signal=47%","IFI30/CTSL/CD8B/B2M/HLA-DPA1/LGMN/HSPA1B/HLA-DRB1/HLA-C/HLA-F/CD74/CTSS/HLA-B/TAP1/CD8A/HLA-DPB1/HLA-DMB/HLA-DRA/PSME2/LTA/HLA-DQA1/HLA-DMA/HLA-DQB1/PDIA3/HLA-E/CTSB/HSPA8/HLA-DRB5/HLA-A/HSPA1A"
"KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION",23,0.773392399936613,1.83467050456267,0.000385765828869934,0.0324043296250745,0.0305228752316387,2541,"tags=83%, list=18%, signal=68%","HLA-DPA1/HLA-DRB1/HLA-C/HLA-F/HLA-B/IL10/CD80/HLA-DPB1/HLA-DMB/HLA-DRA/TNF/HLA-DQA1/HLA-DMA/HLA-DQB1/HLA-E/CD40/HLA-DRB5/HLA-A/CD86"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",30,-0.758807889321552,-1.81570000421785,0.000486609793718384,0.0349943063464498,0.0329624731876543,2775,"tags=80%, list=20%, signal=64%","RFC4/PCNA/GINS3/RFC2/PRIM2/POLA2/PRIM1/RFC5/GINS4/MCM7/RFC3/MCM3/MCM5/MCM4/MCM2/WDHD1/POLA1/MCM6/POLE/POLE2/GINS1/CDC45/GINS2/MCM10"
"KEGG_ECM_RECEPTOR_INTERACTION","KEGG_ECM_RECEPTOR_INTERACTION","KEGG_ECM_RECEPTOR_INTERACTION",53,0.637874609112139,1.80457166529343,0.000624898327615175,0.0349943063464498,0.0329624731876543,1215,"tags=51%, list=9%, signal=47%","THBS3/COL4A1/COL1A2/THBS2/FN1/COL6A2/LAMA1/LAMA4/COL6A1/COL4A2/COL1A1/COL3A1/ITGA2/ITGA3/COL5A2/COL5A1/ITGA11/SPP1/TNC/LAMB1/ITGB7/LAMA2/SV2C/SDC3/LAMB3/LAMA3/SDC4"
"KEGG_DNA_REPLICATION","KEGG_DNA_REPLICATION","KEGG_DNA_REPLICATION",34,-0.72888504898375,-1.78349456407164,0.000597072757113386,0.0349943063464498,0.0329624731876543,2806,"tags=68%, list=20%, signal=54%","POLD2/RFC4/PCNA/RFC2/RNASEH2B/PRIM2/POLA2/PRIM1/RFC5/LIG1/MCM7/RFC3/FEN1/MCM3/MCM5/MCM4/MCM2/POLA1/MCM6/POLE/DNA2/POLE2/POLD1"
"KEGG_TYPE_I_DIABETES_MELLITUS","KEGG_TYPE_I_DIABETES_MELLITUS","KEGG_TYPE_I_DIABETES_MELLITUS",27,0.743126657504733,1.81844117230956,0.000762189829956857,0.0362125786403005,0.0341100103733825,2609,"tags=81%, list=19%, signal=66%","IL1A/GAD1/IL1B/HLA-DPA1/HLA-DRB1/HLA-C/HLA-F/HLA-B/CD80/HLA-DPB1/HLA-DMB/HLA-DRA/TNF/LTA/HLA-DQA1/HLA-DMA/HLA-DQB1/HLA-E/HLA-DRB5/HLA-A/CD86/CPE"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",24,-0.764847523898317,-1.75863851922673,0.000790353898895448,0.0362125786403005,0.0341100103733825,1867,"tags=71%, list=13%, signal=61%","DBF4/CCNE1/MTBP/MCM7/MCM3/CDC6/MCM5/CCNA2/MCM4/MCM2/MCM6/CDC7/ORC6/TICRR/ORC1/CDC45/CDT1"
