"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",202,0.682008083104313,2.09892701373149,1e-10,4.374e-08,3.78421052631579e-08,1237,"tags=34%, list=9%, signal=32%","GREM1/ADAMTS1/CCN1/HAS2/LOX/COL3A1/COL12A1/MMP3/LOXL2/COL1A1/FBLN1/FKBP10/NID2/EFEMP2/COL4A2/NTN4/COL1A2/CAV1/MMP1/FAP/LAMA1/COL4A1/COL5A1/TGFB2/THSD4/COL16A1/FOXC1/MMP16/COL6A1/COL10A1/CAV2/PLOD2/PHLDB2/FLRT2/ITGA2/COL6A5/LOXL1/CCDC80/ADAMTS6/ADAMTS5/MMP8/COL5A2/COL13A1/COL27A1/DDR2/LAMB1/TGFBR3/SULF2/EMILIN1/ADAMTS10/MMP19/SPINT1/MMP12/COL8A1/IL6/LTBP4/EXT1/DPP4/LAMA2/ITGB3/GAS6/ADTRP/MELTF/MMP14/ADAM8/ANTXR1/PTX3/TGFBI/PXDN"
"GOBP_BLOOD_VESSEL_MORPHOGENESIS","GOBP_BLOOD_VESSEL_MORPHOGENESIS","GOBP_BLOOD_VESSEL_MORPHOGENESIS",421,0.624989227785012,2.05989898693091,1e-10,4.374e-08,3.78421052631579e-08,1119,"tags=23%, list=8%, signal=21%","GREM1/ADAMTS1/CCN1/HAS2/CDH13/LOX/CCBE1/COL3A1/ACKR3/NR2F2/THY1/LOXL2/BMPER/DCN/PRKD1/SFRP1/FKBP10/ANGPTL4/EFEMP2/SEMA5A/CCN2/COL4A2/DSG2/VEGFC/MFGE8/SERPINE1/THBS2/CAV1/FAP/LAMA1/GJC1/FN1/ZNF304/FGF2/COL4A1/SRPX2/FZD4/TGFB2/AMOTL2/SLIT2/FOXC1/TMEM201/YAP1/PRRX1/NPR3/CDH2/MDK/TJP1/SCG2/HES1/MYLK/F3/DDAH1/PARVA/TWIST1/ZFPM2/CXCL8/ID1/TGM2/IL1A/THBS1/WNT5A/PTGS2/VEGFA/IL1B/PF4/EMP2/TNFRSF12A/ADGRB3/TGFBR3/ANG/RHOB/ADM/ADAM12/EMILIN1/PDGFA/PDE3B/TIPARP/JAM3/HIF1A/SPHK1/SOX4/MMP19/COL8A1/BTG1/PLK2/IL6/TGFA/ITGB3/ADTRP/HSPG2/SPARC/MMP14/ADAM8/CCN3"
"GOBP_TISSUE_MORPHOGENESIS","GOBP_TISSUE_MORPHOGENESIS","GOBP_TISSUE_MORPHOGENESIS",373,0.625811496716423,2.05967068360615,1e-10,4.374e-08,3.78421052631579e-08,1475,"tags=25%, list=11%, signal=23%","STC1/GREM1/EGFR/COL3A1/DKK1/TSC2/HS3ST3A1/GDNF/GJA1/SFRP1/EFEMP2/FST/VEGFC/NTN4/SNAI2/PKD1/LAMA1/FGF2/TGFB1I1/COL4A1/COL5A1/FOXD1/TGFB2/FOXQ1/IRX3/SLIT2/FOXC1/EPHA7/MSX1/NKX3-1/YAP1/PODXL/DCHS1/CTHRC1/TNC/MDK/TBX3/MET/FERMT2/HES1/PHLDB2/MYLK/ITGA2/TWIST1/WNT5B/ADAMTS5/HBEGF/ZFPM2/INHBA/NCKAP1/TGM2/WNT5A/VEGFA/ALDH1A3/EPHA4/DLC1/AREG/IGF1/TGFBR3/RHOB/TFAP2C/ADM/PDGFA/SEMA4C/SDC4/HIF1A/DSP/PLET1/SHOX2/PERP/SPINT1/MMP12/EXT1/ITGA3/FUZ/ITGB3/MMP14/DLG3/TULP3/SPRY1/NPHP1/HOXA5/GCNT4/TGIF1/MKS1/CECR2/HOXB2/HMGA2/PBX1/PDPN/SOCS3/ACVRL1/MYC/TPM1"
"GOBP_CELL_SUBSTRATE_ADHESION","GOBP_CELL_SUBSTRATE_ADHESION","GOBP_CELL_SUBSTRATE_ADHESION",264,0.645448659223932,2.0552149682647,1e-10,4.374e-08,3.78421052631579e-08,1074,"tags=22%, list=8%, signal=21%","GREM1/CCN1/HAS2/CDH13/COL3A1/THY1/COL1A1/FBLN1/SFRP1/NID2/EFEMP2/CCN2/NTN4/SERPINE1/ACTN2/PKD1/FN1/ITGA11/TGFB1I1/FZD4/COL16A1/ITGBL1/MADCAM1/AXL/EFNA5/MDK/SVEP1/FERMT2/PHLDB2/ITGA2/PARVA/CCDC80/THBS1/COL13A1/VEGFA/DLC1/EMP2/LAMB1/CORO2B/LAMB3/TNFRSF12A/CTTN/EMILIN1/SDC4/SGCE/JAM3/ITGB7/ITGA1/PLET1/MMP12/SPRY4/COL8A1/SPOCK1/ITGA3/ITGB3/DMTN/GAS6/MELTF/MMP14"
"GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM","GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM","GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM",312,0.629312962690682,2.03272140901512,1e-10,4.374e-08,3.78421052631579e-08,1460,"tags=25%, list=10%, signal=23%","GREM1/EGFR/TSC2/HS3ST3A1/GDNF/GJA1/SFRP1/FST/VEGFC/NTN4/SNAI2/PKD1/LAMA1/FGF2/TGFB1I1/COL4A1/COL5A1/FOXD1/TGFB2/FOXQ1/IRX3/SLIT2/EPHA7/NKX3-1/YAP1/PODXL/DCHS1/CTHRC1/TNC/MDK/TBX3/MET/FERMT2/HES1/PHLDB2/TWIST1/WNT5B/HBEGF/NCKAP1/TGM2/WNT5A/VEGFA/ALDH1A3/EPHA4/DLC1/AREG/IGF1/RHOB/TFAP2C/ADM/PDGFA/SEMA4C/SDC4/HIF1A/PLET1/PERP/SPINT1/MMP12/EXT1/FUZ/ITGB3/MMP14/DLG3/TULP3/SPRY1/NPHP1/HOXA5/TGIF1/MKS1/CECR2/HOXB2/HMGA2/PBX1/PDPN/SOCS3/ACVRL1/MYC"
"GOBP_HEART_DEVELOPMENT","GOBP_HEART_DEVELOPMENT","GOBP_HEART_DEVELOPMENT",383,0.61547725260736,2.03019547898241,1e-10,4.374e-08,3.78421052631579e-08,887,"tags=17%, list=6%, signal=17%","GREM1/ADAMTS1/CCN1/BICC1/HAS2/EGFR/LOX/COL3A1/DKK1/TSC2/FHOD3/GJA1/UTY/DSG2/SNAI2/ACTN2/PKD1/GJC1/FN1/ABCC9/FGF2/COL5A1/TGFB2/IRX3/SLIT2/FOXC1/MSX1/COL6A1/SIK1/NKX3-1/YAP1/KCNK2/DCHS1/DZIP1/PDLIM4/TBX3/HES1/FLRT2/OLFM1/PARVA/TWIST1/ADAMTS6/ADAMTS5/BMP6/ZFPM2/CXADR/FBN1/INHBA/NCKAP1/ID1/WNT5A/VEGFA/DLC1/EMP2/PLXNA4/IGF1/TGFBR3/FHL2/ADM/EMILIN1/RGS2/PPP1R13L/HIF1A/DSP/SOX4/SHOX2"
"GOBP_RESPONSE_TO_GROWTH_FACTOR","GOBP_RESPONSE_TO_GROWTH_FACTOR","GOBP_RESPONSE_TO_GROWTH_FACTOR",486,0.595522777184866,1.98837186557037,1e-10,4.374e-08,3.78421052631579e-08,1054,"tags=17%, list=8%, signal=17%","GREM1/CCN1/MAP1B/HAS2/EGFR/LOX/CCBE1/COL3A1/DKK1/FGF5/NR2F2/RGMB/USP9Y/BMPER/COL1A1/DCN/PRKD1/SFRP1/CCN2/INPP5K/COL4A2/BDNF/VASN/HTRA2/FST/VEGFC/COL1A2/SNAI2/CAV1/FGF2/TGFB1I1/FOXD1/FZD4/TGFB2/TGFBR3L/SLIT2/FSTL3/FOXC1/MSX1/DKK3/CAV2/GPC1/FSTL1/FERMT2/LTBP1/HES1/FLRT2/HTRA1/MAGI2/BMP6/ERRFI1/FBN1/CXCL8/ID1/THBS1/VEPH1/WNT5A/VEGFA/IL1B/DDR2/DDIT4/MECOM/KCP/TGFBR3/SULF2/SPRED3/CPS1/EMILIN1/ATF3/HIF1A/SPHK1/CRIM1/SPINT1/NBL1/SPRY4/CDKN1C/LTBP4/EXT1/ITGA3/PELO/FUZ/ACVR1C/LTBP2/ITGB3/GAS6"
"GOBP_POSITIVE_REGULATION_OF_LOCOMOTION","GOBP_POSITIVE_REGULATION_OF_LOCOMOTION","GOBP_POSITIVE_REGULATION_OF_LOCOMOTION",422,0.566077366853829,1.86670795084211,1e-10,4.374e-08,3.78421052631579e-08,1098,"tags=19%, list=8%, signal=18%","GREM1/ADAMTS1/TWIST2/CCN1/HAS2/EGFR/CDH13/CCBE1/ACKR3/THY1/COL1A1/FBLN1/PRKD1/SEMA5A/VEGFC/SERPINE1/SNAI2/CAV1/FN1/ZNF304/FGF2/CEMIP/SRPX2/FZD4/TGFB2/SLIT2/TMEM201/PODXL/MADCAM1/CCL20/MDK/TJP1/MET/SCG2/FERMT2/MYLK/ITGA2/F3/TWIST1/WNT5B/HBEGF/AKAP12/TPBG/F2R/CXCL8/THBS1/WNT5A/PTGS2/VEGFA/IL1B/CFAP69/EPHA4/DDR2/CAVIN1/LAMB1/IGF1/TGFBR3/RHOB/CTTN/PDGFA/JAM2/SEMA4C/JAM3/HIF1A/SPHK1/CXCL16/PLET1/PERP/IL1R1/IGSF8/PLK2/IL6/SEMA3D/ITGB3/DMTN/GAS6/SPARC/MMP14/ADAM8"
"GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY","GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY","GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY",441,0.562083394563492,1.86391184563999,1e-10,4.374e-08,3.78421052631579e-08,1465,"tags=22%, list=11%, signal=21%","GREM1/IGFBP6/EGFR/CDH13/LOX/CCBE1/FGF5/PLAT/NR2F2/TSC2/GDNF/COL1A1/DCN/PRKD1/IGFBP3/CCN2/INPP5K/COL4A2/GPRC5A/BDNF/VEGFC/FGF2/COL4A1/IL31RA/FZD4/ENPP1/PLCE1/FOXC1/EPHA5/EPHA7/COL6A1/NKX3-1/AXL/EFNA5/CAV2/GPC1/SVEP1/MET/FLRT2/GHR/F3/HBEGF/ERRFI1/CD8B/THBS1/WNT5A/VEGFA/SIPA1L1/IL1B/EPHA4/DDR2/AREG/IRS1/NAMPT/DDIT4/IGF1/SULF2/PDK4/EMILIN1/PDGFA/MUSK/PDE3B/ARHGEF28/TIPARP/PID1/TRAT1/CD8A/HIF1A/IFI6/CRIM1/ITGA1/IL1R1/SPRY4/TRIB3/MZB1/BCAR3/EXT1/TGFA/WDR54/FUZ/ITGB3/MMP14/CHN1/ANTXR1/ARID5B/PLAUR/SPRY1/SAMD12/SLC39A14/HIP1R/CSRNP1/CD7/PLEKHA1/AHI1/PRKCZ/SOCS3/ANGPTL1/GKAP1"
"GOBP_RESPONSE_TO_WOUNDING","GOBP_RESPONSE_TO_WOUNDING","GOBP_RESPONSE_TO_WOUNDING",388,0.561237313450928,1.84892186614974,1e-10,4.374e-08,3.78421052631579e-08,1125,"tags=21%, list=8%, signal=20%","PRKG1/MAP1B/COL3A1/PLAT/ANGPTL2/FBLN1/SERPINE2/FKBP10/TFPI2/NEFL/ANGPTL4/CCN2/DSG2/SERPINE1/CAV1/FAP/FN1/NFIB/FGF2/COL5A1/TGFB2/C1QTNF1/COL6A1/YAP1/KCNK2/TNC/AXL/MYL9/DPYSL3/MDK/SVEP1/FERMT2/PHLDB2/MYLK/ITGA2/F3/SERPINB2/HBEGF/PTPRS/INHBA/F2R/IL1A/THBS1/WNT5A/VEGFA/PTPRF/EPHA4/PF4/DDR2/IGF1/TNFRSF12A/SULF2/EMILIN1/THBD/HBB/PDGFA/ITPR3/SDC4/DCBLD2/SLC11A1/HIF1A/AURKA/DSP/BNIP3/PLET1/MMP12/SLC7A11/PLSCR1/DST/IL6/KREMEN1/TFPI/TIMP1/EXT1/ITGB3/DMTN/GAS6/ADTRP/CDK1/DDIT3/FOSL1/CD9"
