"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",161,0.844112005750895,2.54905522883929,1e-10,2.5e-09,1.68421052631579e-09,1082,"tags=56%, list=8%, signal=52%","GREM1/CCN1/LOX/COL3A1/DKK1/COL12A1/NTM/MMP3/THY1/PFN2/LOXL2/COL1A1/GJA1/FBLN1/DCN/SFRP1/SERPINE2/TFPI2/NID2/IGFBP3/EFEMP2/CCN2/COL4A2/BDNF/VEGFC/SERPINE1/COL1A2/SNAI2/THBS2/MMP1/FAP/LAMA1/FN1/FGF2/COL4A1/BGN/NNMT/COL5A1/SLIT2/FSTL3/COL16A1/ABI3BP/MSX1/COL6A2/PRRX1/NT5E/CTHRC1/CALD1/TNC/CDH2/PDLIM4/MYL9/DPYSL3/GPC1/PLOD2/FSTL1/GEM/SCG2/FERMT2/MYLK/ITGA2/HTRA1/PCOLCE/TPM2/LOXL1/FBN1/INHBA/COL5A2/CXCL8/TGM2/THBS1/ENO2/WNT5A/VEGFA/AREG/TNFRSF12A/TGFBR3/RHOB/ADAM12/SDC4/SLC6A8/DST/IL6/SPOCK1/TIMP1/LAMA2/ITGB3/SPARC/MMP14/VCAN"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",132,0.732966015881437,2.17556758862266,1e-10,2.5e-09,1.68421052631579e-09,1259,"tags=30%, list=9%, signal=27%","CCN1/MAP1B/HAS2/COL3A1/PLCB4/COL1A1/GJA1/BDNF/SERPINE1/COL1A2/SNAI2/CAV1/NFIB/MMP16/TJP1/RND3/MET/LTBP1/F3/DDAH1/MAGI2/RBPMS/SCN8A/COL5A2/ID1/SIPA1L1/DLC1/IRS1/TGFBR3/FHL2/AMPH/PTGFR/ADGRL2/TFPI/ITGB3/CACNA1A/CDKN1B/INSIG1/SYNJ2"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",166,0.679678468095516,2.06186740994906,5.73954582991209e-10,9.56590971652015e-09,6.44440233533989e-09,1232,"tags=32%, list=9%, signal=29%","STC1/CCN1/EGFR/LOX/ACKR3/DCN/IGFBP3/ANGPTL4/CCN2/SERPINE1/CAV1/KDELR3/BGN/COL5A1/STC2/GPC1/F3/TMEM45A/MAFF/ERRFI1/AKAP12/TPBG/TGM2/CSRP2/ENO2/VEGFA/CAVIN1/PPP1R3C/DDIT4/CHST2/IER3/NFIL3/ADM/ATF3/TIPARP/CAVIN3/SDC4/ISG20/CA12/CP/BTG1/IL6/P4HA2/CDKN1C/EXT1/FOSL2/DDIT3/ALDOC/PPFIA4/PPP1R15A/CDKN1B/PLAUR/TGFBI"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",116,0.673723502225365,1.97482687417399,1.87706739778759e-07,2.34633424723449e-06,1.58068833497902e-06,1400,"tags=31%, list=10%, signal=28%","CDH13/COL3A1/TSC2/COL1A1/IGFBP3/COL4A2/FST/OCEL1/ACTN2/FGF2/SMTN/COL6A2/STC2/CNN3/MYLK/WWTR1/TPM2/CKB/HBEGF/PPP1R3C/IGF1/NAV2/ADAM12/SSPN/SLC6A8/SPHK1/TNNT1/FHL1/GPX3/LAMA2/SPARC/PPFIA4/GADD45B/PVALB/MYOM1/FKBP1B"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",189,0.59069279697685,1.8241822474063,8.00544751847666e-07,8.00544751847666e-06,5.39314359139481e-06,1468,"tags=34%, list=11%, signal=31%","CCN1/ACKR3/SERPINE1/CLCF1/SIK1/GFPT2/TNC/CCL20/GEM/HES1/F3/SERPINB2/MAFF/FJX1/IFIT2/HBEGF/INHBA/PHLDA1/G0S2/IL1A/GPR183/PTGS2/VEGFA/OLR1/DUSP4/IL1B/ETS2/PHLDA2/AREG/NAMPT/LAMB3/IER3/RHOB/NFIL3/ATF3/TIPARP/SDC4/SPHK1/MXD1/BTG3/BTG1/PLK2/TNFSF9/IL6/FOSL2/SLC16A6/FOSL1/KLF9/PPP1R15A/TRIP10/KLF2/PLAUR/PTX3/TGIF1/GADD45B/ABCA1/CXCL6/JUN/TNFAIP6/KYNU/SOCS3/CXCL3/MYC/ICOSLG"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",87,0.636825141274508,1.78861653658261,0.000158595071373335,0.00113282193838097,0.000763164253225071,1166,"tags=34%, list=8%, signal=32%","PLAT/MMP3/TFPI2/C1R/SERPINE1/MMP1/FN1/ITGA2/F3/HTRA1/CRIP2/SERPINB2/MAFF/PRSS23/FBN1/MMP8/THBS1/OLR1/PF4/S100A13/ANG/THBD/TIMP1/DPP4/ITGB3/SPARC/MMP14/CD9/DUSP14/CAPN5"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",137,0.576637311919304,1.72097260147784,0.000158139958138141,0.00113282193838097,0.000763164253225071,1249,"tags=22%, list=9%, signal=20%","EGFR/THY1/ACTN2/PKD1/NFASC/SLIT2/COL16A1/CLDN11/MADCAM1/MYL9/MDK/TJP1/LAYN/ITGA2/PARVA/ADAMTS5/FBN1/ADAM23/NECTIN3/IRS1/LAMB3/SGCE/JAM3/CDH4/ICAM5/CERCAM/ITGA3/VCAN/TGFBI/INSIG1"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",26,0.79210117432459,1.77742055522597,0.00036997953857332,0.00205544188096289,0.00138471874085921,1345,"tags=50%, list=10%, signal=45%","STC1/COL3A1/MSX1/FSTL1/COL5A2/VEGFA/OLR1/PF4/THBD/PDGFA/TIMP1/VCAN/CXCL6"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",163,0.540475389936124,1.63925688382511,0.000350933699852333,0.00205544188096289,0.00138471874085921,1232,"tags=21%, list=9%, signal=19%","STC1/EGFR/SPAG4/DCN/HS6ST2/IGFBP3/ANGPTL4/KDELR3/COL5A1/SLC25A10/NT5E/STC2/GPC1/PLOD2/MET/TPBG/ENO2/VEGFA/DDIT4/CHST2/IER3/ANG/ISG20/DEPDC1/AURKA/ALDH7A1/P4HA2/EXT1/TGFA/CDK1/VCAN/PPFIA4/CAPN5/TGFBI"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",141,0.546013853411443,1.63461333141374,0.000668950550427848,0.00334475275213924,0.00225330711723064,1363,"tags=21%, list=10%, signal=19%","IGFBP6/PLAT/DCN/CAV1/BGN/TGFB2/PMAIP1/F2R/KRT18/IL1A/ENO2/IL1B/IER3/TNFRSF12A/TGFBR3/IFITM3/RHOB/ATF3/ISG20/H1-0/GPX3/BTG3/IL6/TIMP1/DDIT3/CDKN1B/GADD45B/JUN/NEFH"
