"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MPO",0,-4.2068202181775,0.308,0.82,0
"KCNQ5",0,-3.17844836526753,0.194,0.696,0
"PRTN3",0,-4.25616496229012,0.144,0.598,0
"CSTB",0,2.38043344696124,0.866,0.458,0
"TYROBP",0,1.96247931814038,0.821,0.444,0
"S100A11",0,2.03808671682057,0.835,0.487,0
"B2M",0,1.82732986998513,0.972,0.956,0
"FTH1",0,2.57681318860792,1,1,0
"FTL",0,1.70926322056481,1,1,0
"S100A10",2.38667919674744e-303,2.19718307416585,0.759,0.357,5.14926036698261e-299
"S100A6",2.21478640298121e-302,1.77040699137223,0.87,0.563,4.77840166443197e-298
"MT1G",5.48058369969564e-292,1.63166981682104,0.938,0.695,1.18243593320933e-287
"PDE4D",2.46474490497939e-289,-2.33621905584208,0.323,0.742,5.31768713249304e-285
"GPX1",9.70676472030784e-286,1.49138310031057,0.926,0.71,2.09423448840642e-281
"CHST11",3.42993800075929e-284,-1.29560792779324,0.884,0.975,7.40009123663817e-280
"TALAM1",4.68302018601321e-283,1.56143412889041,0.931,0.597,1.01036160513235e-278
"AIF1",6.77363142894269e-276,1.78723265256369,0.81,0.478,1.46141098079438e-271
"LGALS3",9.16335379456815e-271,2.76611675848901,0.609,0.199,1.97699358117808e-266
"B4GALT5",4.77902808233677e-261,-2.09286308760168,0.373,0.756,1.03107530876416e-256
"FCER1G",1.1228310396584e-259,1.92380587291844,0.763,0.39,2.42250796806299e-255
"ELANE",1.02268521678704e-249,-3.49911334448401,0.122,0.506,2.20644335521804e-245
"RALGAPA2",5.96242356333898e-244,-1.62697122263457,0.45,0.799,1.28639288379038e-239
"CCL2",3.76038208492407e-238,1.54714902162507,0.871,0.596,8.11302434822369e-234
"PLCB1",5.31575178580858e-233,-2.43209636440924,0.176,0.564,1.1468734477882e-228
"MT1H",1.93984621237553e-231,1.62066552286667,0.816,0.487,4.18521820320021e-227
"ITM2B",1.28753833556978e-229,1.53964596575093,0.878,0.633,2.77786395899179e-225
"SPN",2.63631079479296e-229,-2.04747566581787,0.25,0.627,5.68784053976581e-225
"SRP14",4.4026915501708e-226,1.72160661406519,0.723,0.384,9.4988070194935e-222
"MIR924HG",2.97056899272183e-225,-3.62745600144626,0.04,0.381,6.40900260179735e-221
"MKI67",3.53146647797056e-225,-2.52671539729066,0.063,0.43,7.61913892622148e-221
"SLC39A11",4.59040342242108e-225,-1.36765414237446,0.778,0.926,9.90379538387349e-221
"CTSC",1.97748623645045e-223,1.26615662683047,0.98,0.896,4.26642655514185e-219
"VIM",7.36977006247115e-222,1.61078843051193,0.896,0.752,1.59002789097815e-217
"SH3BGRL3",1.49378056764257e-221,1.67057634330406,0.763,0.455,3.22283157468884e-217
"DAB2",1.17392165304937e-218,1.27393041100486,0.852,0.5,2.53273596645402e-214
"IFI30",2.05148757458287e-218,2.42831287143533,0.767,0.435,4.42608444216254e-214
"SRGN",8.6049860956319e-213,-1.2469566771464,0.85,0.961,1.85652575013258e-208
"DIAPH3",3.46922249702464e-212,-2.79102265785069,0.062,0.407,7.48484753733067e-208
"CST3",4.58868932701418e-211,2.05367075314295,0.793,0.495,9.9000972230331e-207
"MT-ND5",1.67635470726775e-210,-1.15174695454162,0.897,0.966,3.61673528093018e-206
"MRC1",1.37001305250877e-207,1.07064675923605,0.95,0.784,2.95580316078768e-203
"MED13L",8.76478950476463e-207,-0.863015931463291,0.888,0.963,1.89100333565297e-202
"RRM2",1.37382320033253e-205,-2.911498108538,0.055,0.388,2.96402355471744e-201
"IGSF6",6.25948611434443e-205,2.13171870552275,0.693,0.33,1.35048412916981e-200
"CUX1",1.08229891621854e-203,-1.08432417094944,0.762,0.91,2.33505991174151e-199
"S100A4",1.70148903240879e-203,1.41455283959427,0.862,0.658,3.67096258742196e-199
"ARHGAP15",4.77454940798978e-203,-0.951536073027079,0.921,0.981,1.03010903477379e-198
"CTSL",1.01492511132644e-197,1.88502606945641,0.801,0.483,2.18970092768679e-193
"MT-ND3",7.51726368395631e-197,-0.983184377477507,0.888,0.966,1.62184963981357e-192
"IGF1R",6.53358025283533e-194,-2.17851580395526,0.187,0.535,1.40961993954922e-189
"EIF3A",3.39887612702654e-193,-1.39108571091022,0.531,0.788,7.33307524405976e-189
"CDK14",5.78222647039552e-193,-1.65587777784779,0.282,0.648,1.24751536098783e-188
"MCTP2",1.42704909821557e-191,-1.36447181986888,0.309,0.691,3.07885842940008e-187
"FUCA1",1.98367592076424e-190,1.66578355165535,0.705,0.343,4.27978079904885e-186
"PRKDC",1.40381309944447e-189,-1.74084662803204,0.359,0.669,3.02872676205144e-185
"HLA-DPA1",7.96776234572685e-189,2.35516638104179,0.564,0.226,1.71904472609057e-184
"MALAT1",1.18309225213868e-188,0.871917793697672,1,1,2.55252153398921e-184
"HLA-DPB1",1.03000671054821e-182,1.84862907970574,0.6,0.25,2.22223947800776e-178
"FAM107B",1.5510792072295e-181,-1.45280263906444,0.489,0.769,3.34645338959764e-177
"NSD2",2.37137956788434e-181,-1.86226132077107,0.247,0.577,5.11625141771047e-177
"BAZ1A",1.18812133175661e-180,-1.21411709146347,0.635,0.842,2.5633717732649e-176
"CENPF",1.822427539591e-179,-2.32746230112815,0.068,0.38,3.93188741666759e-175
"HELLS",2.68294374965571e-179,-2.65882415792544,0.077,0.389,5.78845113988219e-175
"MARCO",3.82812066132836e-179,1.5504664738196,0.677,0.3,8.25917032681594e-175
"NPC2",5.38299566006585e-179,1.80076527027676,0.633,0.319,1.16138131365921e-174
"CALM1",2.10291038679807e-177,1.33077224863126,0.855,0.704,4.53702915951683e-173
"FAF1",3.87834945157097e-177,-1.18442020562982,0.601,0.82,8.36753894176436e-173
"POLQ",9.7760981874847e-176,-2.62653067127886,0.079,0.387,2.10919318394982e-171
"P2RY8",4.01748368881366e-175,-2.24178461847627,0.159,0.483,8.66772105861548e-171
"CD63",1.61627471664066e-172,1.35560022503005,0.861,0.726,3.48711270115221e-168
"F13A1",3.5250501882809e-172,1.11867368462511,0.786,0.443,7.60529578121603e-168
"LGALS1",1.25942940169914e-171,1.44404098498631,0.729,0.443,2.7172189341659e-167
"SPIDR",2.09943851572584e-169,-0.935848486280827,0.727,0.898,4.52953859767849e-165
"LYST",1.17996614430954e-168,-1.27741970259159,0.641,0.824,2.54577695634784e-164
"PLAC8",1.08068215099572e-167,-1.70728348876463,0.192,0.533,2.33157174077327e-163
"GPNMB",1.60274876551028e-166,1.21292107080721,0.752,0.411,3.45793046158843e-162
"SND1",7.44057474917857e-166,-1.35897726786084,0.455,0.734,1.60530400213528e-161
"ETV6",2.06901250484931e-165,-0.834137469408091,0.878,0.957,4.46389447921239e-161
"TOP2A",5.36233981566362e-165,-2.12054947291075,0.064,0.361,1.15692481522943e-160
"GAPDH",3.90488813353847e-164,1.11065718546379,0.908,0.873,8.42479614810926e-160
"UBC",7.01725532001035e-164,1.30671335410714,0.743,0.466,1.51397283529223e-159
"RPS13",9.60515839837505e-163,1.18829733854262,0.864,0.67,2.07231292444942e-158
"ATAD2",3.14280663207091e-161,-1.9635896066745,0.158,0.472,6.780605308693e-157
"AZU1",8.76999780437515e-161,-1.79536924144448,0.161,0.484,1.89212702629394e-156
"CTSS",3.77495990697297e-160,1.4636462360024,0.791,0.524,8.14447599929419e-156
"ARPC5",7.21850563246203e-160,1.09348406247105,0.875,0.715,1.55739259020368e-155
"INPP5A",9.11694102207231e-160,-1.98187515226429,0.163,0.482,1.9669800255121e-155
"GNAQ",1.02987703501673e-159,-0.742518056803669,0.929,0.976,2.22195970304859e-155
"SPP1",1.29130863657914e-159,1.28309589597329,0.998,0.996,2.78599838341949e-155
"MCU",1.51497913735687e-159,-1.44369616868578,0.552,0.784,3.26856748884745e-155
"LMNB1",1.60694190142578e-158,-2.19903824576202,0.115,0.419,3.46697715232613e-154
