"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"B2M",4.82855245094127e-278,1.54262372308403,0.992,0.95,1.04176019129058e-273
"FTH1",1.94703937556897e-223,1.26186456001751,1,1,4.20073745279004e-219
"FTL",2.11931337821376e-194,0.863385627849353,0.999,0.998,4.57241861349619e-190
"MPO",2.3497333093111e-172,-3.74854604192225,0.201,0.582,5.06954961483869e-168
"S100A11",1.32332305303547e-166,1.52141170175181,0.804,0.48,2.85506948692402e-162
"S100A6",5.67038563732081e-165,1.61830986077046,0.856,0.565,1.22338570125197e-160
"RALGAPA2",9.6508876960041e-159,-1.6899864746069,0.488,0.804,2.08217902041289e-154
"KCNQ5",2.11115769681099e-147,-2.89229839639847,0.161,0.527,4.55482273086972e-143
"CTSL",4.00657458671371e-140,1.83210580474697,0.776,0.403,8.64418467083483e-136
"LYST",8.62968710274643e-139,-2.06389969735483,0.341,0.667,1.86185499241754e-134
"CCDC26",2.70897634729749e-138,-3.99658664226575,0.06,0.387,5.84461646929433e-134
"PDE4D",2.89323603451496e-133,-2.05461401706774,0.303,0.643,6.24215674446603e-129
"IFI30",6.61423883320759e-133,1.86864514438235,0.71,0.349,1.42702202826454e-128
"MCTP2",1.1720930839411e-129,-1.35877519011871,0.312,0.692,2.52879082860291e-125
"VIM",1.67670750485348e-128,1.44058707778121,0.909,0.723,3.61749644172139e-124
"SLC39A11",1.04303930459844e-127,-1.72123251127091,0.524,0.783,2.25035729967113e-123
"STXBP5",1.71133993307069e-122,-1.40206056116788,0.403,0.746,3.69221590560002e-118
"FNDC3B",1.58503102404295e-119,-1.08054691867092,0.865,0.934,3.41970443437268e-115
"PLCB1",1.97320694833134e-119,-2.21953951427337,0.21,0.535,4.25719399102486e-115
"MAPK14",3.7300386264388e-117,-1.46734654084423,0.409,0.719,8.0475583365417e-113
"SH3BGRL3",6.00585502773349e-116,1.23655673958582,0.734,0.44,1.2957632222335e-111
"ATP8B4",3.39432202522836e-115,-1.05442661722101,0.839,0.929,7.3232497694302e-111
"IFITM3",1.55025027220998e-113,2.28083550658118,0.447,0.162,3.34466496229302e-109
"MT-ND1",2.9345614761397e-112,-1.25284839774171,0.582,0.808,6.3313163847714e-108
"CALM1",4.09482502966568e-112,0.941518729347952,0.909,0.703,8.83458500150371e-108
"CCL2",1.66599268234094e-111,1.4635459980652,0.723,0.4,3.59437921215059e-107
"B4GALT5",1.86198687290387e-111,-1.93256828734276,0.341,0.638,4.01723667829011e-107
"HLA-C",9.31015096677942e-106,1.21693119933929,0.688,0.393,2.00866507108266e-101
"GAPDH",1.17857637631472e-105,0.926395251017248,0.973,0.921,2.54277853189901e-101
"CHST11",1.45996809948345e-104,-1.03018133929892,0.668,0.873,3.14988117463554e-100
"ARHGAP15",1.52640554846897e-104,-0.881509054075003,0.799,0.933,3.29321997082181e-100
"HLA-B",1.74304647514071e-104,1.02229270994209,0.862,0.674,3.76062277011608e-100
"ITM2B",5.47586216666377e-102,1.11137438228294,0.879,0.672,1.18141726245771e-97
"PRKCA",2.17339326152356e-100,-1.48966493903424,0.417,0.696,4.68909596173708e-96
"S100A10",1.06315635847775e-99,1.3656638236373,0.631,0.344,2.29375984341574e-95
"IGF1R",3.4130208487994e-99,-1.79680020258413,0.209,0.514,7.3635924812847e-95
"CDK6",7.99633476767922e-98,-1.48166517969216,0.303,0.6,1.72520922612679e-93
"RPS6",1.10060057078356e-97,-1.06928144045443,0.614,0.823,2.37454573146553e-93
"TALAM1",3.10382804376371e-96,0.791336276909081,0.945,0.757,6.69650900442021e-92
"SNTB1",9.39853040417156e-96,-1.22921753097835,0.498,0.752,2.02773293470001e-91
"ACSM3",9.96386820777226e-95,-3.05837151280565,0.074,0.335,2.14970456582687e-90
"PCNX1",1.2171092530457e-94,-0.866803207401603,0.706,0.884,2.62591321344609e-90
"MT-CO3",1.02583285340412e-93,-0.927235261716982,0.99,0.996,2.21323438121939e-89
"ANXA5",3.24225208160642e-93,1.4755522566027,0.576,0.302,6.99515886606584e-89
"DACH1",7.16069896601833e-92,-1.65360794707364,0.202,0.499,1.54492080191846e-87
"IFI6",8.31547411999928e-91,2.48116727640772,0.301,0.077,1.79406354138984e-86
"CST3",5.80837927416399e-90,1.19549051168265,0.663,0.384,1.25315782840088e-85
"MCTP1",7.19591327357447e-90,-1.38192944218532,0.504,0.726,1.55251828877369e-85
"ELANE",2.30283470350747e-89,-4.26871213327627,0.069,0.309,4.96836587281736e-85
"CD14",4.00032656688766e-89,1.43460857277714,0.714,0.427,8.63070456806012e-85
"GNAQ",8.01509279002618e-89,-0.774191660785462,0.803,0.933,1.72925626944815e-84
"TMSB10",4.77839769874807e-88,0.796917459901879,0.921,0.798,1.0309393035049e-83
"SQSTM1",8.2639366568459e-88,1.03672091220183,0.747,0.476,1.7829443337145e-83
"PRTN3",9.82617843898213e-88,-4.50793215667775,0.068,0.305,2.11999799821039e-83
"CERS6",3.02702285671502e-87,-1.18860881399457,0.38,0.665,6.53080181336266e-83
"BAZ1A",4.22605987537527e-86,-1.19156964364669,0.411,0.684,9.11772418112214e-82
"ZNF438",1.23349570625213e-84,-1.30515841766584,0.367,0.642,2.66126698623897e-80
"SLCO3A1",2.34921273884216e-84,-0.997277269103999,0.38,0.689,5.06842648405195e-80
"TYROBP",3.47125507645454e-83,1.14640862892572,0.692,0.449,7.48923282745066e-79
"LRMDA",5.7663424203787e-83,-0.951455223607684,0.789,0.89,1.24408837719671e-78
"TCF12",2.00179170017352e-82,-0.814270300602782,0.657,0.844,4.31886559312438e-78
"MED13L",4.68405502531933e-82,-0.792521747433827,0.702,0.88,1.01058487171265e-77
"MT-ND3",4.86822015115856e-82,-0.96949624511194,0.578,0.789,1.05031849761246e-77
"RNF24",1.709416799071e-81,-1.13196594520525,0.358,0.643,3.68806674399567e-77
"PXK",1.52933592818287e-80,-1.23072013533075,0.323,0.6,3.29954226505455e-76
"FAF1",2.73183426257815e-80,-1.05015949879685,0.414,0.685,5.89393242151236e-76
"DOCK2",1.12687623486063e-79,-0.835911185557782,0.617,0.822,2.43123547671181e-75
"MMP1",2.15238739741767e-79,2.36888534924882,0.342,0.118,4.64377580992863e-75
"ADK",2.96976651621431e-79,-0.728618769238013,0.795,0.924,6.40727125873236e-75
"DENND1A",4.19332473542655e-79,-1.17274420726549,0.433,0.682,9.04709811668278e-75
"TIMP1",3.18760344592533e-78,1.6633042410269,0.499,0.247,6.87725443458391e-74
"CD63",5.17578493182492e-78,0.987989060343447,0.794,0.616,1.11667559904123e-73
"TBL1X",2.53017708144302e-77,-1.06465364124564,0.374,0.664,5.45885705321332e-73
"MIR223HG",9.81386978625014e-77,-1.3821219837006,0.211,0.487,2.11734240638347e-72
"FAM107B",1.26301948051512e-76,-1.16401411272124,0.444,0.69,2.72496452921137e-72
"RAB27A",1.72610344964848e-76,-1.1318180590361,0.325,0.6,3.72406819261659e-72
"MYL12A",2.19850344640155e-76,1.14200227520336,0.615,0.369,4.74327118561135e-72
"GALNT14",1.04941098312301e-74,-3.40586324151232,0.034,0.234,2.2641041960879e-70
"PRAM1",2.6931144618369e-74,-1.92344868047676,0.108,0.347,5.8103944514131e-70
"CDK14",5.70338690172527e-74,-1.1076813979632,0.364,0.628,1.23050572404723e-69
"MT-ND5",8.32745719151178e-74,-1.10982531787028,0.437,0.687,1.79664888906867e-69
"LINC01572",3.05052910549365e-73,-2.30446613132323,0.11,0.339,6.58151654510255e-69
"NIBAN1",8.34606303759426e-73,-1.05015949879685,0.319,0.602,1.80066310036096e-68
"TSPOAP1",1.16358361399743e-72,-8.99294423753469,0,0.164,2.51043164719945e-68
"ARPC5",1.22347090605014e-72,0.850598897854585,0.846,0.676,2.63963847980318e-68
"MCU",1.9099130963346e-72,-1.62774274698617,0.292,0.535,4.1206375053419e-68
"POLQ",3.70492767624567e-72,-2.9292366431194,0.041,0.242,7.99338146150003e-68
"CUX1",7.93679541482805e-72,-0.89687125956322,0.562,0.771,1.71236361074915e-67
"SPIDR",2.56479421888926e-71,-0.925913042300159,0.559,0.763,5.53354352725358e-67
"FRY",5.29787360985729e-71,-1.08878422955526,0.305,0.575,1.14301623132671e-66
"PLAC8",7.26435918682882e-71,-1.90548139628435,0.126,0.363,1.56728549455832e-66
"MT2A",1.01064247374252e-70,1.94620369730072,0.564,0.343,2.18046113709949e-66
"MAML3",1.23269360848277e-70,-0.954012558317706,0.378,0.65,2.65953646030157e-66
"RUNX1",1.42589191100367e-70,-0.921258915417037,0.634,0.833,3.07636179799042e-66
"KDM6A",1.60241340625925e-70,-0.855499009657219,0.417,0.688,3.45720692400434e-66
"MT-ND4",1.75794326365905e-70,-0.727741617951756,0.919,0.954,3.79276259134441e-66
"XIST",3.56252328273569e-70,-0.745454064222217,0.625,0.834,7.68614398250224e-66
"MYL6",3.57142859037468e-70,0.830409693016811,0.816,0.644,7.70535718373338e-66
"RPL4",8.57229160860641e-70,-1.0883337691574,0.34,0.607,1.84947191455683e-65
"PAN3",1.14248553877523e-69,-0.822486843550178,0.464,0.727,2.46491254990755e-65
"DIAPH2",1.28220223135152e-69,-0.875686464454131,0.602,0.797,2.7663513141409e-65
"MSRB3",1.28301350660941e-69,-2.3104487188956,0.092,0.31,2.76810164050981e-65
"FCER1G",1.3757620004422e-69,1.38658864606169,0.553,0.337,2.96820651595404e-65
"ANKRD17",1.99280927448138e-69,-0.812643609146966,0.577,0.786,4.29948600969358e-65
"SPP1",4.39811083496704e-69,1.49200611289027,0.898,0.803,9.48892412644139e-65
"ALPK1",5.69754874119214e-69,-1.21515544537048,0.318,0.568,1.22924614091221e-64
"CD68",8.92937448321577e-69,1.19901677034748,0.565,0.321,1.9265125447538e-64
"CAST",9.25743176741456e-69,0.9348565004787,0.646,0.401,1.99729090381969e-64
"LGALS1",1.40779427050376e-68,1.17668434832808,0.655,0.425,3.03731613861185e-64
"AZU1",2.43200126864819e-68,-2.84453808724975,0.057,0.257,5.24704273710846e-64
"PSTPIP2",3.20269953326132e-68,-0.906530339868369,0.559,0.773,6.90982424301131e-64
"CXCL8",1.01104168839592e-67,0.665635970007742,0.775,0.503,2.18132244271421e-63
"IRAK3",6.78386552772352e-67,-0.928496614369576,0.483,0.702,1.46361898760635e-62
"RPL3",8.20826767210846e-67,-0.932613375293838,0.55,0.755,1.7709337502574e-62
"HIP1",2.23224779166841e-66,-1.17640763906061,0.277,0.529,4.81607461052459e-62
"CDKAL1",3.00857630546168e-66,-1.03494537390198,0.368,0.619,6.49100337903358e-62
"HLA-DRB1",3.69031500959954e-66,1.22452590743748,0.6,0.361,7.961854633211e-62
"SLC44A1",3.72259859166e-66,-0.856412129434687,0.716,0.837,8.03150646150644e-62
"ST6GALNAC3",4.93254553629594e-66,-1.78697230379138,0.159,0.39,1.06419669945585e-61
"MALAT1",1.71160193980261e-65,0.464923312202437,1,1,3.69278118512413e-61
"PRKCB",4.56755678998972e-65,-0.826858955520928,0.471,0.729,9.85450377440282e-61
"CXCL5",6.21540328024971e-65,0.761277366473113,0.825,0.621,1.34097325771388e-60
"MX1",7.8055353629825e-65,1.80649648601167,0.328,0.125,1.68404425456347e-60
"LARP4B",8.52965941747584e-65,-0.978079579216518,0.358,0.61,1.84027401932041e-60
"ETV6",1.71832539714067e-64,-0.628722184913369,0.781,0.91,3.707287044331e-60
"GPI",1.82087753090706e-64,-1.57750864682608,0.183,0.412,3.92854327293199e-60
"MT-CO2",2.05307609490949e-64,-0.741117028331392,0.981,0.985,4.42951167476721e-60
"SERPINB10",2.97159065698049e-64,-3.34524598146557,0.016,0.182,6.4112068424354e-60
"USP48",3.47797129006405e-64,-1.14957816561424,0.287,0.533,7.50372305831318e-60
"GRB10",3.69031100364193e-64,-1.66975904848847,0.124,0.349,7.96184599035747e-60
"ELMO1",9.34121938044831e-64,-0.665140729128773,0.645,0.838,2.01536808133172e-59
"MT-ATP6",2.34477931557031e-63,-0.803482680163973,0.845,0.906,5.05886137334294e-59
"SRP14",2.86633120014973e-63,0.944869663901859,0.651,0.431,6.18410956432303e-59
"IL7R",4.41376188651174e-63,0.93220748428119,0.553,0.292,9.52269127014907e-59
"NFIA",7.74321574057364e-63,-2.32838254383192,0.081,0.283,1.67059879602876e-58
"ANXA3",8.5354354098338e-63,-2.62853922628316,0.044,0.228,1.84152018967164e-58
"MIR924HG",1.75080455218959e-62,-2.98484373876357,0.038,0.216,3.77736082134904e-58
"EXOC6",3.97439199514511e-62,-1.08805058792159,0.325,0.568,8.57475072952557e-58
"AGTPBP1",4.47275026346996e-62,-0.938320233570369,0.413,0.657,9.64995869343645e-58
"BZW1",1.48480785133381e-61,1.04381415812128,0.631,0.418,3.20347293925269e-57
"SLC22A15",2.5532821088205e-61,-1.05409222859497,0.357,0.592,5.50870614978022e-57
"PPBP",4.55427120239359e-61,1.26897567681968,0.633,0.41,9.82584011916417e-57
"DIAPH3",5.76968873639715e-61,-2.6274983028435,0.054,0.238,1.24481034487768e-56
