"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FTH1",0,1.68317958461111,1,1,0
"MT-ND5",3.00884073319894e-305,-1.58689782615086,0.72,0.951,6.4915738818767e-301
"MT-ND4L",1.06173634935446e-289,-1.53076151283569,0.591,0.901,2.29069617373225e-285
"MT-CO1",2.17955619560134e-281,-1.07718748332005,0.995,1,4.70239249200988e-277
"SPP1",1.29813595990343e-270,-0.769215167598996,0.84,0.992,2.80072833349165e-266
"MT1G",8.03139216704222e-233,-2.29649391007453,0.281,0.669,1.73277286003936e-228
"MT1H",3.02650438378806e-180,-2.65454333682091,0.129,0.469,6.52968320802274e-176
"MT-CO3",1.6784829352965e-179,-0.882175532414497,0.998,1,3.6213269329022e-175
"MT-CYB",8.4472890020724e-178,-0.873314279980391,0.929,0.985,1.82250260219712e-173
"NAMPT",6.40273934765507e-177,2.55152658877876,0.643,0.344,1.38139101425658e-172
"EPB41L3",1.49748081604025e-175,2.09852637383852,0.767,0.509,3.23081486060683e-171
"TXNIP",6.16447776645686e-175,1.12944950409103,0.892,0.654,1.32998607811307e-170
"MT-CO2",1.40904462989918e-169,-0.765141503942832,0.989,0.999,3.04001378900748e-165
"MT-ATP6",1.81484756154166e-165,-0.867413755948051,0.925,0.988,3.91553361402614e-161
"CYBB",3.22168633278101e-162,-1.71258356570584,0.387,0.691,6.95078826297502e-158
"ACTB",3.23262323407201e-160,-0.686000870669571,0.963,0.98,6.97438462751037e-156
"MT-ND3",5.3717534745498e-157,-0.904010185719254,0.824,0.952,1.15895581213412e-152
"RPS8",1.1875087490964e-152,1.25485836739234,0.942,0.843,2.56205012617548e-148
"BTG1",8.64966921344413e-141,1.44190732807001,0.664,0.374,1.86616613280057e-136
"HIF1A",3.33729349103618e-140,1.39050609203583,0.706,0.455,7.20021070691055e-136
"AHRR",1.21333824639958e-135,1.33395384785372,0.623,0.31,2.6177772666071e-131
"MT-ND2",1.47697646121757e-132,-0.857079852330084,0.867,0.966,3.1865767150769e-128
"GAPDH",1.3717615270727e-131,0.873455828683939,0.941,0.847,2.95957549465934e-127
"CXCL8",4.24167801080511e-129,2.26117490596535,0.53,0.256,9.15142030831203e-125
