"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT1G",0,-3.65174574575254,0.28,0.893,0
"MT1H",0,-3.93109808772434,0.136,0.748,0
"CXCL8",2.11170492765578e-307,2.46088560421228,0.775,0.252,4.55600338141735e-303
"MT-CO1",7.02121636643327e-292,-1.36970318821053,0.993,1,1.51482743105798e-287
"CYBB",1.74126814831596e-284,-2.35176435344572,0.366,0.832,3.75678602999169e-280
"SIPA1L1",1.07759437673286e-220,2.20821416923651,0.737,0.322,2.32490986780114e-216
"MARCO",2.1054270282349e-216,-3.54018127397215,0.14,0.593,4.5424588134168e-212
"MT-CO3",6.70005243938957e-198,-1.05880397636498,0.99,0.999,1.4455363137983e-193
"MT-ND5",2.22030781788303e-189,-1.54970724308037,0.437,0.839,4.79031411708263e-185
"MT-CYB",5.20779036012271e-186,-1.12063083229283,0.874,0.978,1.12358077019648e-181
"DAB2",3.40698351833136e-184,-2.00900032953072,0.484,0.782,7.3505669407999e-180
"MT-CO2",6.96582116677199e-182,-0.965016285081847,0.981,0.995,1.50287591673106e-177
"IL1RN",1.09422822360324e-180,3.30618449112084,0.443,0.096,2.360797392424e-176
"MMP1",1.61115167433264e-180,6.31746022047253,0.342,0.038,3.47605973737266e-176
"F13A1",1.11882399497394e-179,-2.35456508037862,0.302,0.703,2.41386276915628e-175
"NAMPT",1.17996553379249e-173,1.97645129396557,0.743,0.378,2.5457756391573e-169
"HIF1A",2.51746599896444e-173,1.57874074215548,0.753,0.419,5.43143289276578e-169
"CD163",5.11374349149749e-164,-1.93585363503501,0.249,0.647,1.10329015829058e-159
"MT-ND4",1.12871448448698e-162,-0.92910641645805,0.919,0.986,2.43520150028067e-158
"EPB41L3",2.3406573037312e-158,1.89348265287901,0.852,0.641,5.04996813280006e-154
"SLC9A9",1.54093344898982e-156,-2.17213998307759,0.262,0.636,3.32456391619554e-152
"FTL",1.68301218707972e-156,-1.06061181768548,0.999,1,3.6310987936245e-152
"CTSB",1.64254882617462e-155,-1.90132471442066,0.674,0.885,3.54379909247174e-151
"MT-ND4L",9.26897199789025e-155,-1.52525980053146,0.326,0.725,1.99978070854482e-150
"CSTB",1.37448692206347e-154,-1.60798073104304,0.521,0.81,2.96545553435193e-150
"NUPR1",1.49215326608529e-150,-2.64899291079714,0.158,0.519,3.21932067157902e-146
"BMP2K",3.38168623717626e-149,-1.43061188188033,0.465,0.79,7.29598805670779e-145
"MT-ATP6",8.31292415812448e-145,-0.956717146324801,0.845,0.97,1.79351338711536e-140
"TMSB4X",1.14135205745932e-144,-1.00394413121718,0.951,0.978,2.46246706396848e-140
"AHNAK",7.69964054828891e-138,-1.83475629576875,0.255,0.61,1.66119744829333e-133
"CD84",6.78100543184979e-137,-1.80632136097233,0.247,0.6,1.46300192192159e-132
"BTG1",8.80603840748761e-136,1.35697806075505,0.736,0.381,1.89990278641545e-131
"IGSF6",1.33427542616571e-132,-2.26108006398183,0.272,0.609,2.87869923195253e-128
"NLN",1.52164006175208e-130,-2.91999295641369,0.086,0.407,3.28293843323012e-126
"PLSCR1",3.21160482839377e-129,1.39091700069613,0.729,0.455,6.92903741725957e-125
"SGK1",8.03453817036745e-129,-1.93555164105183,0.182,0.52,1.73345161025678e-124
"SLC8A1",1.08214348851611e-128,-1.53607725518154,0.462,0.765,2.33472457647351e-124
"PPBP",3.78271238197772e-128,2.03008986733241,0.633,0.308,8.16120196411693e-124
"S100A9",2.10542217513792e-127,-1.56166491747166,0.405,0.725,4.54244834286006e-123
"MT1X",2.37855966889277e-126,-2.50389160214445,0.152,0.476,5.13174248563614e-122
"PTPN14",4.9745094155456e-122,3.9248572907682,0.233,0.021,1.07325040640396e-117
"GPX1",2.43404875710011e-121,-1.08346809236434,0.712,0.885,5.25146019344348e-117
