"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.29008708673499,0.776,0.124,0,"0","ELANE"
0,4.72633670180974,0.792,0.15,0,"0","PRTN3"
0,3.00620079521338,0.911,0.27,0,"0","KCNQ5"
0,2.84593714735573,0.868,0.243,0,"0","PLCB1"
0,4.025533111543,0.949,0.357,0,"0","MPO"
0,3.06233789161095,0.766,0.189,0,"0","CCDC26"
0,2.32596507176503,0.801,0.243,0,"0","APP"
0,4.4059529960494,0.602,0.044,0,"0","GALNT14"
0,3.05841834815741,0.639,0.086,0,"0","DIAPH3"
0,2.26941724910696,0.686,0.136,0,"0","AZU1"
0,2.66508818963084,0.648,0.099,0,"0","MKI67"
0,2.55806097005302,0.712,0.163,0,"0","PRAM1"
0,2.13862592179164,0.75,0.202,0,"0","PLAC8"
0,3.1838250572483,0.625,0.078,0,"0","RRM2"
0,2.9535829073505,0.666,0.12,0,"0","MSRB3"
0,2.28750415914741,0.761,0.216,0,"0","TESC"
0,3.59153119263639,0.611,0.068,0,"0","MIR924HG"
0,2.03441411715337,0.786,0.253,0,"0","IGF1R"
0,2.58418227989888,0.696,0.163,0,"0","LINC01572"
0,2.47214134746506,0.687,0.164,0,"0","P2RY8"
0,2.21155949015028,0.701,0.183,0,"0","ATAD2"
0,2.42352393573468,0.916,0.406,0,"0","B4GALT5"
0,2.06285694110552,0.761,0.254,0,"0","NSD2"
0,2.46307024489527,0.904,0.398,0,"0","PDE4D"
0,2.94117141783442,0.597,0.092,0,"0","POLQ"
0,2.81468116331055,0.594,0.096,0,"0","HELLS"
0,2.15606306709685,0.688,0.209,0,"0","PKP4"
0,2.0176435017975,0.722,0.243,0,"0","SPN"
0,2.33032989145576,0.615,0.139,0,"0","LMNB1"
0,2.00728908708825,0.753,0.28,0,"0","GPI"
0,2.2488631892224,0.666,0.195,0,"0","POLA1"
0,2.20184854328368,0.638,0.169,0,"0","RBL1"
0,1.92927619613412,0.818,0.351,0,"0","PRKDC"
0,2.89974198332407,0.554,0.089,0,"0","BRIP1"
0,1.13091373167999,0.871,0.407,0,"0","MCTP2"
0,2.0047857357071,0.674,0.219,0,"0","SMC1A"
0,1.9382625100677,0.803,0.352,0,"0","P4HB"
0,2.23127937325673,0.61,0.159,0,"0","HRH2"
0,2.40796996551741,0.568,0.124,0,"0","NFIA"
0,2.46972814081225,0.561,0.121,0,"0","ATAD5"
0,1.65473724560644,0.598,0.159,0,"0","ACSM3"
0,2.11994683281052,0.659,0.222,0,"0","CMSS1"
0,2.25313568298577,0.543,0.107,0,"0","CENPF"
0,2.71051947297421,0.521,0.087,0,"0","FANCI"
0,2.1317088785229,0.624,0.191,0,"0","GPHN"
0,2.64524010751812,0.547,0.116,0,"0","AFF2"
0,1.91247102551682,0.599,0.176,0,"0","INPP5A"
