cell_type	UCell_lsc17	UCell_eppert_hsc	UCell_van_galen_hsc_like	UCell_van_galen_gmp_like	UCell_van_galen_promono_like	UCell_cheung_rando_quiescence	UCell_laurenti_hsc_quiescence	UCell_van_den_brink_dissociation	UCell_isr_atf4_targets	UCell_baryawno_niche_signal	UCell_tikhonova_msc_response	UCell_arac_metabolism	UCell_mdr_efflux	UCell_aldh_resistance	UCell_bcl2_family_pro_survival	UCell_bcl2_family_pro_apoptotic	UCell_vgalen_hsc_mmc4	UCell_vgalen_gmp_mmc4	UCell_vgalen_promono_mmc4	UCell_vgalen_mono_mmc4	UCell_vgalen_hsc_s4a	UCell_vgalen_gmp_s4a	UCell_vgalen_myeloid_s4a	n_cells
GMP-like AML blasts	0.0371936760192767	0.0161446967861552	0.0493593460111317	0.361467251766578	0.176759133236007	0.0449672512926787	0.0681044284880738	0.0537698881637577	0.0245535004028218	0.0420419288055293	0.118951370795395	0.132594686930402	0.0228975274252263	0.00849870763262427	0.0470907724539989	0.00799895230601008	0.0964846310242506	0.113834982449538	0.154878766116727	0.360104149064999	0.0961787737951571	0.0859094801199033	0.155964320940479	2112
HSPC / LSC-like blasts	0.0280283696491557	0.0230152422429285	0.0251918423283515	0.23142218109848	0.238243053323448	0.0840343007674691	0.0999788197081329	0.0601075122386897	0.0467496481127126	0.0663966190511272	0.11778809636612	0.0719395969544757	0.0298261814369366	0.00570830918473412	0.0716266393881282	0.0120682125897414	0.0743690635005193	0.0609222922263975	0.245311975294188	0.397911230772425	0.091306501955616	0.0553739148746901	0.242684002456198	1579
Promono-like / quiescent myeloid	0.032822081680192	0.0377127605268148	0.0317027943037514	0.0816831279910396	0.343625525477475	0.0988326057805827	0.129015726799691	0.0767460583696746	0.071267455414384	0.0916194850529814	0.223425718685017	0.0834820211253597	0.020607624472714	0.0376934102277294	0.0601378408991897	0.0106581001211698	0.0583957418046637	0.0464768723276077	0.413669879659697	0.502070316058598	0.103618101512862	0.0394278517307003	0.405255616615484	1150
Unclassified (low-quality?)	0.0139733555247977	0.00876926927535879	0.0435421242309886	0.0463686366417798	0.126302097327507	0.0844590090825559	0.116671799740846	0.0584933952259918	0.0202985583445619	0.0553682655948475	0.133399905163124	0.0368608313052589	0.023963668722317	0.0139941527351962	0.12920062923775	0.0141154191266558	0.108747025409438	0.0836822585700603	0.149851358024259	0.418916404155584	0.112901968744821	0.0463464674738571	0.145848366798754	772
Mono-like AML	0.0238200885799069	0.0229370652461863	0.0293216963317399	0.13519993892595	0.46558454826534	0.0819645777976768	0.119624404061494	0.101846669473406	0.0416881383785859	0.0664802448775725	0.158480086708436	0.102659398781746	0.0313445634507616	0.00742134331336878	0.10471636785876	0.0138945041912617	0.067322036512426	0.0596311333186661	0.280462359177212	0.414359694346222	0.0887498889485358	0.0413636636362857	0.279820431807408	745
CD16+ Mono / macrophage	0.0512519561815336	0.0306500175941667	0.0360010717262732	0.126549608451327	0.495732658164683	0.108741792000242	0.122533871315988	0.0913001952310227	0.0289006843782029	0.101058747923734	0.270910426503136	0.0871071803931285	0.0249354075220227	0.019116246131117	0.061305850873121	0.0144856948767506	0.0852568315948853	0.0783377773068089	0.54443843402203	0.632796715182828	0.123884931840894	0.0681562032428972	0.540915534909297	708
Stress-response myeloid	0.0170739261256853	0.0162735894296824	0.0161684639432365	0.104515293885958	0.337170888783831	0.0503669531822035	0.0671189378941945	0.0653266249451729	0.0304116888849923	0.0400212506556084	0.16023029163543	0.045451882617754	0.0195837371093016	0.0218192228606086	0.0684001393492665	0.0216043855178708	0.0806623539491816	0.0687460700718192	0.248966832424081	0.41127030693139	0.0703016814699455	0.0521855147114806	0.245890305779677	581
ABCB5+ resistant primitive AML	0.0626615284765488	0.0353148110467692	0.0482020139418304	0.00834891871287618	0.120369496898464	0.0904623725015525	0.0423212325445283	0.0124693031580092	0.0220858696289134	0.0538268768925551	0.16957035793447	0.0858265484677683	0.0802052937419379	0.00378889540074381	0.0914268427565514	0.00366212739682027	0.0271031453082843	0.0217215884852548	0.199252471620341	0.207783647693339	0.0740434584219337	0.0191677468104828	0.198283647000814	488
Unclassified niche-related	0.0663539455079545	0.0334379587716566	0.0502167756396224	0.0588428490197941	0.245141031518861	0.100006001084334	0.0873681572118548	0.0462148476703622	0.0274909715096886	0.0666739007324082	0.19935553412052	0.10627425060493	0.0593434343434343	0.00561312014270151	0.0834298226081793	0.00469429782980281	0.0403934880958838	0.0355297780225496	0.344829994840321	0.373708950304365	0.103463019983855	0.0332642445456409	0.342599268187868	486
B cells	0.00920472765059599	0.0498500117658219	0.0163177717438907	0.0544166952646112	0.164725237171489	0.12120111245556	0.0883436037402218	0.063173785268871	0.0159299286226589	0.0681914522062791	0.129181441594183	0.0293010293053398	0.018945473234163	0.0120929522247189	0.156604768908346	0.0229715193195725	0.0933935458418124	0.0693362397689743	0.143589608773408	0.410264240761074	0.12193938241008	0.0387499632504812	0.138964253234839	466
