cell_type	n_cells	mean_cnv	median_cnv	sd_cnv
ABCB5+ resistant primitive AML	488	0.00234350427719613	0.00232218096440949	0.000445934188847546
Stress-response myeloid	581	0.00232815073675319	0.00225052979199613	0.000704097232806309
HSPC / LSC-like blasts	1579	0.00182020679317348	0.00172404202100584	0.000682582192721161
Eosinophils / basophils	236	0.00171035925617951	0.00171174379272385	0.000656504191819471
Unclassified niche-related	486	0.00169786365533271	0.00156392590679375	0.00063480777530042
Mono-like AML	745	0.00166589196996722	0.00165082053902544	0.000639842044681949
GMP-like AML blasts	2112	0.00157887627514015	0.00143982392430184	0.00318176687315631
Promono-like / quiescent myeloid	1150	0.00152975079573749	0.00144871926361159	0.00116497165746464
Unclassified (low-quality?)	772	0.00126299080147651	0.0012219683353235	0.000358912173575356
BM endothelial	412	0.00124908286487373	0.00110484971940168	0.00112365742556865
B cells	466	0.00117362526402923	0.00116337663035354	0.000383504882761836
CD16+ Mono / macrophage	708	0.00110751864229325	0.00104717514597547	0.000363608735888438
T cells	320	0.000770068487021559	0.000662895260948938	0.000438175427638477
