cell_type	cell_type_final	category
HSPC / LSC-like blasts	HSPC / LSC-like AML	AML
ABCB5+ resistant primitive AML	ABCB5+ resistant LSC AML	AML
GMP-like AML blasts	GMP-like AML	AML
Promono-like / quiescent myeloid	Promono quiescent AML	AML
Mono-like AML	Mono-like AML	AML
Stress-response myeloid	Stress-response AML	AML
Unclassified niche-related	Niche-stressed primitive AML	AML
Eosinophils / basophils	Eosinophils / basophils (uncertain)	Uncertain
Normal CD16+ monocytes	Normal CD16+ monocytes	Normal
CD16+ Mono / macrophage	Normal CD16+ monocytes	Normal
BM endothelial	Normal BM endothelial	Normal
B cells	Normal B cells	Normal
T cells	Normal T cells	Normal
Unclassified (low-quality?)	Normal-like debris (excl.)	Normal
HS5 stromal / MSC	HS-5 stromal (cell line)	CellLine
