cell_type_final	signature	n_conv	n_coc	delta	p_value	p_adj
HSPC / LSC-like AML	UCell_hallmark_upr	395	487	-0.0785433940685676	0.0446626878169389	0.0909795492567274
HSPC / LSC-like AML	UCell_hallmark_hypoxia	395	487	0.0469316143789151	0.230268688305212	0.324737893763761
HSPC / LSC-like AML	UCell_hallmark_ros	395	487	-0.307888649182544	3.51828719215736e-15	1.93505795568655e-14
HSPC / LSC-like AML	UCell_hallmark_tnfa	395	487	0.163771995945208	2.83071558763191e-05	9.15819748939734e-05
HSPC / LSC-like AML	UCell_hallmark_inflam	395	487	0.110040807839264	0.00490748816211155	0.0128529451864826
HSPC / LSC-like AML	UCell_hallmark_p53	395	487	0.033847113560159	0.38694897555037	0.506718896554056
HSPC / LSC-like AML	UCell_hallmark_apoptosis	395	487	0.0326514698619811	0.403944545573794	0.516673255966481
HSPC / LSC-like AML	UCell_isr_atf4_targets	395	487	0.345026382138123	6.28720423599661e-19	4.32245291224767e-18
HSPC / LSC-like AML	UCell_van_den_brink_dissociation	395	487	-0.348961609440387	3.87428282062069e-19	3.04407935905911e-18
HSPC / LSC-like AML	UCell_baryawno_niche_signal	395	487	-0.0887895407168664	0.0231248517065221	0.0508746737543486
HSPC / LSC-like AML	UCell_tikhonova_msc_response	395	487	-0.57488108543654	6.43271182732801e-49	1.7689957525152e-47
GMP-like AML	UCell_hallmark_upr	1190	837	-0.274486712247623	5.88493151085649e-26	5.39452055161845e-25
GMP-like AML	UCell_hallmark_hypoxia	1190	837	-0.0154925052458259	0.552082066824746	0.666079607669742
GMP-like AML	UCell_hallmark_ros	1190	837	-0.129742076041886	6.35426886793573e-07	2.49631991240332e-06
GMP-like AML	UCell_hallmark_tnfa	1190	837	0.126917863919761	1.10631682895178e-06	4.05649503948986e-06
GMP-like AML	UCell_hallmark_inflam	1190	837	0.162727026294389	4.20363866659163e-10	1.77846251278877e-09
GMP-like AML	UCell_hallmark_p53	1190	837	0.162861560394767	4.06733296471688e-10	1.77846251278877e-09
GMP-like AML	UCell_hallmark_apoptosis	1190	837	0.00052106864251078	0.984073093544257	0.984073093544257
GMP-like AML	UCell_isr_atf4_targets	1190	837	0.322141903356325	1.85712338266049e-38	3.40472620154422e-37
GMP-like AML	UCell_van_den_brink_dissociation	1190	837	-0.302292099635553	3.50410396626173e-31	3.85451436288791e-30
GMP-like AML	UCell_baryawno_niche_signal	1190	837	-0.0116562754133912	0.653318135485982	0.733316274525082
GMP-like AML	UCell_tikhonova_msc_response	1190	837	-0.469834241940504	1.03194662446876e-72	5.67570643457819e-71
Promono quiescent AML	UCell_hallmark_upr	25	429	-0.344708624708625	0.00375631395877514	0.0103298633866316
Promono quiescent AML	UCell_hallmark_hypoxia	25	429	-0.0462470862470863	0.697930219346524	0.767723241281177
Promono quiescent AML	UCell_hallmark_ros	25	429	-0.0677855477855478	0.569195301099597	0.666079607669742
Promono quiescent AML	UCell_hallmark_tnfa	25	429	-0.201305361305361	0.0906404855683562	0.149206754399453
Promono quiescent AML	UCell_hallmark_inflam	25	429	-0.0579020979020979	0.626878533232573	0.71829831932899
Promono quiescent AML	UCell_hallmark_p53	25	429	-0.201305361305361	0.090640433856574	0.149206754399453
Promono quiescent AML	UCell_hallmark_apoptosis	25	429	-0.366713286713287	0.00204943151212844	0.00593256490352969
Promono quiescent AML	UCell_isr_atf4_targets	25	429	0.200466200466201	0.0919804095793388	0.149206754399453
Promono quiescent AML	UCell_van_den_brink_dissociation	25	429	-0.317762237762238	0.00751724665230458	0.017976024603337
Promono quiescent AML	UCell_baryawno_niche_signal	25	429	0.243076923076923	0.0410215103936901	0.0867762719866521
Promono quiescent AML	UCell_tikhonova_msc_response	25	429	-0.203916083916084	0.0865317300533451	0.149206754399453
Mono-like AML	UCell_hallmark_upr	308	218	0.00825092338853817	0.872078483596684	0.88822808514477
Mono-like AML	UCell_hallmark_hypoxia	308	218	0.00962111283212197	0.851028056416539	0.88822808514477
Mono-like AML	UCell_hallmark_ros	308	218	-0.0632074347670678	0.216663412478822	0.313591781219347
Mono-like AML	UCell_hallmark_tnfa	308	218	0.164392946503038	0.00131045201179608	0.00400415892493247
Mono-like AML	UCell_hallmark_inflam	308	218	0.117374597879185	0.0217648603983184	0.0498778050794796
Mono-like AML	UCell_hallmark_p53	308	218	0.237132133921125	3.55607640874322e-06	1.22240126550548e-05
Mono-like AML	UCell_hallmark_apoptosis	308	218	0.0736774693196711	0.14982671613309	0.222715388846485
Mono-like AML	UCell_isr_atf4_targets	308	218	0.378306326700822	8.89739181755714e-14	4.44869590877857e-13
Mono-like AML	UCell_van_den_brink_dissociation	308	218	-0.444224353628023	3.79867040610975e-18	2.32140969262263e-17
