gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
FTH1	2.27264622848309	1	1	1.17058853022546e-34	2.86922954643562e-30	59	1190
FAM111B	4.96991541823759	0.237	0.01	6.22033143472276e-33	1.5246654379649e-28	59	1190
CR1	3.29705522433444	0.763	0.179	1.93849998148274e-32	4.75145730461236e-28	59	1190
TP73	8.68675631123085	0.085	0	8.58277402166797e-24	2.10372374045104e-19	59	1190
MPO	-1.7804711121999	0.831	0.987	5.16681574975846e-23	1.2664382084233e-18	59	1190
FTL	1.52151174355618	1	1	6.04588677570837e-23	1.48190730759388e-18	59	1190
PRTN3	-2.75909689650611	0.424	0.913	1.63353718291699e-21	4.00396298904783e-17	59	1190
ASTN2	3.40035662050817	0.254	0.027	2.68192737425106e-19	6.57367218702678e-15	59	1190
KCNQ5	-1.96437249964349	0.593	0.947	3.36241198173785e-19	8.24160800843765e-15	59	1190
CDKN1A	2.69286092108448	0.424	0.08	5.36365466640955e-19	1.31468539528365e-14	59	1190
NLRP12	3.94855248262495	0.169	0.013	3.02965854850736e-16	7.4259960682464e-12	59	1190
PPARG	2.35877046588839	0.542	0.157	1.0885622962906e-15	2.66817504443788e-11	59	1190
MYO7B	5.71542841466831	0.068	0.001	1.99104683004985e-15	4.8802548851352e-11	59	1190
RHBDL3	5.48377197337292	0.068	0.001	1.99104683004985e-15	4.8802548851352e-11	59	1190
HSP90B1	-1.66280332457275	0.559	0.908	2.44299343169452e-15	5.98802120042645e-11	59	1190
PTMA	-1.21904289028874	0.898	0.991	2.70657171975733e-15	6.63407794229718e-11	59	1190
LPAR1	2.98999500284014	0.356	0.074	3.63335208908771e-15	8.90570930556289e-11	59	1190
ARHGEF10L	4.01677128724035	0.102	0.004	5.72161912525594e-15	1.40242606379148e-10	59	1190
LINC02913	6.70884966879755	0.051	0	7.0952179516537e-15	1.73910887212984e-10	59	1190
ARHGAP6	3.37230830760883	0.254	0.037	8.01710920795158e-15	1.96507363796101e-10	59	1190
ITGAM	2.04078075724221	0.593	0.191	1.85006031095892e-14	4.53468282819141e-10	59	1190
MIR34AHG	2.03829573664399	0.339	0.064	2.14722438459101e-14	5.26306168907103e-10	59	1190
PLXNA2	3.75761968729051	0.153	0.013	2.26896491042328e-14	5.56145989193851e-10	59	1190
S100A10	2.0315089129661	0.695	0.292	2.92581506398903e-14	7.1714653033435e-10	59	1190
ALDH1A2	2.99111672543727	0.271	0.044	3.39462699723062e-14	8.32057023291196e-10	59	1190
MAST4	2.76414998581082	0.373	0.083	4.0323636697999e-14	9.88372659104654e-10	59	1190
CALR	-1.91302800975006	0.441	0.832	4.20632792700419e-14	1.031013038188e-09	59	1190
FARP1	3.58707101902488	0.169	0.017	7.08497422250401e-14	1.73659803167796e-09	59	1190
TNFRSF9	4.03665271278431	0.102	0.005	1.09406405620565e-13	2.68166040816566e-09	59	1190
CDK6	-1.9824292526282	0.525	0.818	1.46676549835165e-13	3.59518891300972e-09	59	1190
DLG5	2.91331304391214	0.254	0.041	3.78870368313045e-13	9.28649159772105e-09	59	1190
SLAMF6	2.888557756647	0.186	0.022	4.97651260429882e-13	1.21979300443968e-08	59	1190
HSPA5	-1.70242535629167	0.458	0.831	6.53395399382444e-13	1.60153746342631e-08	59	1190
FAM110B	5.20787185214607	0.119	0.008	8.24760772991357e-13	2.02157113067912e-08	59	1190
ELANE	-1.61589241402973	0.475	0.847	8.73978975835993e-13	2.1422098676716e-08	59	1190
ARHGEF28	4.18626944556592	0.119	0.008	1.1074850353052e-12	2.71455657003658e-08	59	1190
PAG1	2.29288248702962	0.508	0.177	1.18753802976378e-12	2.91077446475399e-08	59	1190
DAB1	2.67401227831929	0.441	0.136	1.21737806927268e-12	2.98391538559426e-08	59	1190
AQP9	4.35804877419941	0.136	0.012	1.44433666617801e-12	3.54021360246893e-08	59	1190
ENSG00000291144	1.87516389050056	0.729	0.389	1.46361098770187e-12	3.58745689195606e-08	59	1190
NCL	-1.42419581721247	0.661	0.888	2.39015394558685e-12	5.85850633602792e-08	59	1190
CSTB	1.80112240075181	0.814	0.449	2.46214300659087e-12	6.03495872345489e-08	59	1190
PLXDC2	2.17705907299875	0.644	0.31	2.60988832359419e-12	6.39709726996172e-08	59	1190
S100A12	3.82731742738193	0.169	0.02	3.71161557554155e-12	9.0975409372099e-08	59	1190
S100A8	2.22438387074184	0.949	0.75	4.11402483468243e-12	1.00838862722901e-07	59	1190
HP	2.91732620522842	0.322	0.073	4.50661831979748e-12	1.10461721636556e-07	59	1190
SLC8A1	1.99462055810067	0.746	0.427	6.03947957833754e-12	1.48033683944631e-07	59	1190
MAP4K4	1.22598223282427	0.864	0.642	1.2377296770483e-11	3.03379921141309e-07	59	1190
OSBPL10	3.46073712157496	0.085	0.004	1.41337050619162e-11	3.46431244772628e-07	59	1190
VIM	1.40776260605867	0.915	0.704	1.5288794059382e-11	3.74743631189512e-07	59	1190
P4HB	-1.39837016220624	0.508	0.851	1.9610099783992e-11	4.80663155805427e-07	59	1190
MT1G	1.49926072161394	0.932	0.717	2.13744811739423e-11	5.23909908054499e-07	59	1190
FAM20A	3.27389958885048	0.136	0.013	2.47336605266534e-11	6.06246753168803e-07	59	1190
CDA	2.06032666665537	0.305	0.066	2.60838289107737e-11	6.39340730431974e-07	59	1190
NEIL1	5.73727083134496	0.051	0.001	3.36998990623813e-11	8.26018225918027e-07	59	1190
LINC00607	5.31065945161154	0.051	0.001	3.36998990623813e-11	8.26018225918027e-07	59	1190
ENSG00000287117	4.62270881189512	0.051	0.001	3.45733745903079e-11	8.47427984583037e-07	59	1190
FBLN7	4.16424730439829	0.051	0.001	3.45733745903079e-11	8.47427984583037e-07	59	1190
RBM47	1.46097674051471	0.797	0.481	3.58389883795141e-11	8.78449444170269e-07	59	1190
BBC3	2.75094575407944	0.119	0.01	3.59106616084211e-11	8.80206226684009e-07	59	1190
P2RY8	-1.44408174098581	0.373	0.818	4.16375048862419e-11	1.02057688226668e-06	59	1190
NLRP1	3.0401072729894	0.254	0.05	4.41701264257447e-11	1.08265396882143e-06	59	1190
NTAN1	2.07010153568398	0.322	0.073	4.44968145848545e-11	1.09066142228937e-06	59	1190
TYROBP	1.88959119706991	0.695	0.363	5.40591740209049e-11	1.3250444144264e-06	59	1190
DOCK7-DT	4.49240649504402	0.068	0.003	5.91251980627421e-11	1.44921772971587e-06	59	1190
PTPRO	2.58157183059059	0.254	0.05	8.94835194038472e-11	2.1933305441077e-06	59	1190
TMEM140	3.18233556139904	0.136	0.014	9.29873992522543e-11	2.27921414307201e-06	59	1190
LAMA3	2.95866508359525	0.102	0.008	1.04921814825655e-10	2.57173860319164e-06	59	1190
IL21R	2.29408075259904	0.237	0.044	1.08301316355702e-10	2.65457356519462e-06	59	1190
ABCC3	3.8797977185126	0.119	0.011	1.15747114968187e-10	2.83707753498524e-06	59	1190
NID1	3.49435711821978	0.119	0.011	1.25189759767684e-10	3.0685262016657e-06	59	1190
EMP2	4.70504330234058	0.085	0.005	1.40841652840843e-10	3.45216975278189e-06	59	1190
NRG1	2.56356710420761	0.559	0.259	2.32269930943753e-10	5.69316827736233e-06	59	1190
IFI30	1.62219778620172	0.695	0.348	3.68924404242864e-10	9.04270607239683e-06	59	1190
STAC	1.75749020925678	0.627	0.296	4.31370684813192e-10	1.05733268554561e-05	59	1190
TPT1	1.05874177262394	1	0.961	4.62833929695859e-10	1.13445224507752e-05	59	1190
LGALS3	2.47119799941333	0.39	0.118	5.25604879893403e-10	1.28831012110672e-05	59	1190
SIGLEC9	3.39563293102147	0.119	0.012	5.27619859239439e-10	1.29324903698179e-05	59	1190
NUCB2	-1.33587707298514	0.475	0.795	5.51167679106866e-10	1.35096709825884e-05	59	1190
SLC37A2	2.64774465749714	0.119	0.012	6.05176626157568e-10	1.48334842837481e-05	59	1190
AZU1	-1.44955069761961	0.39	0.808	6.20701655197167e-10	1.52140182705378e-05	59	1190
NPM1	-1.29027705460291	0.576	0.811	7.03792156382757e-10	1.72506495450978e-05	59	1190
S100A9	1.86230097442568	0.915	0.689	7.12706683011531e-10	1.74691535072956e-05	59	1190
FCN1	2.00042035239553	0.492	0.187	7.54659153034138e-10	1.84974505000198e-05	59	1190
PLXNC1	1.91695515169082	0.39	0.118	7.74891985819676e-10	1.89933774644261e-05	59	1190
OPHN1	2.84918324696432	0.136	0.016	8.55870083360154e-10	2.09782316132407e-05	59	1190
TNFAIP6	2.5582762238881	0.22	0.042	8.91220305596643e-10	2.18447009104793e-05	59	1190
KIAA0513	2.58216783018457	0.136	0.016	9.64836797796961e-10	2.36491147508013e-05	59	1190
