gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
FTH1	1.69068160922536	1	1	5.02204184975038e-110	1.23095267779232e-105	356	395
FTL	1.01329990828522	1	1	1.08033655696601e-78	2.64801293477938e-74	356	395
MPO	-2.55840430033379	0.579	0.911	3.55128443919336e-55	8.70455328890685e-51	356	395
GPX1	1.24483047115265	0.978	0.744	6.81349753552148e-44	1.67005638093167e-39	356	395
TYROBP	1.52528660003223	0.893	0.57	5.19974021899922e-43	1.2745083250789e-38	356	395
B2M	1.08515553709621	0.997	0.957	1.292743380582e-42	3.16864330014454e-38	356	395
CSTB	1.81318663912837	0.826	0.37	7.19232246342968e-41	1.76291015901125e-36	356	395
RPL10	1.07616702164426	0.952	0.765	3.61678582022081e-39	8.86510372394322e-35	356	395
TPT1	0.725334522674488	0.997	0.975	2.59255678465183e-38	6.3546159348601e-34	356	395
S100A6	1.49320091836002	0.888	0.494	5.92734001385846e-38	1.45285031079685e-33	356	395
RPS13	1.06536214134067	0.969	0.739	2.43581212322254e-37	5.97041909523076e-33	356	395
RPS8	0.865803356906349	0.98	0.922	2.3703336101207e-36	5.80992471176684e-32	356	395
S100A11	1.43513541543494	0.837	0.486	5.34200235497569e-34	1.30937819722809e-29	356	395
AIF1	1.3083416040681	0.874	0.514	2.43394835110621e-33	5.96585080339643e-29	356	395
RPL30	1.08850242344714	0.916	0.689	1.38956240357769e-31	3.40595640740928e-27	356	395
MT1G	1.15580411744203	0.969	0.732	7.3291520399604e-31	1.79644845651469e-26	356	395
RPL29	0.836687727944968	0.93	0.78	4.32094838643733e-27	1.05910765899965e-22	356	395
MT-ND4L	-0.971286853123996	0.91	0.972	1.46490632935139e-26	3.59063190387319e-22	356	395
MT1H	1.36311374005706	0.86	0.494	2.62148187774586e-26	6.42551423054288e-22	356	395
CTSC	0.788663068483248	0.975	0.929	5.06419187400068e-26	1.24128407023631e-21	356	395
SH3BGRL3	1.41060245259895	0.744	0.425	2.11391990546301e-25	5.18142908028038e-21	356	395
RPL7A	0.839223185909819	0.944	0.79	3.64288691076682e-25	8.92908010698054e-21	356	395
SRP14	1.30611654266013	0.708	0.334	3.78842417988941e-25	9.28580650732692e-21	356	395
S100A8	0.925255412066535	0.961	0.79	4.3316755449858e-24	1.06173699283147e-19	356	395
RPS12	0.662402605472578	0.989	0.919	1.13187357024037e-23	2.77433530801618e-19	356	395
S100A4	1.15151837920542	0.862	0.615	4.26879093110286e-23	1.04632334512262e-18	356	395
CST3	1.20277219136289	0.84	0.575	1.1288698004477e-22	2.76697276787737e-18	356	395
MALAT1	0.495966638679572	1	1	1.99551073785691e-22	4.89119636956107e-18	356	395
LRPAP1	0.946684275928796	0.871	0.77	1.42234638119002e-21	3.48631321493485e-17	356	395
GAPDH	0.724233080752895	0.972	0.884	1.57155851941162e-21	3.85204708692982e-17	356	395
MT-ND3	-0.698093395188251	0.983	0.985	3.29765151815507e-21	8.08287363614989e-17	356	395
UBB	1.48509904967996	0.573	0.256	6.4826652499472e-21	1.58896607941456e-16	356	395
NACA	0.91120326685145	0.826	0.57	1.2303130288822e-20	3.01562026509316e-16	356	395
RPS4X	0.708051786321672	0.927	0.813	2.0778162758798e-20	5.09293547380898e-16	356	395
RPL19	0.795668256939648	0.902	0.722	3.00110165895315e-20	7.35600027626007e-16	356	395
RPL14	0.728294793349769	0.944	0.785	9.30964295909292e-20	2.28188658570327e-15	356	395
H3-3A	0.961320894753267	0.806	0.582	1.39327421456628e-19	3.4150544273234e-15	356	395
CD63	0.695351090536122	0.933	0.787	1.89145478304657e-19	4.63614481872546e-15	356	395
PRTN3	-1.34304556953373	0.419	0.681	2.38131828526302e-19	5.8368492490082e-15	356	395
MT-ND5	-0.674906372561301	0.972	0.982	5.73559110303491e-19	1.40585073526489e-14	356	395
GSTP1	1.22567238275651	0.711	0.468	6.82314011218335e-19	1.67241987289726e-14	356	395
CLIC1	1.11132652743871	0.716	0.456	9.17363413199066e-19	2.24854946209223e-14	356	395
S100A10	1.40585433983208	0.587	0.278	4.34399330399337e-18	1.06475619874182e-13	356	395
MT-CO2	-0.499806909976671	1	1	8.30300682877592e-18	2.03515000380127e-13	356	395
COX4I1	0.980953754730469	0.756	0.476	2.29840463591219e-17	5.63361960308437e-13	356	395
TXN	1.10073158409733	0.576	0.253	2.7969772859221e-17	6.85567102552366e-13	356	395
RPS15A	0.831373826940009	0.862	0.661	3.27638158646248e-17	8.03073890657818e-13	356	395
CCL2	0.961645376582182	0.86	0.587	4.08738138163855e-17	1.00185805045343e-12	356	395
EEF1A1	0.42126679007727	0.997	1	6.49842256014161e-17	1.59282835371631e-12	356	395
OAZ1	0.663212088713611	0.921	0.759	1.02683122735433e-16	2.51686602136821e-12	356	395
COX7A2	1.41600344204135	0.441	0.154	1.31073310097474e-16	3.2127379037992e-12	356	395
CALM1	0.916309230837795	0.787	0.559	1.48664788160339e-16	3.64392262259807e-12	356	395
NDUFA4	1.76373261788402	0.382	0.124	1.84445573065244e-16	4.5209454414022e-12	356	395
FCER1G	1.0415530667872	0.685	0.413	2.9818586019032e-16	7.30883361912494e-12	356	395
PPDPF	1.27592169526284	0.421	0.137	3.11573965907867e-16	7.63698947836772e-12	356	395
GABARAP	0.813219906929272	0.767	0.471	3.69964226457818e-16	9.06819315470758e-12	356	395
GSTO1	1.36081267261058	0.559	0.281	4.03622436752361e-16	9.89318954723712e-12	356	395
FABP5	1.57961662822716	0.368	0.106	5.486437024457e-16	1.34478057906466e-11	356	395
LGALS1	1.13785400754697	0.705	0.41	7.29912273108939e-16	1.78908797261732e-11	356	395
FUCA1	1.27597168147812	0.68	0.418	1.40896186759455e-15	3.45350643366099e-11	356	395
MGST3	1.59084449643733	0.365	0.114	2.02830606603657e-15	4.97158099846224e-11	356	395
ITM2B	0.968825359133836	0.831	0.641	2.1604509673217e-15	5.29548136600222e-11	356	395
MYL12A	1.28633651766234	0.525	0.246	2.31400082469197e-15	5.6718474214025e-11	356	395
B4GALT5	-0.852495293109051	0.862	0.919	2.40116904838065e-15	5.88550545448581e-11	356	395
SERF2	0.5865290759731	0.938	0.787	5.6597642249092e-15	1.38726480916749e-10	356	395
MYL6	0.626099243023781	0.919	0.732	1.97952442999565e-14	4.85201233036235e-10	356	395
ATP5MF	1.22901044832302	0.421	0.157	2.70514017286198e-14	6.630569077702e-10	356	395
ARPC5	0.74553494176818	0.829	0.643	3.5146751114114e-14	8.61482016558047e-10	356	395
TOP2A	-2.68399445301573	0.039	0.228	4.67504094209558e-14	1.14589928531705e-09	356	395
H3-3B	0.676172010003656	0.829	0.623	4.8139322804936e-14	1.17994294127179e-09	356	395
KCNQ5	-0.942498322369176	0.562	0.785	7.1873632940941e-14	1.7616946170154e-09	356	395
FAU	0.569169608574318	0.921	0.83	8.70399256142823e-14	2.13343561673167e-09	356	395
RPL18	0.637298185445012	0.899	0.757	9.8605480270433e-14	2.41691892690858e-09	356	395
NDUFB4	1.3807554618389	0.331	0.101	1.34986873965159e-13	3.30866326776002e-09	356	395
ELANE	-1.22379557498166	0.374	0.605	1.98399428353323e-13	4.8629683883683e-09	356	395
VPS28	2.05973526351416	0.25	0.056	2.03476917132787e-13	4.98742271584174e-09	356	395
DAB1	0.946908387182439	0.669	0.42	2.05246324837595e-13	5.03079266809428e-09	356	395
RPL32	0.522380717794996	0.972	0.891	2.31614945459995e-13	5.67711392816995e-09	356	395
SRGN	-0.541968390234643	0.994	0.995	3.06181708096765e-13	7.50481984715982e-09	356	395
EFHD2	0.822617832592359	0.61	0.319	3.22769772589645e-13	7.91140989594478e-09	356	395
RPL11	0.436337683430235	0.975	0.934	3.7893875438054e-13	9.28816780862142e-09	356	395
DIAPH3	-3.32391014081487	0.034	0.205	5.17829119872121e-13	1.26925095571856e-08	356	395
MT-ND4	-0.413743500635077	0.997	1	6.25522015129919e-13	1.53321701128494e-08	356	395
RPL35A	0.456064575665198	0.938	0.838	6.26230595061025e-13	1.53495381155408e-08	356	395
NINJ1	1.42177227762282	0.374	0.137	6.6050987313379e-13	1.61897575003823e-08	356	395
SERPINB1	0.602801416112623	0.941	0.876	6.97857600875223e-13	1.71051876550526e-08	356	395
ENSG00000289901	-0.547975047399173	0.93	0.937	1.07094938801393e-12	2.62500404496094e-08	356	395
ATP5MC3	1.18475628319135	0.407	0.159	1.10101023695109e-12	2.69868619179082e-08	356	395
RPLP0	0.518025175036743	0.921	0.818	1.31855500832888e-12	3.23191018091491e-08	356	395
COX6A1	0.845627779192492	0.539	0.261	1.38663679429881e-12	3.3987854465058e-08	356	395
PSMB3	1.15590471032193	0.461	0.2	1.76557083269891e-12	4.3275906680283e-08	356	395
CDKN1A	1.76473928913189	0.357	0.144	1.84135201528166e-12	4.51333792465688e-08	356	395
UBC	0.712960531955975	0.739	0.496	1.95363630103876e-12	4.7885579374761e-08	356	395
COX5B	1.1155034404253	0.427	0.182	2.15627046435383e-12	5.28523453517767e-08	356	395
COX7C	0.936595030195435	0.626	0.349	2.26745057051623e-12	5.55774809339232e-08	356	395
SRA1	1.96847803676965	0.258	0.068	2.82008915780082e-12	6.91232053468558e-08	356	395
GSTK1	0.991501763765395	0.492	0.235	3.6715834412299e-12	8.99941817279861e-08	356	395
YBX1	0.688253161756268	0.817	0.648	3.73300169551977e-12	9.1499604558885e-08	356	395
RPL24	0.571585808864746	0.907	0.716	5.91289285037585e-12	1.44930916655562e-07	356	395
RPL41	0.417322594660385	0.986	0.914	6.85700673718239e-12	1.68072092135078e-07	356	395
HPGD	2.04076074570251	0.393	0.172	7.62715124590024e-12	1.86949104188261e-07	356	395
CCL13	0.95643144685123	0.461	0.203	9.51843534477004e-12	2.33306368735659e-07	356	395
PRR13	0.711396092069301	0.736	0.532	9.65783370240825e-12	2.36723161879729e-07	356	395
IFI30	0.967302686524005	0.683	0.428	1.05473716726275e-11	2.58526627067773e-07	356	395
TMSB4X	0.376944983000814	0.997	0.995	1.24205684599354e-11	3.04440553521477e-07	356	395
ELOB	1.04599405379132	0.514	0.261	1.29071814789146e-11	3.16367925229677e-07	356	395
COX6C	1.0616048275934	0.452	0.203	1.38269065212483e-11	3.38911305742318e-07	356	395
MIR924HG	-2.63169240989074	0.045	0.208	1.69950047945922e-11	4.1656456252025e-07	356	395
THOC7	0.793820449934216	0.514	0.233	2.27807090982139e-11	5.58377960706321e-07	356	395
COX6B1	0.904818090403828	0.494	0.233	2.57338711024045e-11	6.30762914591037e-07	356	395
NOP10	0.935275163147247	0.458	0.208	2.72457156917015e-11	6.67819737319296e-07	356	395
CFD	0.804574926458442	0.871	0.754	4.50451902111234e-11	1.10410265726484e-06	356	395
MYL12B	1.04742855513316	0.438	0.205	4.86387631970941e-11	1.19218472472397e-06	356	395
SKP1	0.908516114410173	0.593	0.354	5.13763685314653e-11	1.25928616907475e-06	356	395
RPL15	0.506143896418734	0.865	0.785	5.24735532589109e-11	1.28617926392917e-06	356	395
UQCR11	0.845110183934643	0.573	0.311	5.54425307771753e-11	1.35895187187934e-06	356	395
JAML	0.667086224346926	0.632	0.367	5.95300162363201e-11	1.45914022796844e-06	356	395
NDUFA1	0.761699212292662	0.466	0.213	6.08050771292163e-11	1.49039324551422e-06	356	395
PSMA2	1.18309411018844	0.343	0.129	6.47185426712766e-11	1.58631619941566e-06	356	395
CLEC7A	0.936072505066656	0.556	0.301	6.72301991876168e-11	1.64787941228768e-06	356	395
CENPF	-2.43278753943082	0.056	0.218	7.04326216048542e-11	1.72637398815658e-06	356	395
NME2	0.859053134812303	0.657	0.397	7.20475280399602e-11	1.76595695978746e-06	356	395
NDUFAF3	1.71789733523385	0.242	0.068	8.27534842341911e-11	2.02837065206426e-06	356	395
NRG1	0.518582494749924	0.899	0.772	9.74574512660555e-11	2.38877958798229e-06	356	395
TMEM179B	1.1167253793005	0.36	0.144	1.06700406384662e-10	2.61533366089446e-06	356	395
