gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
B2M	1.14344660040237	1	0.922	8.47103911074171e-08	0.0020763363964339	46	218
FTH1	0.625351922855183	1	1	1.08751755555307e-07	0.00266561428041613	46	218
FUCA1	2.00853174064588	0.565	0.225	1.66512367546727e-07	0.00408138464093782	46	218
IFI6	3.13065685468188	0.261	0.041	3.70187222902021e-07	0.00907365902055143	46	218
PRRX1	2.60192891976802	0.304	0.064	7.9604188206309e-07	0.0195117825712484	46	218
CD80	5.26563104924033	0.087	0	1.22116570432534e-05	0.299319925787184	46	218
ARHGAP18	1.07814862271964	0.652	0.372	1.5751459487666e-05	0.386084023502181	46	218
FMO4	2.71047777057018	0.196	0.032	2.45739745446324e-05	0.602332690063486	46	218
RNF213	1.00425581391715	0.783	0.606	3.90250541632938e-05	0.956543102596493	46	218
BACH2	-6.22725603924253	0	0.188	0.00148564298652705	1	46	218
ENSG00000255496	5.77032509743374	0.087	0.005	0.000191113769213932	1	46	218
ADRB3	5.50331597993383	0.065	0	0.00015736198335463	1	46	218
PLK2	5.39666358961942	0.065	0.005	0.00219021301202653	1	46	218
MMP3	5.33540807060581	0.065	0.005	0.00219021301202653	1	46	218
SIGIRR	4.79667785098721	0.065	0.005	0.00219021301202653	1	46	218
PHLDA3	4.73886240078235	0.087	0.005	0.000191113769213932	1	46	218
ENSG00000290886	-4.64630078897885	0	0.128	0.0105087312238784	1	46	218
CMSS1	-4.631709285063	0	0.138	0.00783768365318132	1	46	218
MSRB3	-4.5795656932005	0	0.11	0.0187703458471278	1	46	218
FEM1C	-4.56448005939023	0	0.138	0.00783768365318132	1	46	218
HELLS	-4.55261429787755	0	0.128	0.0105087312238784	1	46	218
SCAMP5	4.40532682009999	0.109	0.009	0.000120826684799849	1	46	218
CASP2	-4.40451307298622	0	0.142	0.00676244090002049	1	46	218
ELANE	-4.37692233483055	0	0.115	0.0162480642925222	1	46	218
CCDC7	-4.36907154358255	0	0.128	0.0105087312238784	1	46	218
RMND5B	-4.36175114248228	0	0.106	0.0216754215348639	1	46	218
UQCRFS1	-4.25255213422362	0	0.11	0.0187703458471278	1	46	218
PSAT1	-4.23966836950868	0	0.133	0.00907817000129564	1	46	218
ENSG00000248774	-4.23919513146477	0	0.115	0.0162480642925222	1	46	218
RNF170	-4.19364608659076	0	0.101	0.0250212431517539	1	46	218
HS6ST3	4.18218065581588	0.087	0.018	0.0123839640237772	1	46	218
CMTM4	-4.15731742169855	0	0.11	0.0187703458471278	1	46	218
ANLN	-4.14801531000657	0	0.11	0.0187703458471278	1	46	218
KIF11	-4.12655945666274	0	0.115	0.0162480642925222	1	46	218
WDHD1	-4.11706669588844	0	0.133	0.00907817000129564	1	46	218
TRPV4	4.11454517927925	0.109	0.009	0.000132622810212939	1	46	218
RRM2	-4.09778530391659	0.022	0.138	0.0238346255846786	1	46	218
RETREG1	-4.09687305789004	0	0.083	0.0443251400426989	1	46	218
ENSG00000290574	4.09311513888472	0.065	0.009	0.011006645689905	1	46	218
NSUN2	-4.07353491031457	0	0.106	0.0216754215348639	1	46	218
