gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
FTH1	1.72453364351003	1	1	8.42833650835061e-12	2.06586956156182e-07	79	25
IFI30	1.89605235468233	1	0.96	1.23061623472768e-10	3.01636345294102e-06	79	25
S100A11	1.76736446786776	1	0.92	4.89206276137597e-10	1.19909350344086e-05	79	25
FNDC3B	-1.17660026106468	0.975	1	9.14629485922824e-10	2.24184833294543e-05	79	25
ARPC3	1.87488141352086	0.987	0.68	9.94047266230682e-10	2.43650925425802e-05	79	25
CALM1	1.49581687482683	1	0.92	1.0552811636744e-09	2.58659966028233e-05	79	25
RPL14	1.77904086324171	0.962	0.8	1.23573498449415e-09	3.02891002049361e-05	79	25
LGALS3	2.61339936752063	0.987	0.44	1.26451992569938e-09	3.09946478988175e-05	79	25
SRP14	2.10566584765893	0.975	0.64	1.43857467231327e-09	3.52609037930706e-05	79	25
RPS8	1.45398513482923	1	0.92	1.69375094228743e-09	4.15155293464073e-05	79	25
ATP6V0C	1.38351084400319	0.975	0.92	1.85893819512881e-09	4.55644341008023e-05	79	25
CST3	1.80209376063758	0.987	0.88	8.67260280780366e-09	0.000212574167422075	79	25
GAPDH	1.82473922857575	1	0.96	1.27022266548538e-08	0.000311344277537122	79	25
CSTB	1.88179095992966	0.975	0.92	1.45020200507175e-08	0.000355459013463137	79	25
ASH1L	-1.24271887148425	0.886	1	1.71459022914432e-08	0.000420263211065564	79	25
B2M	1.55106358920779	1	1	1.73265142860764e-08	0.000424690191666019	79	25
YBX1	1.37513676443072	0.975	0.88	1.80766888506373e-08	0.000443077720417972	79	25
TXN	2.50866615712105	0.899	0.44	1.85105730561786e-08	0.000453712656179994	79	25
RPS13	1.71806958826488	0.949	0.6	2.36816456964586e-08	0.000580460817665898	79	25
SPCS2	1.62671301754752	0.924	0.68	2.58471934504608e-08	0.000633540558664245	79	25
XIST	-1.36470076794893	0.899	1	3.94106760250369e-08	0.000965995080049679	79	25
RPL11	1.10682829027885	1	0.96	3.96864314976356e-08	0.000972754122438545	79	25
VPS13B	-1.33046312079482	0.873	0.96	4.06842339254881e-08	0.000997211257747638	79	25
PSMB3	2.25107951104839	0.899	0.32	4.92140110146575e-08	0.00120628462398027	79	25
SKP1	1.85626241642306	0.937	0.76	5.4927041346564e-08	0.00134631671044563	79	25
MRTFA	-1.46365815027375	0.722	0.96	6.39434620160621e-08	0.0015673181974757	79	25
VIM	1.52500712903466	0.987	0.96	7.68604805611414e-08	0.00188392723903414	79	25
RPS7	1.67839684982711	1	0.6	1.03982784153999e-07	0.00254872202239867	79	25
MORF4L1	1.46795474309289	0.962	0.72	1.9751383739082e-07	0.00484126166828638	79	25
MBNL1	-0.817813850616296	0.975	0.96	2.12544643480154e-07	0.00520968175634205	79	25
AMBRA1	-1.72971623313631	0.633	0.92	2.20826913894544e-07	0.00541268848646917	79	25
CCDC88A	-1.00426674496204	0.962	1	2.21398221409036e-07	0.00542669180495688	79	25
DNAAF9	-1.28085113206966	0.772	1	2.23625840732194e-07	0.0054812929821868	79	25
EIF1	1.53070467035574	0.987	0.84	2.30335246137448e-07	0.00564574721807499	79	25
UBB	2.19845216550248	0.873	0.48	2.33708701627729e-07	0.00572843398559728	79	25
COX7C	2.06741972056437	0.848	0.4	2.7211180684593e-07	0.00666973249760058	79	25
CD68	1.0384646849845	0.975	0.92	2.8236880782538e-07	0.00692114184860789	79	25
CLEC16A	-1.93382285026075	0.405	0.84	3.97379823090149e-07	0.00974017684376263	79	25
STAG1	-1.26849352350548	0.835	0.96	4.34083133811529e-07	0.0106398116928544	79	25
DPYD	-1.11418139897197	0.949	0.96	4.38799636594576e-07	0.0107554178925697	79	25
SIK3	-1.30680096511665	0.962	0.96	4.66115015060275e-07	0.0114249451341424	79	25
ATP6V0B	1.36593716629489	0.949	0.8	4.7181153155195e-07	0.0115645724498698	79	25
COP1	-0.943895434948499	0.924	1	5.13824799994989e-07	0.0125943596726772	79	25
H3-3B	1.2299753821407	0.949	0.88	5.33792011010644e-07	0.0130837759818819	79	25
