gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
SLCO2B1	4.84214469172008	1	0.146	5.12155654122521e-220	1.25534472381971e-215	483	751
MYO1E	4.84127577409208	1	0.111	1.49927438375625e-216	3.67487144202495e-212	483	751
DTNA	5.53213032716949	0.952	0.033	1.8916033116308e-216	4.63650887713826e-212	483	751
FMN1	4.41447068260377	0.986	0.116	7.43272098639788e-212	1.82183424097598e-207	483	751
FCGR2C	4.21093373109258	0.994	0.111	1.06055462866614e-211	2.59952545032358e-207	483	751
DOCK4	4.51872002312369	1	0.249	3.56539695797829e-208	8.73914448370059e-204	483	751
SLC9A9	4.48090293852051	0.994	0.18	1.11781910666578e-206	2.7398864123485e-202	483	751
COLEC12	4.78474371057651	0.99	0.22	1.80247012032407e-204	4.41803451192632e-200	483	751
SAMD4A	5.07647034156571	0.942	0.06	1.22646725082167e-202	3.006193878489e-198	483	751
SPRED1	4.19863067916251	1	0.268	9.87105920542107e-202	2.41949532184076e-197	483	751
MSR1	4.3757217498127	0.981	0.138	1.13958786841012e-201	2.79324382426006e-197	483	751
STEAP1B	5.05689827219408	0.919	0.051	2.82855497137463e-197	6.93307109033635e-193	483	751
NRP2	4.16771039442044	0.946	0.085	8.97479085892229e-194	2.19981098743044e-189	483	751
FMNL2	4.90872024347326	0.919	0.059	8.1782317420498e-193	2.00456638229383e-188	483	751
RGL1	4.28773584787995	0.95	0.101	1.95914140687269e-190	4.80205150238564e-186	483	751
MAML2	3.25460478341315	1	0.403	6.70553199327574e-189	1.64359294687182e-184	483	751
CIITA	4.61232828947554	0.896	0.04	8.20802024821152e-189	2.01186784303912e-184	483	751
NPL	3.55204411256056	0.992	0.245	9.88705154459297e-189	2.42341520409518e-184	483	751
FRMD4B	2.99815535861634	1	0.514	1.44700251704405e-188	3.54674786952667e-184	483	751
DAB2	3.18460819917061	1	0.514	1.45988502750533e-187	3.57832419091831e-183	483	751
FRMD4A	4.41147334126757	0.913	0.069	8.3147365159174e-187	2.03802506741651e-182	483	751
CD163	3.60767096507102	0.986	0.264	1.99064839529822e-185	4.87927828171547e-181	483	751
TNS3	3.40802660989762	0.994	0.242	4.31019546324831e-185	1.05647200999679e-180	483	751
SNX24	3.81535431182278	0.948	0.115	1.18608367972663e-184	2.90720970737794e-180	483	751
NPC1	3.68240808297281	0.994	0.269	4.29493892797009e-184	1.05273248063475e-179	483	751
CD163L1	4.16931087509911	0.923	0.064	8.47335062984511e-184	2.07690297288134e-179	483	751
BNC2	4.07624603305405	0.938	0.103	1.21779611250327e-183	2.98494005135678e-179	483	751
TMEM51	3.9097916834658	0.94	0.095	2.79784235697049e-183	6.85779140117038e-179	483	751
MOB3B	3.88320961169812	0.948	0.103	5.34718542544642e-183	1.31064861963117e-178	483	751
ETV5	3.4137897321995	0.986	0.197	2.34072422958728e-182	5.73734915914138e-178	483	751
ARHGAP31	3.41583027530138	0.979	0.197	3.52773758139477e-181	8.64683758575672e-177	483	751
CTSB	3.47810035993338	1	0.786	8.20532982216384e-181	2.01120839271058e-176	483	751
SEMA3A	3.63580518021818	0.959	0.145	3.5006637062906e-179	8.58047681048888e-175	483	751
CMKLR1	4.3599088197687	0.872	0.045	6.26064806995685e-178	1.53454744842712e-173	483	751
JAKMIP2	3.6646874334247	0.975	0.197	6.14486571981718e-175	1.50616803658439e-170	483	751
EEF1A1	-2.23456415989252	0.983	0.999	3.35648908806471e-174	8.22709040375542e-170	483	751
SIGLEC1	3.83129005738644	0.882	0.057	3.6890350792955e-174	9.0421938828612e-170	483	751
TPRG1	5.04928714892106	0.855	0.056	1.81567566113628e-173	4.45040261301113e-169	483	751
FCHO2	3.06451462038138	0.99	0.29	4.22562062404125e-173	1.03574187115875e-168	483	751
ITPR2	2.08275986918132	1	0.828	2.74617330613396e-172	6.73114539066494e-168	483	751
TANC2	3.08172898738662	0.988	0.277	5.32219173866453e-172	1.30452241706406e-167	483	751
SRGN	-3.39440485913738	0.986	0.995	6.93431614513135e-172	1.69967023033314e-167	483	751
TTC28	3.44073520405233	0.944	0.134	2.20702231417496e-171	5.40963239427425e-167	483	751
SLC38A6	2.88531912096209	0.998	0.308	4.56727330195312e-170	1.11948435904173e-165	483	751
AKT3	4.07709627614926	0.872	0.068	2.26030423228802e-169	5.54023170376116e-165	483	751
SHTN1	3.80652696927871	0.857	0.049	2.77375031442625e-169	6.79873939569018e-165	483	751
ARHGAP22	4.03383743760914	0.865	0.067	3.03665458644331e-168	7.4431440568312e-164	483	751
SH3PXD2B	3.58399794484128	0.901	0.095	7.14943743632065e-168	1.75239861001655e-163	483	751
LRP1	3.05113115005936	0.963	0.158	1.07701039564834e-167	2.63986018077364e-163	483	751
HDAC9	3.41314898695884	0.95	0.165	2.16706956243526e-167	5.31170420448508e-163	483	751
ADGRL3	-6.02305727366775	0.172	0.917	6.0641828388917e-166	1.48639185564075e-161	483	751
RPLP1	-1.99536199538523	0.983	0.993	8.66221416690118e-166	2.12319531444915e-161	483	751
NHSL1	3.06060851775539	0.977	0.189	1.8320476088582e-164	4.49053189407234e-160	483	751
GPNMB	2.94610148443505	0.99	0.341	4.38608670571765e-164	1.07507371243845e-159	483	751
FPR3	3.87609140858138	0.859	0.061	4.40544652738337e-164	1.07981899832694e-159	483	751
ITSN1	3.11171782003584	0.979	0.222	5.17942441961047e-164	1.26952871949072e-159	483	751
MRC1	2.29627813538664	1	0.863	2.81772570268831e-163	6.90652746985931e-159	483	751
MTSS1	3.1064432721224	0.961	0.156	6.38863710282098e-163	1.56591884027245e-158	483	751
TNIK	2.68462602696634	0.998	0.374	1.35910683519458e-162	3.33130676374544e-158	483	751
ARHGAP10	2.78183894036579	0.996	0.29	8.2228495653953e-162	2.01550265697404e-157	483	751
RBPJ	2.55645161069875	1	0.866	9.83603292564412e-162	2.41091003040463e-157	483	751
MPPED2	5.22308413545497	0.764	0.017	1.01680539093629e-161	2.49229169372393e-157	483	751
ZBTB7C	5.8791889350326	0.764	0.019	1.75657610053084e-161	4.30554368001115e-157	483	751
MARCO	3.98189460138088	0.942	0.249	2.64338113093107e-161	6.47919149002514e-157	483	751
ZFHX3	3.26221233976837	0.93	0.133	4.40107399703496e-161	1.07874724741324e-156	483	751
ARHGAP18	2.43991137511993	0.996	0.465	2.96233404181452e-159	7.26097696989157e-155	483	751
FGD5	4.36304803794288	0.789	0.032	1.1644018259017e-158	2.85406531546765e-154	483	751
LNCAROD	3.78459094683649	0.849	0.075	1.46996998544196e-158	3.60304343131679e-154	483	751
MITF	2.97083241670209	0.981	0.293	3.51392186486521e-158	8.61297388297111e-154	483	751
CD86	3.29528986517361	0.892	0.099	5.53392038438586e-158	1.35641922541682e-153	483	751
ENSG00000226149	3.8072998434034	0.882	0.125	1.03825864085296e-157	2.5448757545947e-153	483	751
NRP1	2.60260285078849	1	0.507	1.93218637221873e-157	4.73598201694533e-153	483	751
NLN	3.08415820928568	0.946	0.206	3.5220482457198e-157	8.63289245508381e-153	483	751
CAMSAP2	5.15821201748189	0.762	0.025	5.07387028792149e-157	1.24365634627244e-152	483	751
SLC1A3	3.01744383802066	0.959	0.208	1.5272682840261e-155	3.74348729097636e-151	483	751
AHNAK	2.3286254026814	0.992	0.29	2.8360540935405e-155	6.95145218867713e-151	483	751
SASH1	4.87653457655845	0.76	0.025	7.04092023777135e-155	1.72579995948014e-150	483	751
LINC02785	3.96649341428614	0.82	0.064	3.9304776799764e-153	9.63399384139015e-149	483	751
SLC16A10	4.29148285974225	0.803	0.056	4.65360184320741e-153	1.14064434778857e-148	483	751
RAPH1	4.01713073510534	0.785	0.039	2.47258078718658e-152	6.06054276747302e-148	483	751
MGLL	2.9916728951552	0.942	0.157	3.43857969707872e-152	8.42830269550965e-148	483	751
RPS2	-2.49583393919325	0.88	0.972	3.60751560670626e-152	8.84238150359772e-148	483	751
ME1	3.26391492018246	0.907	0.14	7.85376073042425e-152	1.92503529263429e-147	483	751
TMEM117	2.9416734229775	0.938	0.18	6.80452313638057e-151	1.66785666595824e-146	483	751
MCTP2	-3.72437097902174	0.476	0.932	8.897440096517e-151	2.18085154205728e-146	483	751
STARD13	3.47694390337765	0.857	0.092	1.13209741925228e-150	2.77488398432927e-146	483	751
LHFPL2	2.9194933339294	0.938	0.189	2.15743654401237e-150	5.28809271302873e-146	483	751
SGK1	2.79960687900993	0.963	0.217	4.5900495830995e-150	1.12506705331352e-145	483	751
KCNH7	-7.22453721301735	0.079	0.85	5.70264993764554e-150	1.3977765262163e-145	483	751
MARCHF1	2.8858770959194	0.95	0.202	1.15394890677795e-149	2.82844416540344e-145	483	751
MT-ND1	-2.30578879738645	0.986	0.991	6.37074758756136e-149	1.56153394118717e-144	483	751
BCAT1	2.57881602639725	0.977	0.272	4.63166235536534e-148	1.1352667599236e-143	483	751
PSD3	3.9632743118475	0.797	0.056	5.79718188419212e-148	1.42094725163433e-143	483	751
ZBED3-AS1	4.70924404880754	0.723	0.019	3.48204434479749e-147	8.53483889353314e-143	483	751
NAV1	3.85049243756034	0.807	0.072	3.87478872592886e-146	9.49749464612422e-142	483	751
ADAP2	3.40077926440477	0.828	0.087	1.17350302446238e-145	2.87637326325975e-141	483	751
CNIH3	3.68811250270331	0.843	0.108	1.27091258681694e-145	3.115133841547e-141	483	751
CHN2	5.20308755493046	0.706	0.016	4.39222180354541e-145	1.07657748626702e-140	483	751
SLC31A1	3.36380480306231	0.834	0.085	1.10723896151532e-144	2.71395341857019e-140	483	751
KCTD7	4.57711287906158	0.743	0.037	1.53855050147018e-144	3.77114113415356e-140	483	751
ALOX5	2.71519522982086	0.923	0.145	2.73591497175905e-144	6.7060011872786e-140	483	751
ITGB5	3.10578920510513	0.861	0.108	3.40748307682466e-144	8.35208176960493e-140	483	751
MT-CO3	-1.81047664056934	1	0.999	4.37486125804904e-144	1.0723222429604e-139	483	751
ACER3	2.0252469526906	0.994	0.546	6.78749891917539e-144	1.66368386007908e-139	483	751
RPS24	-1.90201047214868	0.936	0.981	2.19286633520138e-143	5.37493467421211e-139	483	751
AFDN	2.71673243562279	0.919	0.157	1.43702105611412e-142	3.52228231064133e-138	483	751
ATP8B4	-1.37106250767206	1	1	1.68916803789342e-142	4.14031977768055e-138	483	751
OSBPL3	3.1320484361116	0.89	0.149	1.95597189349961e-142	4.79428270815689e-138	483	751
ABHD12	2.7116825742383	0.948	0.226	4.27084017799783e-142	1.04682563602905e-137	483	751
TIAM1	3.96373133753072	0.739	0.031	1.42915514207422e-141	3.50300216873812e-137	483	751
TBC1D12	3.51226898615358	0.805	0.075	1.82550815544389e-141	4.47450303980852e-137	483	751
TRIO	2.05271962434461	1	0.517	3.62589416437331e-141	8.88742918629543e-137	483	751
KIAA1671	4.70948843928077	0.718	0.031	5.25948569269739e-141	1.28915253813706e-136	483	751
MT-ND2	-1.92142011197968	0.998	0.989	1.09683239349157e-140	2.68844587968719e-136	483	751
RPLP2	-1.91517292891251	0.944	0.976	2.85510004010374e-140	6.99813570829829e-136	483	751
PCSK6	4.30952420417038	0.764	0.061	4.07745665789134e-140	9.99425401415747e-136	483	751
PARP12	3.18259105748359	0.812	0.073	7.19235544958239e-140	1.76291824424714e-135	483	751
CUEDC1	3.6806261693713	0.766	0.052	8.70423243510402e-140	2.13349441216835e-135	483	751
MT-ATP6	-1.80173701102408	0.994	0.999	1.45330207268753e-139	3.56218871036441e-135	483	751
RPL11	-2.30356267393297	0.865	0.953	1.20158242653321e-138	2.94519868567554e-134	483	751
RPS8	-2.4932862906163	0.892	0.949	4.24723876858775e-138	1.04104069456854e-133	483	751
ALCAM	1.99791561537502	0.998	0.75	1.10459015500281e-137	2.70746092892739e-133	483	751
ICAM1	2.71454760153089	0.963	0.362	1.96668276982427e-137	4.82053613711626e-133	483	751
ARL15	1.73184126575941	1	0.716	9.07746868689133e-137	2.22497834984393e-132	483	751
MYOF	3.04429660843966	0.849	0.113	2.25223305313037e-136	5.52044843652786e-132	483	751
GPRIN3	2.93174739745096	0.855	0.119	1.26090379980743e-135	3.09060130370799e-131	483	751
ANK2	2.75185094731906	0.915	0.193	8.9309871578024e-135	2.18907426224895e-130	483	751
