gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
NRG1	3.95834957204987	0.785	0.26	0	0	1579	2112
APP	-3.26679244894849	0.154	0.832	0	0	1579	2112
RNF220	3.02033816082831	0.819	0.303	0	0	1579	2112
MPO	-2.70545779515381	0.554	0.951	0	0	1579	2112
MALAT1	2.18774682247846	1	1	0	0	1579	2112
NEAT1	1.90168752205725	0.977	0.881	0	0	1579	2112
CCDC26	-2.98998771917414	0.22	0.793	2.40116824668131e-283	5.88550348944055e-279	1579	2112
MKI67	-3.79561102371054	0.073	0.668	2.41841197461759e-277	5.92776959098517e-273	1579	2112
RRM2	-3.99901109912299	0.064	0.653	1.21997528835536e-274	2.99028142928783e-270	1579	2112
PTMA	-1.55511721170815	0.901	0.98	1.53674433932352e-274	3.76671405011589e-270	1579	2112
PRTN3	-3.16811072626035	0.334	0.82	2.32522079037459e-273	5.69934867928716e-269	1579	2112
TRERF1	-2.88671222183217	0.146	0.737	3.72977976396642e-273	9.14206317945808e-269	1579	2112
DIAPH3	-3.67920284379268	0.075	0.656	5.32021373123283e-268	1.30403758766248e-263	1579	2112
KCNH7	4.08085943368836	0.611	0.104	1.57362460479919e-259	3.8571112688233e-255	1579	2112
ITPR1	2.06265095372998	0.864	0.592	7.75652869061399e-258	1.90120274735639e-253	1579	2112
HELLS	-3.52793964011579	0.069	0.619	1.21900631460669e-244	2.98790637773247e-240	1579	2112
PLXDC2	2.4708706480619	0.765	0.292	3.22871544724645e-244	7.91390443274577e-240	1579	2112
MIR924HG	-3.30364238437323	0.085	0.633	4.62051794192576e-237	1.13253515274542e-232	1579	2112
NSD2	-2.06087479653758	0.272	0.796	1.21262309688956e-236	2.97226047278601e-232	1579	2112
ELANE	-2.52746193588136	0.309	0.8	1.20748890630685e-235	2.95967605824872e-231	1579	2112
ENSG00000291144	2.65248789632113	0.778	0.392	2.29941029519933e-233	5.63608457456309e-229	1579	2112
HMGB1	-1.76611743756328	0.593	0.885	2.20565201336235e-227	5.40627364995247e-223	1579	2112
NFIA	-3.28734061022792	0.085	0.599	7.0496293580279e-219	1.72793465194622e-214	1579	2112
KCNQ5	-1.69458011911106	0.513	0.911	1.68333760153794e-218	4.12602879512964e-214	1579	2112
POLQ	-2.72283479094388	0.114	0.63	3.50409491214683e-213	8.58888703916309e-209	1579	2112
UBE2E2	1.91296458748067	0.808	0.411	5.00653856875987e-213	1.22715266858873e-208	1579	2112
PRKDC	-1.7847353278946	0.446	0.835	2.07569359686132e-209	5.08773257526678e-205	1579	2112
GALNT14	-2.74320329425578	0.118	0.629	7.5157384109617e-207	1.84218264191082e-202	1579	2112
FTH1	1.08524070599935	1	1	8.16153737535757e-207	2.00047442607389e-202	1579	2112
