gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
B2M	1.48654222796378	1	0.738	2.51846119714949e-05	0.617300024033311	29	42
HBE1	-9.61753063524828	0	0.095	0.092342398493812	1	29	42
PRG2	-9.53708083712361	0	0.071	0.148999405033203	1	29	42
HBG1	-7.65698206835708	0	0.095	0.092342398493812	1	29	42
GNG11	7.36664694648898	0.276	0	0.000358444422504756	1	29	42
RAB13	7.25657213566904	0.379	0.024	7.22457484890361e-05	1	29	42
MAP1B	7.12212853538012	0.138	0	0.0145152042872145	1	29	42
ACBD3	6.93327388127435	0.172	0	0.00585526517948814	1	29	42
MYOF	6.86764402786424	0.207	0	0.00234141875700028	1	29	42
ISCA1	6.75288139930325	0.069	0	0.0903348225987562	1	29	42
UQCC5	-6.73576864792664	0	0.214	0.00852110053291989	1	29	42
ITGB8	6.69117407293544	0.103	0	0.0359500072576347	1	29	42
MMP3	6.67540270711009	0.172	0	0.00585526517948814	1	29	42
FST	6.58934514756653	0.138	0	0.0145152042872145	1	29	42
CBR1	6.55134720314719	0.207	0	0.00234141875700028	1	29	42
ABI3BP	6.51044555597014	0.103	0	0.0359500072576347	1	29	42
PLEKHA4	6.48683901597356	0.069	0	0.0903348225987562	1	29	42
TET2	-6.48262957395833	0	0.19	0.013856483389146	1	29	42
SPTA1	-6.47050392049643	0	0.143	0.035954055433034	1	29	42
DST	6.39897106186017	0.138	0.024	0.0611586060282292	1	29	42
RNF146	6.39480374879366	0.172	0	0.00585526517948814	1	29	42
CCDC26	-6.35808018751951	0	0.167	0.0223782143183354	1	29	42
RAI14	6.27658903148136	0.103	0	0.0359500072576347	1	29	42
SSU72	6.27440394540324	0.138	0	0.0145152042872145	1	29	42
NEIL3	-6.26594837300795	0	0.143	0.035954055433034	1	29	42
HERC5	6.2529058927298	0.103	0	0.0359500072576347	1	29	42
CAV1	6.21495304744071	0.138	0	0.0145152042872145	1	29	42
GREM1	6.21017727196308	0.103	0	0.0359500072576347	1	29	42
RAB1B	6.2088156355644	0.138	0	0.0145152042872145	1	29	42
ENAH	6.1879085861458	0.138	0	0.0145152042872145	1	29	42
DDR2	6.17853984204678	0.103	0	0.0359500072576347	1	29	42
FGGY-DT	6.14262820958168	0.069	0	0.0903348225987562	1	29	42
IFI44L	6.13251350525261	0.069	0	0.0903348225987562	1	29	42
PALLD	6.10731925551784	0.103	0	0.0359500072576347	1	29	42
PLOD2	6.08825816117595	0.138	0	0.0145152042872145	1	29	42
GMFB	6.08074860695677	0.138	0	0.0145152042872145	1	29	42
SERPINE1	6.06336318283423	0.138	0	0.0145152042872145	1	29	42
TTC17	-6.05863660435101	0	0.167	0.0223782143183354	1	29	42
NSMCE1	6.02001072874401	0.103	0	0.0359500072576347	1	29	42
MANBA	-6.00238746156329	0	0.167	0.0223782143183354	1	29	42
POLR2B	-5.99859124448125	0	0.119	0.0576015463720846	1	29	42
KPNA1	-5.9974765433288	0	0.19	0.013856483389146	1	29	42
SNRPC	-5.9960260079936	0	0.214	0.00852110053291989	1	29	42
STEAP4	5.98323347701685	0.103	0	0.0359500072576347	1	29	42
TRAF3IP1	5.96007006203412	0.172	0	0.00585526517948814	1	29	42
TPRKB	5.95793956919859	0.103	0	0.0359500072576347	1	29	42
LINC02762	5.94858318591863	0.138	0	0.0145152042872145	1	29	42
ATP8B4	-5.94144214068785	0.034	0.357	0.00113837391475685	1	29	42
SENP7	-5.92830183840733	0	0.167	0.0223782143183354	1	29	42
PAK1IP1	5.92440615200459	0.103	0	0.0359500072576347	1	29	42
CHCHD6	5.9198969428176	0.103	0	0.0359500072576347	1	29	42
HNRNPL	5.91939757865389	0.103	0	0.0359500072576347	1	29	42
PARP14	-5.91099497135159	0	0.167	0.0223782143183354	1	29	42
KIAA1522	5.89825554104035	0.103	0	0.0359500072576347	1	29	42
DNAJB12	5.88969897057986	0.103	0	0.0359500072576347	1	29	42
CMC4	5.88038051567847	0.103	0	0.0359500072576347	1	29	42
KCNQ1	5.87975937995208	0.103	0	0.0359500072576347	1	29	42
KIAA2026	-5.86492858371167	0	0.143	0.035954055433034	1	29	42
MTHFD1	-5.85857478151034	0	0.167	0.0223782143183354	1	29	42
ACSM3	-5.85235425201932	0	0.143	0.035954055433034	1	29	42
ETNK1	-5.85125732165666	0	0.167	0.0223782143183354	1	29	42
MRPS35	-5.82159038063258	0	0.119	0.0576015463720846	1	29	42
CLMP	5.81824349187145	0.103	0	0.0359500072576347	1	29	42
ABCA1	-5.80873915702936	0	0.143	0.035954055433034	1	29	42
FAM3B	5.80624182023588	0.069	0	0.0903348225987562	1	29	42
PTPRJ	-5.77457930580701	0	0.167	0.0223782143183354	1	29	42
PLEC	5.77140476328737	0.069	0	0.0903348225987562	1	29	42
NAA30	5.7690327062391	0.103	0	0.0359500072576347	1	29	42
PHPT1	5.76776620312139	0.103	0	0.0359500072576347	1	29	42
DERL2	5.75723640808058	0.069	0	0.0903348225987562	1	29	42
DGKD	-5.75525656322706	0	0.095	0.092342398493812	1	29	42
ZDHHC3	-5.7551562463608	0	0.214	0.00852110053291989	1	29	42
MRPL17	-5.74930389405544	0	0.143	0.035954055433034	1	29	42
CCDC91	5.74393710080822	0.103	0.024	0.147340687061117	1	29	42
ITGAX	5.73902165074719	0.103	0	0.0359500072576347	1	29	42
YBX3	-5.7369042449847	0	0.167	0.0223782143183354	1	29	42
HBB	-5.72796812557319	0	0.119	0.0576015463720846	1	29	42
TXNDC11	5.70950893456991	0.069	0	0.0903348225987562	1	29	42
PYCR1	5.7032882792754	0.069	0	0.0903348225987562	1	29	42
PCED1B-AS1	5.70206735894742	0.103	0	0.0359500072576347	1	29	42
