test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
IL6	0.870815199196518	0.0532204090308656	0.0512157314498432	0.164831676164242	1	ABCB5+ resistant LSC AML
IL24	0.850881598035932	0.0303607376268493	0.0283560600458269	0.0937841581229821	2	ABCB5+ resistant LSC AML
IL1A	0.836611427296059	0.0231420954658797	0.0211374178848573	0.0658502850376751	3	ABCB5+ resistant LSC AML
IL1B	0.846668898560429	0.0179223738328174	0.015917696251795	0.0776120863169836	4	ABCB5+ resistant LSC AML
JAM2	0.868429862738533	0.0154470356202824	0.01344235803926	0.0669478808166188	5	ABCB5+ resistant LSC AML
PSAP	0.841465796228098	0.0131951738816888	0.0111904963006665	0.0554645576579747	6	ABCB5+ resistant LSC AML
GAS6	0.830836402187255	0.0123304446754416	0.0103257670944192	0.0589992888908349	7	ABCB5+ resistant LSC AML
TIMP1	0.855959156344157	0.0119337293262181	0.00992905174519572	0.0498213310513613	8	ABCB5+ resistant LSC AML
GDNF	0.83523044303091	0.0117029321785862	0.00969825459756377	0.068804812804157	9	ABCB5+ resistant LSC AML
PTPRC	0.802616895435775	0.011692798032536	0.00968812045151358	0.046310907776074	10	ABCB5+ resistant LSC AML
DKK1	0.872182234125656	0.011652627669848	0.00964795008882565	0.0543177509161041	11	ABCB5+ resistant LSC AML
CSF3	0.828116281664992	0.0114876482335265	0.00948297065250414	0.0623528025053922	12	ABCB5+ resistant LSC AML
NID1	0.813887958933153	0.0111619304566083	0.00915725287558589	0.050404394534194	13	ABCB5+ resistant LSC AML
FBLN2	0.875823010824684	0.0108127182905289	0.00880804070950656	0.0632638123699254	14	ABCB5+ resistant LSC AML
MDK	0.820709184242829	0.0107621693483887	0.0087574917673663	0.0462123283257978	15	ABCB5+ resistant LSC AML
ROBO1	0.886898783617899	0.0106798538662885	0.00867517628526615	0.0618363721477177	16	ABCB5+ resistant LSC AML
BDNF	0.821825131123758	0.0105756647373623	0.00857098715633994	0.0531321202896707	17	ABCB5+ resistant LSC AML
TGFBI	0.833947104117836	0.0104381000417269	0.00843342246070454	0.0553937348019627	18	ABCB5+ resistant LSC AML
HLA-E	0.834811962950559	0.0104036382655497	0.00839896068452733	0.0585562366324208	19	ABCB5+ resistant LSC AML
MMP1	0.865026224751701	0.0102897037819563	0.00828502620093389	0.0576083934695257	20	ABCB5+ resistant LSC AML
COL6A2	0.853559870550162	0.0100364772844854	0.00803179970346297	0.0577773771131964	21	ABCB5+ resistant LSC AML
S100A9	0.822118067180002	0.010000431304321	0.00799575372329861	0.0450094088173283	22	ABCB5+ resistant LSC AML
HLA-B	0.824015176877578	0.00988721660086571	0.00788253901984333	0.0568711132916649	23	ABCB5+ resistant LSC AML
TYROBP	0.826693449391804	0.00984217871104449	0.00783750113002211	0.0457166400633143	24	ABCB5+ resistant LSC AML
CIB1	0.814738868429863	0.00983698639844973	0.00783230881742734	0.0501962564563985	25	ABCB5+ resistant LSC AML
NEGR1	0.891320723133579	0.00979766818895934	0.00779299060793696	0.0607140475081488	26	ABCB5+ resistant LSC AML
HLA-DQB1	0.82306662202879	0.00976029428848308	0.0077556167074607	0.033771609377737	27	ABCB5+ resistant LSC AML
MMP2	0.840698582747461	0.00975959192708691	0.00775491434606452	0.0491940797704219	28	ABCB5+ resistant LSC AML
NAMPT	0.851216382100211	0.00974070248423258	0.00773602490321019	0.0465490812679942	29	ABCB5+ resistant LSC AML
MSN	0.860450842539894	0.00966030863372595	0.00765563105270357	0.0579036601434743	30	ABCB5+ resistant LSC AML
SIRPA	0.83591396049548	0.00961000964147854	0.00760533206045615	0.057679905014301	31	ABCB5+ resistant LSC AML
COL27A1	0.832049994420264	0.00949047996673744	0.00748580238571505	0.0555728442397274	32	ABCB5+ resistant LSC AML
COL3A1	0.828255775025108	0.00945343613108714	0.00744875855006475	0.05403027626991	33	ABCB5+ resistant LSC AML
LGALS3	0.86683963843321	0.00941937383168512	0.00741469625066274	0.0392245019199395	34	ABCB5+ resistant LSC AML
SYT1	0.853169289141836	0.00939610698205779	0.00739142940103541	0.0541629273900467	35	ABCB5+ resistant LSC AML
LGALS3BP	0.857451735297398	0.00936566521111802	0.00736098763009563	0.0516107610758046	36	ABCB5+ resistant LSC AML
EFNA5	0.856837964512888	0.0093547718063501	0.00735009422532772	0.0542716934616135	37	ABCB5+ resistant LSC AML
