test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
IL6	0.874356118613393	0.0520397252855303	0.0503719004071426	0.157739459279021	1	GMP-like AML
IL24	0.857104738038886	0.0242068084769964	0.0225389835986086	0.0918205106672203	2	GMP-like AML
IL1A	0.842185252215877	0.022690172116273	0.0210223472378852	0.0693990574272143	3	GMP-like AML
IL1B	0.858346094946401	0.0193773814451076	0.0177095565667199	0.0803583607095995	4	GMP-like AML
JAM2	0.871757390134112	0.0143824252455551	0.0127146003671673	0.0632758229374516	5	GMP-like AML
CSF3	0.835955264745463	0.0127867522703797	0.011118927391992	0.0673052325310136	6	GMP-like AML
PTPRC	0.80569864030813	0.0109757943504424	0.00930796947205462	0.0472176273768643	7	GMP-like AML
TIMP1	0.86107243955636	0.0109289071282436	0.00926108224985586	0.0461916989007474	8	GMP-like AML
DKK1	0.879472365306975	0.0107773497905897	0.00910952491220193	0.0530935350326426	9	GMP-like AML
IFITM1	0.791336024873534	0.0104815819950031	0.0088137571166153	0.0570580187793378	10	GMP-like AML
PSAP	0.84480718362801	0.0102287076140982	0.00856088273571043	0.0529052837288862	11	GMP-like AML
BDNF	0.81842544897675	0.00997693392668384	0.00830910904829607	0.0480827232746475	12	GMP-like AML
TGFBI	0.838507587359026	0.00964901050532154	0.00798118562693377	0.0542410427714318	13	GMP-like AML
NID1	0.810490045941806	0.00947262630718319	0.00780480142879542	0.0463798510218459	14	GMP-like AML
MDK	0.822787600352684	0.0093641049766764	0.00769628009828864	0.0428801283124041	15	GMP-like AML
KITLG	0.836291707271798	0.00935696249230742	0.00768913761391966	0.0304399820749826	16	GMP-like AML
MMP1	0.867638869553111	0.00932635047522524	0.00765852559683747	0.0551973247758977	17	GMP-like AML
COL6A2	0.857406376165948	0.00877064329952111	0.00710281842113334	0.0553131902902431	18	GMP-like AML
NEGR1	0.895853635899578	0.00864003313808462	0.00697220825969685	0.058063806389591	19	GMP-like AML
SIRPA	0.839772147199406	0.00860888145972236	0.00694105658133459	0.0551463565465858	20	GMP-like AML
NAMPT	0.853496681980602	0.00854953053804592	0.00688170565965815	0.0459043512230108	21	GMP-like AML
COL3A1	0.835479604622024	0.00854233460183162	0.00687450972344385	0.0524278588142586	22	GMP-like AML
S100A9	0.821209800918836	0.00844858422352798	0.00678075934514021	0.0460105987625027	23	GMP-like AML
MMP2	0.844319922038145	0.00838481469094939	0.00671698981256162	0.0473015023345213	24	GMP-like AML
SYT1	0.855979395795628	0.00836334963475806	0.0066955247563703	0.0472969550418882	25	GMP-like AML
HLA-DQB1	0.820676133463267	0.00831272748195457	0.0066449026035668	0.0327339321134681	26	GMP-like AML
MMP14	0.848531254350549	0.0082129103321295	0.00654508545374173	0.0480045308945358	27	GMP-like AML
COL27A1	0.833774189057496	0.00819990491485334	0.00653208003646557	0.0529227329795062	28	GMP-like AML
ICAM1	0.840758271845561	0.00804278720887386	0.00637496233048609	0.0508066653902063	29	GMP-like AML
MSN	0.859726669451018	0.00804262325536974	0.00637479837698197	0.0538911951149928	30	GMP-like AML
LAMB1	0.849122929138242	0.0080085801345453	0.00634075525615754	0.0434675838401618	31	GMP-like AML
TGFB1	0.878173001067334	0.00799305792617275	0.00632523304778498	0.0567216372991298	32	GMP-like AML
BGN	0.826500069608797	0.0079530690698482	0.00628524419146043	0.0429473469200557	33	GMP-like AML
LGALS3	0.868068123810849	0.00795109128109827	0.0062832664027105	0.0412693877043532	34	GMP-like AML
ZNRF3	0.83031695206274	0.00793809585751182	0.00627027097912406	0.0527378969400569	35	GMP-like AML
LGALS3BP	0.860260336906584	0.00793633362122676	0.00626850874283899	0.0485398415639615	36	GMP-like AML
VEGFB	0.819666805884254	0.00787739645515233	0.00620957157676456	0.0413540018086981	37	GMP-like AML
CALM1	0.837881108172073	0.00778508632464993	0.00611726144626216	0.0452781151371157	38	GMP-like AML
GPI	0.816406793818738	0.00775896816692124	0.00609114328853348	0.0413344141872622	39	GMP-like AML
COL4A2	0.831175460578217	0.00772146726909378	0.00605364239070602	0.0462934473619733	40	GMP-like AML
LIN7C	0.831685925100933	0.00769998742097196	0.00603216254258419	0.0504926293384942	41	GMP-like AML
LAMA1	0.831558308970248	0.00768692210315962	0.00601909722477185	0.0502604626593431	42	GMP-like AML
LAMA3	0.834795118102927	0.00766019009275398	0.00599236521436621	0.0511957022097913	43	GMP-like AML
COL4A5	0.828263492505452	0.00765918543918049	0.00599136056079272	0.0477926733422856	44	GMP-like AML
CD14	0.862000556870388	0.00760910702647118	0.00594128214808342	0.0431755589811855	45	GMP-like AML
RECK	0.850236669915076	0.00758725160147572	0.00591942672308795	0.054440306133569	46	GMP-like AML
TIMP2	0.840804677711263	0.00754115668802375	0.00587333180963598	0.0509954312898495	47	GMP-like AML
TNC	0.824504617383637	0.00751855017505557	0.0058507252966678	0.033886410756765	48	GMP-like AML
FAM3C	0.82022367627268	0.00750214971762256	0.00583432483923479	0.0428007168546287	49	GMP-like AML
COL4A1	0.841222330502575	0.00745726063476499	0.00578943575637722	0.0420226115548859	50	GMP-like AML
C1QA	0.839540117870898	0.00744226329632448	0.00577443841793671	0.0416196929474529	51	GMP-like AML
CALM3	0.841616780361037	0.00743952629338446	0.00577170141499669	0.0441762415887591	52	GMP-like AML
MFAP2	0.830908626850433	0.00742780977975644	0.00575998490136867	0.0423168254578984	53	GMP-like AML
ADAM12	0.875794700450137	0.00742432195391487	0.0057564970755271	0.0494940839868299	54	GMP-like AML
ENPP1	0.804434080467764	0.0073829167020584	0.00571509182367063	0.0479573030930304	55	GMP-like AML
COL13A1	0.838600399090444	0.00737907216066234	0.00571124728227457	0.0499117847670184	56	GMP-like AML
