test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
IL6	0.86465282925624	0.0478972302076176	0.045678295296375	0.159621604399039	1	HSPC / LSC-like AML
IL24	0.848498888065234	0.0293298200736292	0.0271108851623866	0.101571416351713	2	HSPC / LSC-like AML
IL1A	0.828561279960464	0.0237308809093776	0.021511945998135	0.0682459283803441	3	HSPC / LSC-like AML
IL1B	0.846475784531752	0.0199896914854822	0.0177707565742396	0.0805859912475504	4	HSPC / LSC-like AML
JAM2	0.86040585618977	0.0140113714811498	0.0117924365699072	0.0679806792167556	5	HSPC / LSC-like AML
CSF3	0.822291203360516	0.0137471721720449	0.0115282372608023	0.0667110758905294	6	HSPC / LSC-like AML
IFITM1	0.783141833456875	0.0126620524890609	0.0104431175778183	0.0609406870393576	7	HSPC / LSC-like AML
DKK1	0.870104398319744	0.0124234228268109	0.0102044879155683	0.0585255920519361	8	HSPC / LSC-like AML
GAS6	0.825009266123054	0.0122990404261768	0.0100801055149342	0.0622632025975555	9	HSPC / LSC-like AML
BDNF	0.820360761057576	0.0122112896856533	0.00999235477441074	0.0574368795889223	10	HSPC / LSC-like AML
TIMP1	0.848977637756364	0.0120103368494355	0.00979140193819287	0.0462383582940821	11	HSPC / LSC-like AML
PTPRC	0.79160489251297	0.011925079000555	0.00970614408931236	0.0478427524936165	12	HSPC / LSC-like AML
PSAP	0.83520200148258	0.0117296175207582	0.00951068260951558	0.0504926537130257	13	HSPC / LSC-like AML
MMP1	0.857641462811959	0.0108500235197885	0.00863108860854591	0.0595763048682683	14	HSPC / LSC-like AML
MDK	0.810862984927106	0.0108130437229027	0.00859410881166008	0.0512224230410257	15	HSPC / LSC-like AML
TGFBI	0.826970595502833	0.0106488915473709	0.00842995663612832	0.0565260440474268	16	HSPC / LSC-like AML
NID1	0.801550531257722	0.0105820435966855	0.0083631086854429	0.0506744818460821	17	HSPC / LSC-like AML
COL6A2	0.846800098838647	0.0102810275763979	0.00806209266515527	0.0593314665975742	18	HSPC / LSC-like AML
CCL7	0.845116753150483	0.0101658731664383	0.00794693825519567	0.0598035862316032	19	HSPC / LSC-like AML
S100A9	0.811032863849768	0.00995274588629298	0.00773381097505038	0.0461977677700182	20	HSPC / LSC-like AML
NAMPT	0.843726834692365	0.00988931297073222	0.00767037805948961	0.0473898836119005	21	HSPC / LSC-like AML
MMP2	0.832314059797381	0.00980808034653586	0.00758914543529325	0.0491474724690644	22	HSPC / LSC-like AML
HLA-DQB1	0.810924759080801	0.00972213865401391	0.00750320374277131	0.0325034715481607	23	HSPC / LSC-like AML
MSN	0.851556708673091	0.00971886172147856	0.00749992681023596	0.0590455399481201	24	HSPC / LSC-like AML
SYT1	0.844313689152459	0.00968466027986564	0.00746572536862304	0.0558953769513673	25	HSPC / LSC-like AML
SIRPA	0.82638374104275	0.00965776375635818	0.00743882884511558	0.058623909726124	26	HSPC / LSC-like AML
COL3A1	0.822105880899433	0.00964227563398754	0.00742334072274494	0.0552279349091846	27	HSPC / LSC-like AML
MMP14	0.836561032863851	0.00955820156686159	0.00733926665561899	0.0519278634682949	28	HSPC / LSC-like AML
COL4A2	0.820144551519647	0.00954327609270664	0.00732434118146403	0.0534502210255839	29	HSPC / LSC-like AML
COL27A1	0.822538299975292	0.00953804539453297	0.00731911048329036	0.0565553713688535	30	HSPC / LSC-like AML
TGFB1	0.868544600938966	0.00949481282520663	0.00727587791396403	0.0589128818798933	31	HSPC / LSC-like AML
VEGFB	0.809982703236962	0.00941331798737972	0.00719438307613712	0.0425817033400342	32	HSPC / LSC-like AML
LGALS3BP	0.849209290832716	0.00934166640889206	0.00712273149764945	0.0528023386013297	33	HSPC / LSC-like AML
LGALS3	0.858768841116876	0.0093334057351608	0.00711447082391819	0.0424327401127512	34	HSPC / LSC-like AML
LAMB1	0.838198047936745	0.00931720952798367	0.00709827461674107	0.053543620341365	35	HSPC / LSC-like AML
NRG1	0.822538299975292	0.00923584640326068	0.00701691149201807	0.0535162417839839	36	HSPC / LSC-like AML
ICAM1	0.829163577958983	0.0092229669591865	0.00700403204794389	0.0455203647721875	37	HSPC / LSC-like AML
LAMA3	0.824638621200891	0.00915904936610392	0.00694011445486132	0.0549052280800667	38	HSPC / LSC-like AML
BGN	0.813071410921671	0.00915534260322209	0.00693640769197949	0.0449055072099709	39	HSPC / LSC-like AML
RECK	0.840421917469731	0.00910355476089043	0.00688461984964782	0.0584658911573547	40	HSPC / LSC-like AML
COL4A5	0.816607981220658	0.00904551941199264	0.00682658450075004	0.0522956391009098	41	HSPC / LSC-like AML
C1QA	0.832020632567336	0.00902811748728088	0.00680918257603828	0.0434914167107229	42	HSPC / LSC-like AML
LIN7C	0.82087039782555	0.00894543443996575	0.00672649952872315	0.0545249073551707	43	HSPC / LSC-like AML
MFAP2	0.822939831974304	0.00891568747708534	0.00669675256584273	0.0438162154542827	44	HSPC / LSC-like AML
TFPI	0.806307141092166	0.00891469812326384	0.00669576321202123	0.0351159835287119	45	HSPC / LSC-like AML
LAMA1	0.819542253521126	0.0089099437945808	0.0066910088833382	0.0534644568226952	46	HSPC / LSC-like AML
ADAM12	0.867108351865579	0.00888277276536549	0.00666383785412289	0.0505718197387538	47	HSPC / LSC-like AML
GPI	0.806955769705956	0.00883994982648999	0.00662101491524739	0.0362060613590145	48	HSPC / LSC-like AML
TIMP2	0.829935754880158	0.00882938355209349	0.00661044864085089	0.0546234696564974	49	HSPC / LSC-like AML
CLMP	0.824221645663455	0.00881130601597249	0.00659237110472989	0.0531899287787727	50	HSPC / LSC-like AML
COL13A1	0.828792933036818	0.00880340553033394	0.00658447061909133	0.053674607710914	51	HSPC / LSC-like AML
COL4A1	0.829318013343219	0.00879566231786737	0.00657672740662477	0.0448920758926853	52	HSPC / LSC-like AML
ENPP1	0.794554608351863	0.00872236364219801	0.00650342873095541	0.0520541635468419	53	HSPC / LSC-like AML
FAM3C	0.80928774400791	0.00870034208120271	0.00648140716996011	0.0443109866397189	54	HSPC / LSC-like AML
NECTIN2	0.847881146528294	0.00867784803520909	0.00645891312396649	0.044579392607082	55	HSPC / LSC-like AML
