test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
IL6	0.854092585275912	0.0464621908571685	0.0440971928280002	0.155202310878752	1	Mono-like AML
IL1A	0.817200052680101	0.0304500667742186	0.0280850687450503	0.0685670986713975	2	Mono-like AML
IL24	0.838963519030687	0.0264306040027482	0.0240656059735799	0.0988551860062248	3	Mono-like AML
IL1B	0.8354569998683	0.0219539814445939	0.0195889834154256	0.0800497698518608	4	Mono-like AML
JAM2	0.849466613986568	0.0144901805776782	0.0121251825485099	0.0667111090779992	5	Mono-like AML
CSF3	0.807042670881077	0.0121893722851801	0.00982437425601176	0.0615475073502119	6	Mono-like AML
IFITM1	0.772273804820226	0.0121047088788529	0.00973971084968455	0.0594559472072801	7	Mono-like AML
TIMP1	0.838123929935468	0.0120688544397169	0.00970385641054857	0.0452282127015647	8	Mono-like AML
DKK1	0.858521006189911	0.0120175528841295	0.00965255485496118	0.0570745852780733	9	Mono-like AML
PSAP	0.823225339128147	0.0115550940819028	0.00919009605273451	0.0492975830230115	10	Mono-like AML
BDNF	0.805857368629002	0.0115349999601421	0.00917000193097384	0.0537712440945456	11	Mono-like AML
PTPRC	0.779089292769656	0.0114282565741981	0.00906325854502981	0.04951272796879	12	Mono-like AML
MMP1	0.845663769261163	0.0108236927347419	0.00845869470557356	0.0584860753076064	13	Mono-like AML
MDK	0.799502831555382	0.010584414379491	0.00821941635032271	0.0524251330012486	14	Mono-like AML
TGFBI	0.817710391149736	0.0105766397884546	0.00821164175928628	0.0556994246931668	15	Mono-like AML
NID1	0.789921638351116	0.0105445895538497	0.00817959152468144	0.0495774785119963	16	Mono-like AML
CCL7	0.833629658896351	0.0100420623122353	0.00767706428306699	0.0592992611674124	17	Mono-like AML
COL6A2	0.834321085210061	0.0100122103658886	0.00764721233672026	0.0584278389367347	18	Mono-like AML
NEGR1	0.876152377189517	0.00995961423222039	0.00759461620305208	0.061791925715665	19	Mono-like AML
S100A9	0.800095482681417	0.0097423411488057	0.00737734311963739	0.0470464573955776	20	Mono-like AML
TYROBP	0.804770841564594	0.00965630516400349	0.00729130713483518	0.0549806342211431	21	Mono-like AML
