test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
IL6	0.895476504172158	0.0528867568804602	0.050847075812409	0.166517095857499	1	Niche-stressed primitive AML
IL24	0.895307590959765	0.0288564061620065	0.0268167250939553	0.100725092440426	2	Niche-stressed primitive AML
IL1A	0.877166311948921	0.0252123546097635	0.0231726735417124	0.0674112934273266	3	Niche-stressed primitive AML
IL1B	0.837404141751968	0.0201844112217169	0.0181447301536657	0.0769547752711702	4	Niche-stressed primitive AML
JAM2	0.890611803655282	0.0147643860789377	0.0127247050108865	0.0710556868966286	5	Niche-stressed primitive AML
PTPRC	0.84642410729367	0.0125970511718995	0.0105573701038483	0.0524950758992648	6	Niche-stressed primitive AML
PSAP	0.87500422283031	0.01257698296839	0.0105373019003389	0.0598687165733021	7	Niche-stressed primitive AML
DKK1	0.888247018681802	0.0125757316247221	0.0105360505566709	0.0562352813312101	8	Niche-stressed primitive AML
IFITM1	0.841187797709535	0.0125152695376859	0.0104755884696347	0.0655198950905137	9	Niche-stressed primitive AML
CSF3	0.862825580216885	0.012308617769391	0.0102689367013398	0.0620913193958896	10	Niche-stressed primitive AML
GAS6	0.840681058072362	0.0121760180840117	0.0101363370159605	0.0612942368511332	11	Niche-stressed primitive AML
TIMP1	0.886929495625148	0.0121161735798194	0.0100764925117682	0.0464268176889902	12	Niche-stressed primitive AML
BDNF	0.860258099388535	0.011908632087107	0.00986895101905583	0.0568060747388245	13	Niche-stressed primitive AML
FBLN2	0.886372082024256	0.0114062417185912	0.00936656065054	0.0658677132020818	14	Niche-stressed primitive AML
MDK	0.859970946927466	0.0113996262734172	0.00935994520536604	0.0508564818911151	15	Niche-stressed primitive AML
TGFBI	0.893500219587178	0.0112710059003688	0.00923132483231763	0.0620454429660859	16	Niche-stressed primitive AML
HLA-E	0.885206580858756	0.0109710647364451	0.00893138366839396	0.0642307292201652	17	Niche-stressed primitive AML
HLA-B	0.867825411303671	0.0109145996986306	0.00887491863057945	0.0619557946692763	18	Niche-stressed primitive AML
MMP1	0.886980169588865	0.010910416610715	0.00887073554266385	0.0616040723911449	19	Niche-stressed primitive AML
S100A9	0.854954224519444	0.0107967239394415	0.00875704287139031	0.0473227253302817	20	Niche-stressed primitive AML
TYROBP	0.878990574642748	0.0107655735640485	0.00872589249599733	0.0498566748423392	21	Niche-stressed primitive AML
COL6A2	0.874159656768353	0.0106772743390741	0.00863759327102296	0.0613313130591371	22	Niche-stressed primitive AML
NAMPT	0.878855444072835	0.010449136180804	0.00840945511275286	0.0468893211479926	23	Niche-stressed primitive AML
MSN	0.887926083578258	0.0104309804528627	0.00839129938481149	0.0617602120434707	24	Niche-stressed primitive AML
HLA-DQB1	0.863078950035472	0.0103169632756954	0.00827728220764421	0.0329179169582537	25	Niche-stressed primitive AML
SIRPA	0.867943650552347	0.0103112012246267	0.00827152015657548	0.0618648814290388	26	Niche-stressed primitive AML
SYT1	0.876507550420594	0.0103088407335253	0.00826915966547417	0.0519292989813692	27	Niche-stressed primitive AML
MMP2	0.865629539542581	0.0102822138234881	0.00824253275543688	0.058404794084158	28	Niche-stressed primitive AML
LGALS3BP	0.888297692645519	0.0101649386443542	0.00812525757630305	0.0586290566629672	29	Niche-stressed primitive AML
VEGFB	0.870190196277153	0.0101594371960258	0.0081197561279746	0.0554282330070187	30	Niche-stressed primitive AML
COL27A1	0.868838890578021	0.0101487711005428	0.0081090900324916	0.0604120246749426	31	Niche-stressed primitive AML
NID1	0.840393905611297	0.0101393770880205	0.00809969601996935	0.0540991204086496	32	Niche-stressed primitive AML
B2M	0.870899631769198	0.0100245569866054	0.00798487591855422	0.0524990136537615	33	Niche-stressed primitive AML
CCL7	0.849329414546806	0.0100105891389148	0.00797090807086363	0.0588347638813169	34	Niche-stressed primitive AML
MMP14	0.881270903010033	0.00996204946386753	0.00792236839581636	0.0556365239581508	35	Niche-stressed primitive AML
COL3A1	0.848282152629975	0.00995297684962453	0.00791329578157335	0.0575399303537245	36	Niche-stressed primitive AML
ZNRF3	0.865460626330192	0.00993085928900932	0.00789117822095814	0.061543734620225	37	Niche-stressed primitive AML
FGF5	0.876135941353334	0.00991468296713936	0.00787500189908819	0.0590566635655354	38	Niche-stressed primitive AML
