test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
IL6	0.872222967234362	0.0364806666012614	0.0348740258193629	0.141588424684488	1	Promono quiescent AML
IL24	0.851504179518119	0.0220324558853298	0.0204258151034313	0.0828782487969882	2	Promono quiescent AML
IL1A	0.836954092351699	0.017747332214702	0.0161406914328035	0.0572039781023356	3	Promono quiescent AML
IL1B	0.84707880738456	0.0143179032768826	0.0127112624949841	0.0671609845396093	4	Promono quiescent AML
JAM2	0.865540208305394	0.0107836924522668	0.00917705167036829	0.0591176368446431	5	Promono quiescent AML
DKK1	0.879565061910509	0.00978572028714568	0.00817907950524717	0.0518894620147251	6	Promono quiescent AML
CSF3	0.828583880917251	0.00935105488653621	0.00774441410463769	0.0553697935943688	7	Promono quiescent AML
TIMP1	0.857963434803983	0.00934286315740815	0.00773622237550964	0.0421590413733222	8	Promono quiescent AML
GDNF	0.833981493898352	0.00927707841411751	0.007670437632219	0.061726630618273	9	Promono quiescent AML
PSAP	0.84692235483438	0.00909891666842936	0.00749227588653084	0.0475468149677331	10	Promono quiescent AML
GAS6	0.835311340574852	0.00907482596111038	0.00746818517921186	0.0537954446714996	11	Promono quiescent AML
PTPRC	0.802389253944839	0.00878631542094332	0.0071796746390448	0.0427384742559662	12	Promono quiescent AML
FBLN2	0.878816324706092	0.00865926422022437	0.00705262343832586	0.0578675287753736	13	Promono quiescent AML
ROBO1	0.891053149166333	0.00859764728087096	0.00699100649897245	0.0566740791493558	14	Promono quiescent AML
IFITM1	0.789582495194677	0.00847288345438903	0.00686624267249052	0.0526353764425114	15	Promono quiescent AML
MMP1	0.86841223011935	0.00837138306660512	0.00676474228470661	0.0535619571751539	16	Promono quiescent AML
MDK	0.820861830047827	0.00834312760482821	0.00673648682292969	0.0431192127983044	17	Promono quiescent AML
TGFBI	0.835635420857368	0.00833262259710611	0.0067259818152076	0.0511448413500824	18	Promono quiescent AML
BDNF	0.823298019757714	0.00810237172252271	0.00649573094062419	0.0456100235679785	19	Promono quiescent AML
HLA-E	0.834383800455948	0.00796185380312955	0.00635521302123104	0.0524937673609676	20	Promono quiescent AML
NID1	0.813720888650482	0.00795917617249171	0.0063525353905932	0.0449249767807078	21	Promono quiescent AML
NEGR1	0.893243484868804	0.00787546928374967	0.00626882850185115	0.0550997836444468	22	Promono quiescent AML
COL6A2	0.856387734120064	0.00785983549592787	0.00625319471402936	0.0523728506677865	23	Promono quiescent AML
CCL7	0.855583121004871	0.00783265550749194	0.00622601472559342	0.0527815696045796	24	Promono quiescent AML
S100A9	0.822146975995704	0.00777922180335803	0.00617258102145952	0.0415743634952799	25	Promono quiescent AML
TYROBP	0.826751151043765	0.00777104446412625	0.00616440368222774	0.0422360389473935	26	Promono quiescent AML
NAMPT	0.853985069956637	0.00769533016936252	0.00608868938746401	0.0431966359593614	27	Promono quiescent AML
MMP2	0.844441464395868	0.00766309872910613	0.00605645794720761	0.0453664746753767	28	Promono quiescent AML
MSN	0.862075901837198	0.00761325849367158	0.00600661771177306	0.0522655280138148	29	Promono quiescent AML
HLA-B	0.824817844530861	0.00757225656838333	0.00596561578648482	0.0509554395305805	30	Promono quiescent AML
HLA-DQB1	0.822325778910189	0.0075101719268305	0.00590353114493198	0.0297426904589744	31	Promono quiescent AML
SYT1	0.854566179428723	0.00750337555398774	0.00589673477208923	0.0480041716322854	32	Promono quiescent AML
SIRPA	0.83722229672343	0.00745649824210355	0.00584985746020504	0.0516400952985016	33	Promono quiescent AML
COL3A1	0.83327745742255	0.00742241901374422	0.0058157782318457	0.0496910737635157	34	Promono quiescent AML
CIB1	0.815341290063028	0.00739690978079363	0.00579026899889512	0.0450208749948275	35	Promono quiescent AML
COL27A1	0.834048544991276	0.00737861845245931	0.0057719776705608	0.050160460508312	36	Promono quiescent AML
LGALS3BP	0.85955031067006	0.0073155346384014	0.00570889385650289	0.0466724109238729	37	Promono quiescent AML
LAMB1	0.848665683250629	0.00729979117738297	0.00569315039548446	0.0475921258996766	38	Promono quiescent AML
VEGFB	0.820291895757902	0.00728019638922467	0.00567355560732616	0.0395601372514823	39	Promono quiescent AML
EFNA5	0.858209288811404	0.00726780512834627	0.00566116434644776	0.0422335905429115	40	Promono quiescent AML
MMP14	0.846263019087205	0.00726552596621128	0.00565888518431276	0.045776026894734	41	Promono quiescent AML
LGALS3	0.868076974654688	0.00722427528823567	0.00561763450633715	0.0319100764186456	42	Promono quiescent AML
SLIT2	0.831422377184742	0.00719778724927859	0.00559114646738007	0.0444258507349588	43	Promono quiescent AML
COL4A2	0.831411202002585	0.00718657082915271	0.0055799300472542	0.0463306777914449	44	Promono quiescent AML
FGF5	0.83352331142997	0.00716798306574572	0.0055613422838472	0.0486375715729922	45	Promono quiescent AML
B2M	0.82800277144517	0.00713043476664224	0.00552379398474373	0.0375257641717943	46	Promono quiescent AML
ICAM1	0.838719771132267	0.00712122724871257	0.00551458646681405	0.0370686220492165	47	Promono quiescent AML
LAMA3	0.835177238388979	0.00708127935961273	0.00547463857771422	0.0485352182124446	48	Promono quiescent AML
RECK	0.848498055518301	0.00705785874691621	0.0054512179650177	0.0517430288384995	49	Promono quiescent AML
BGN	0.823722676679621	0.00704271308961554	0.00543607230771703	0.0370976710518982	50	Promono quiescent AML
MFAP2	0.833389209244104	0.00701249456382202	0.00540585378192351	0.0403354273102065	51	Promono quiescent AML
COL4A5	0.829109114478561	0.00700691730199543	0.00540027652009691	0.0469954752901185	52	Promono quiescent AML
GPI	0.819129676813727	0.00700178163308309	0.00539514085118457	0.0320094099105064	53	Promono quiescent AML
ADAM12	0.877676456126235	0.00699645371142713	0.00538981292952861	0.0464096919599257	54	Promono quiescent AML
C1QA	0.841647668856994	0.00699276944648997	0.00538612866459146	0.032530311293116	55	Promono quiescent AML
CD44	0.833657413615835	0.00696829081320885	0.00536165003131034	0.0345460519656672	56	Promono quiescent AML
CFH	0.859136828930313	0.00694915752986176	0.00534251674796325	0.05113222043617	57	Promono quiescent AML
HLA-C	0.820805954137051	0.00693576238659686	0.00532912160469835	0.047268222129745	58	Promono quiescent AML
