test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
IL6	0.852295514511872	0.104766426048849	0.0995170822168278	0.228188911396601	1	Stress-response AML
IL1A	0.824063324538258	0.0364449558807584	0.0311956120487374	0.103104466165112	2	Stress-response AML
IL1B	0.799366754617414	0.0363748792157483	0.0311255353837273	0.122526102133144	3	Stress-response AML
IFITM1	0.806385224274406	0.0261762688240895	0.0209269249920685	0.0820323514121829	4	Stress-response AML
JAM2	0.848759894459103	0.0250089183967578	0.0197595745647368	0.0924526720166455	5	Stress-response AML
PTPRC	0.788443271767809	0.0234853389087831	0.0182359950767621	0.0680193876363168	6	Stress-response AML
VEGFA	0.788759894459103	0.023168165884973	0.017918822052952	0.0463193546542724	7	Stress-response AML
MDK	0.804274406332453	0.0216479259314203	0.0163985820993993	0.0481190048066225	8	Stress-response AML
TGFB1	0.838680738786279	0.0205512175650993	0.0153018737330783	0.0864714465474652	9	Stress-response AML
TGFBI	0.842321899736147	0.0199306973722681	0.0146813535402471	0.0831795613654498	10	Stress-response AML
TIMP1	0.831556728232189	0.019788223051481	0.01453887921946	0.0435416820768387	11	Stress-response AML
NID1	0.764802110817942	0.0195879485073196	0.0143386046752986	0.0631492789229197	12	Stress-response AML
MMP1	0.818891820580475	0.0186325035748055	0.0133831597427846	0.0731071609983173	13	Stress-response AML
SIRPA	0.81108179419525	0.0181426130049016	0.0128932691728806	0.0777191703745944	14	Stress-response AML
S100A9	0.792137203166227	0.0178513025051411	0.0126019586731201	0.0513421406246175	15	Stress-response AML
NAMPT	0.814142480211082	0.0177944138298762	0.0125450699978552	0.0578634274698894	16	Stress-response AML
LGALS3BP	0.82754617414248	0.017477835799699	0.012228491967678	0.0726261583840518	17	Stress-response AML
COL6A2	0.811029023746701	0.0172114170181292	0.0119620731861082	0.0723586497735823	18	Stress-response AML
ANGPTL2	0.792084432717676	0.0171312859461271	0.0118819421141061	0.0387690871616699	19	Stress-response AML
LAMB1	0.822480211081794	0.016927986958277	0.011678643126256	0.0673362371030238	20	Stress-response AML
COL3A1	0.783535620052768	0.0168617324365792	0.0116123886045582	0.0694609032220335	21	Stress-response AML
COL13A1	0.823166226912929	0.0168505855399019	0.0116012417078809	0.068477299947617	22	Stress-response AML
MELTF	0.819155672823218	0.0167915924697282	0.0115422486377072	0.0674293116529237	23	Stress-response AML
RECK	0.820422163588391	0.0166596128299608	0.0114102689979398	0.0745730197586367	24	Stress-response AML
COL4A2	0.792453825857519	0.0165810874738619	0.0113317436418409	0.0647247881904176	25	Stress-response AML
MMP14	0.817044854881267	0.0164616053050579	0.0112122614730369	0.06292094725411	26	Stress-response AML
LAMA1	0.813139841688654	0.0163605449629503	0.0111112011309293	0.0683536048278313	27	Stress-response AML
ICAM1	0.797150395778363	0.0163590173754212	0.0111096735434002	0.0513464106031223	28	Stress-response AML
COL4A5	0.786068601583113	0.0162772958621522	0.0110279520301312	0.061106932781358	29	Stress-response AML
COL4A1	0.813245382585752	0.0161605394730249	0.0109111956410039	0.0572386626665327	30	Stress-response AML
LGALS3	0.812559366754618	0.0161193206964697	0.0108699768644488	0.0457156438933377	31	Stress-response AML
TIMP2	0.789656992084432	0.0160735444208251	0.0108242005888041	0.067346238684202	32	Stress-response AML
CLMP	0.792084432717678	0.015954798190924	0.010705454358903	0.063003304661687	33	Stress-response AML
COL27A1	0.79467018469657	0.0159084832646288	0.0106591394326079	0.0680007145543293	34	Stress-response AML
LAMA3	0.801688654353562	0.0158259371735029	0.010576593341482	0.0671447156796397	35	Stress-response AML
LAMA4	0.796569920844325	0.0157981017715924	0.0105487579395714	0.0686977116569667	36	Stress-response AML
VEGFB	0.793298153034301	0.0154721571742608	0.0102228133422398	0.0652661971306739	37	Stress-response AML
HLA-A	0.794089709762532	0.0153669158460043	0.0101175720139833	0.0688302566178975	38	Stress-response AML
FAM3C	0.782374670184695	0.0153083065979987	0.0100589627659777	0.0577654678546426	39	Stress-response AML
PLAT	0.777097625329816	0.0152553693676841	0.0100060255356631	0.035830837044477	40	Stress-response AML
BGN	0.791345646437994	0.0152446192236172	0.00999527539159622	0.0489396827135044	41	Stress-response AML
CD99	0.797255936675461	0.0151955485193063	0.00994620468728528	0.0337605578256409	42	Stress-response AML
CLEC11A	0.772348284960421	0.0151517242446427	0.00990238041262166	0.0644499997443157	43	Stress-response AML
FN1	0.801424802110818	0.0150275326754327	0.00977818884341169	0.0492297789787712	44	Stress-response AML
MMP9	0.797572559366755	0.0149102958454453	0.00966095201342429	0.0437617793550696	45	Stress-response AML
COL16A1	0.792823218997361	0.0148335125136151	0.00958416868159415	0.0463264019323736	46	Stress-response AML
ALCAM	0.756411609498679	0.0148041732574336	0.00955482942541264	0.0522668326932757	47	Stress-response AML
S100A8	0.785171503957783	0.0147514315630047	0.00950208773098368	0.0472009573690197	48	Stress-response AML
ADAM10	0.808707124010554	0.0147142519540381	0.00946490812201711	0.0638423582794957	49	Stress-response AML
HMGB1	0.72970976253298	0.0147027056967922	0.00945336186477121	0.0427377506659866	50	Stress-response AML
FBN1	0.798997361477572	0.0146931468863538	0.00944380305433278	0.0364724464936508	51	Stress-response AML
ADAM9	0.799208443271767	0.0146903155662442	0.00944097173422318	0.0559435743355964	52	Stress-response AML
COL5A1	0.796517150395779	0.0146789780809956	0.0094296342489746	0.0539303774662663	53	Stress-response AML
LAMC1	0.790817941952507	0.0146502954373517	0.0094009516053307	0.0607033653477935	54	Stress-response AML
ADAM12	0.808812664907652	0.0146394750442823	0.00939013121226135	0.0599465190378552	55	Stress-response AML
LGALS1	0.804538258575197	0.0145852952312161	0.00933595139919507	0.0273703845736472	56	Stress-response AML
COL12A1	0.794353562005277	0.0145219028206937	0.00927255898867275	0.0553625116350159	57	Stress-response AML
GRN	0.786965699208443	0.0145017085236494	0.00925236469162836	0.0347337963076718	58	Stress-response AML
