receiver	rank	ligand
HSPC / LSC-like AML	1	IL6
HSPC / LSC-like AML	2	IL24
HSPC / LSC-like AML	3	IL1A
HSPC / LSC-like AML	4	IL1B
HSPC / LSC-like AML	5	JAM2
HSPC / LSC-like AML	6	CSF3
HSPC / LSC-like AML	7	IFITM1
HSPC / LSC-like AML	8	DKK1
HSPC / LSC-like AML	9	GAS6
HSPC / LSC-like AML	10	BDNF
HSPC / LSC-like AML	11	TIMP1
HSPC / LSC-like AML	12	PTPRC
HSPC / LSC-like AML	13	PSAP
HSPC / LSC-like AML	14	MMP1
HSPC / LSC-like AML	15	MDK
ABCB5+ resistant LSC AML	1	IL6
ABCB5+ resistant LSC AML	2	IL24
ABCB5+ resistant LSC AML	3	IL1A
ABCB5+ resistant LSC AML	4	IL1B
ABCB5+ resistant LSC AML	5	JAM2
ABCB5+ resistant LSC AML	6	PSAP
ABCB5+ resistant LSC AML	7	GAS6
ABCB5+ resistant LSC AML	8	TIMP1
ABCB5+ resistant LSC AML	9	GDNF
ABCB5+ resistant LSC AML	10	PTPRC
ABCB5+ resistant LSC AML	11	DKK1
ABCB5+ resistant LSC AML	12	CSF3
ABCB5+ resistant LSC AML	13	NID1
ABCB5+ resistant LSC AML	14	FBLN2
ABCB5+ resistant LSC AML	15	MDK
GMP-like AML	1	IL6
GMP-like AML	2	IL24
GMP-like AML	3	IL1A
GMP-like AML	4	IL1B
GMP-like AML	5	JAM2
GMP-like AML	6	CSF3
GMP-like AML	7	PTPRC
GMP-like AML	8	TIMP1
GMP-like AML	9	DKK1
GMP-like AML	10	IFITM1
GMP-like AML	11	PSAP
GMP-like AML	12	BDNF
GMP-like AML	13	TGFBI
GMP-like AML	14	NID1
GMP-like AML	15	MDK
Promono quiescent AML	1	IL6
Promono quiescent AML	2	IL24
Promono quiescent AML	3	IL1A
Promono quiescent AML	4	IL1B
Promono quiescent AML	5	JAM2
Promono quiescent AML	6	DKK1
Promono quiescent AML	7	CSF3
Promono quiescent AML	8	TIMP1
Promono quiescent AML	9	GDNF
Promono quiescent AML	10	PSAP
Promono quiescent AML	11	GAS6
Promono quiescent AML	12	PTPRC
Promono quiescent AML	13	FBLN2
Promono quiescent AML	14	ROBO1
Promono quiescent AML	15	IFITM1
Mono-like AML	1	IL6
Mono-like AML	2	IL1A
Mono-like AML	3	IL24
Mono-like AML	4	IL1B
Mono-like AML	5	JAM2
Mono-like AML	6	CSF3
Mono-like AML	7	IFITM1
Mono-like AML	8	TIMP1
Mono-like AML	9	DKK1
Mono-like AML	10	PSAP
Mono-like AML	11	BDNF
Mono-like AML	12	PTPRC
Mono-like AML	13	MMP1
Mono-like AML	14	MDK
Mono-like AML	15	TGFBI
Stress-response AML	1	IL6
Stress-response AML	2	IL1A
Stress-response AML	3	IL1B
Stress-response AML	4	IFITM1
Stress-response AML	5	JAM2
Stress-response AML	6	PTPRC
Stress-response AML	7	VEGFA
Stress-response AML	8	MDK
Stress-response AML	9	TGFB1
Stress-response AML	10	TGFBI
Stress-response AML	11	TIMP1
Stress-response AML	12	NID1
Stress-response AML	13	MMP1
Stress-response AML	14	SIRPA
Stress-response AML	15	S100A9
Niche-stressed primitive AML	1	IL6
Niche-stressed primitive AML	2	IL24
Niche-stressed primitive AML	3	IL1A
Niche-stressed primitive AML	4	IL1B
Niche-stressed primitive AML	5	JAM2
Niche-stressed primitive AML	6	PTPRC
Niche-stressed primitive AML	7	PSAP
Niche-stressed primitive AML	8	DKK1
Niche-stressed primitive AML	9	IFITM1
Niche-stressed primitive AML	10	CSF3
Niche-stressed primitive AML	11	GAS6
Niche-stressed primitive AML	12	TIMP1
Niche-stressed primitive AML	13	BDNF
Niche-stressed primitive AML	14	FBLN2
Niche-stressed primitive AML	15	MDK
